	count
((1, ('M3', 'P5', 'm7')), (0, ('M3', 'P5')))	5149
((1, ('M3', 'P5')), (0, ('M3', 'P5')))	4468
((1, ('M3', 'P5')), (0, ('m3', 'P5')))	3226
((1, ('M3', 'P5', 'm7')), (0, ('m3', 'P5')))	2272
((0, ('M3', 'P5')), (4, ('m3', 'm6')))	2042
((0, ('M3', 'P5')), (1, ('M3', 'P5')))	2041
((0, ('M3', 'P5')), (-1, ('M3', 'P5')))	1912
((1, ('P4', 'P5')), (1, ('M3', 'P5')))	1822
((5, ('m3', 'd5', 'm6')), (0, ('M3', 'P5')))	1777
((1, ('M3', 'P5')), (1, ('M3', 'P5', 'm7')))	1629
((0, ('M3', 'P5')), (1, ('M3', 'P5', 'm7')))	1629
((1, ('P4', 'M6')), (1, ('M3', 'P5', 'm7')))	1574
((0, ('m3', 'P5')), (1, ('M3', 'P5')))	1539
((-1, ('M2', 'a4', 'M6')), (4, ('m3', 'm6')))	1520
((4, ('m3', 'm6')), (-1, ('M3', 'P5')))	1434
((0, ('M3', 'P5')), (0, ('M3', 'P5')))	1367
((4, ('m3', 'm6')), (0, ('M3', 'P5')))	1360
((1, ('P4', 'M6')), (1, ('M3', 'P5')))	1208
((5, ('m3', 'm6')), (0, ('M3', 'P5')))	1073
((0, ('m3', 'P5')), (-3, ('M3', 'M6')))	1073
((0, ('M3', 'P5')), (5, ('m3', 'm6')))	1056
((2, ('m3', 'P4', 'M6')), (0, ('M3', 'P5')))	993
((1, ('P4', 'm6')), (1, ('M3', 'P5')))	989
((1, ('M3', 'P5')), (4, ('m3', 'm6')))	973
((0, ('M3', 'P5')), (2, ('m3', 'P4', 'M6')))	876
((5, ('m3', 'd5', 'm6')), (0, ('m3', 'P5')))	859
((0, ('P4', 'P5')), (0, ('M3', 'P5')))	851
((-1, ('M3', 'M6')), (1, ('P4', 'M6')))	828
((-3, ('M3', 'M6')), (0, ('m3', 'P5')))	818
((-1, ('M3', 'P5')), (4, ('m3', 'm6')))	805
((0, ('M3', 'P5')), (3, ('m3', 'P5')))	796
((-1, ('M3', 'P5')), (0, ('M3', 'P5')))	764
((5, ('m3', 'm6')), (0, ('m3', 'P5')))	758
((0, ('m3', 'P5')), (0, ('m3', 'P5')))	755
((1, ('P4', 'm6')), (1, ('M3', 'P5', 'm7')))	737
((2, ('m3', 'M6')), (0, ('M3', 'P5')))	718
((0, ('M3', 'P5')), (-1, ('M3', 'M6')))	681
((0, ('m3', 'P5')), (1, ('M3', 'P5', 'm7')))	674
((0, ('M3', 'P5')), (1, ('P4', 'M6')))	668
((1, ('M3', 'P5')), (-1, ('M2', 'a4', 'M6')))	655
((0, ('M3', 'P5')), (5, ('m3', 'd5', 'm6')))	633
((0, ('m3', 'P5')), (-1, ('m3', 'P5')))	628
((1, ('M3', 'P5', 'm7')), (1, ('P4', 'M6')))	628
((4, ('m3', 'm6')), (-1, ('M3', 'M6')))	621
((1, ('M3', 'P5', 'm7')), (1, ('M3', 'P5', 'm7')))	596
((5, ('m3', 'd5')), (0, ('M3', 'P5')))	586
((0, ('M3', 'P5')), (3, ('m3', 'm6')))	585
((1, ('M3', 'P5')), (-3, ('M3', 'M6')))	569
((0, ('m3', 'P5')), (5, ('m3', 'm6')))	564
((-1, ('M2', 'a4', 'M6')), (-3, ('M3', 'M6')))	558
((1, ('M3', 'P5')), (1, ('M3', 'P5')))	548
((-1, ('M3', 'P5')), (1, ('P4', 'M6')))	527
((2, ('M3', 'P5', 'm7')), (1, ('M3', 'P5')))	525
((1, ('M3', 'P5', 'm7')), (1, ('P4', 'm6')))	519
((4, ('m3', 'm6')), (2, ('m3', 'P4', 'M6')))	512
((2, ('m3', 'M6')), (0, ('m3', 'P5')))	508
((1, ('P4', 'P5', 'm7')), (1, ('M3', 'P5', 'm7')))	506
((-1, ('M3', 'P5')), (1, ('M3', 'P5')))	500
