"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".Eb.I"	""	"1"	"1.0"	"1.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V65/ii"	""	"1"	"2.0"	"2.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"V"	""	"65"	""	"ii"	false
"ii(+4)"	""	"1"	"3.0"	"3.0"	"3/4"	"130"	"13"	"5"	0.75	"Eb"	"I"	""	"ii"	""	""	"+4"	""	false
"V"	""	"1"	"3.75"	"3.75"	"3/4"	"130"	"13"	"5"	0.25	"Eb"	"I"	""	"V"	""	""	""	""	false
"I"	""	"2"	"1.0"	"4.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"2"	"2.0"	"5.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"V"	""	"43"	""	""	false
"I6"	""	"2"	"3.0"	"6.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"ii6"	""	"3"	"1.0"	"7.0"	"3/4"	"130"	"13"	"5"	2.5	"Eb"	"I"	""	"ii"	""	"6"	""	""	false
"#vii%7/V"	""	"3"	"3.5"	"9.5"	"3/4"	"130"	"13"	"5"	0.5	"Eb"	"I"	""	"#vii"	"%"	"7"	""	"V"	false
"V"	""	"4"	"1.0"	"10.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"I"	""	"4"	"2.0"	"11.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"4"	"3.0"	"12.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"V"	""	"43"	""	""	false
"I6"	""	"5"	"1.0"	"13.0"	"3/4"	"130"	"13"	"5"	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
