"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".Bb.I"	""	"1"	"1.0"	"1.0"	"2/4"	"18"	"6"	"4"	3.0	"Bb"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"2"	"2.0"	"4.0"	"2/4"	"18"	"6"	"4"	0.875	"Bb"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	"2"	"2.875"	"4.875"	"2/4"	"18"	"6"	"4"	0.125	"Bb"	"I"	""	"V"	""	""	""	""	false
"I"	""	"3"	"1.0"	"5.0"	"2/4"	"18"	"6"	"4"	7.0	"Bb"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"6"	"2.0"	"12.0"	"2/4"	"18"	"6"	"4"	0.875	"Bb"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	"6"	"2.875"	"12.875"	"2/4"	"18"	"6"	"4"	0.125	"Bb"	"I"	""	"V"	""	""	""	""	false
"I"	""	"7"	"1.0"	"13.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"I"	""	"I"	""	""	""	""	false
"V6(6)"	""	"8"	"1.0"	"15.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"I"	""	"V"	""	"6"	"6"	""	false
"V6"	""	"8"	"2.0"	"16.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"I"	""	"V"	""	"6"	""	""	false
"#viio2/ii"	""	"9"	"1.0"	"17.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"I"	""	"#vii"	"o"	"2"	""	"ii"	false
"V7/ii"	""	"10"	"1.0"	"19.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"I"	""	"V"	""	"7"	""	"ii"	false
"V9/ii"	""	"10"	"2.0"	"20.0"	"2/4"	"18"	"6"	"4"	0.875	"Bb"	"I"	""	"V"	""	"9"	""	"ii"	false
"V(64)/ii"	""	"10"	"2.875"	"20.875"	"2/4"	"18"	"6"	"4"	0.125	"Bb"	"I"	""	"V"	""	""	"64"	"ii"	false
"V7/ii"	""	"11"	"1.0"	"21.0"	"2/4"	"18"	"6"	"4"	0.875	"Bb"	"I"	""	"V"	""	"7"	""	"ii"	false
"V(64)/ii"	""	"11"	"1.875"	"21.875"	"2/4"	"18"	"6"	"4"	0.125	"Bb"	"I"	""	"V"	""	""	"64"	"ii"	false
"V7/ii"	""	"11"	"2.0"	"22.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"I"	""	"V"	""	"7"	""	"ii"	false
"#i.i64"	""	"12"	"1.0"	"23.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"#i"	""	"i"	""	"64"	""	""	false
"#viio43"	""	"13"	"1.0"	"25.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"#i"	""	"#vii"	"o"	"43"	""	""	false
"#vo7"	""	"14"	"1.0"	"27.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"#i"	""	"#v"	"o"	"7"	""	""	false
"#vio7"	""	"15"	"1.0"	"29.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"#i"	""	"#vi"	"o"	"7"	""	""	false
"vo65"	""	"16"	"1.0"	"31.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"#i"	""	"v"	"o"	"65"	""	""	false
"#iii.#viio2"	""	"17"	"1.0"	"33.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"#iii"	""	"#vii"	"o"	"2"	""	""	false
"V[#viio64"	""	"18"	"1.0"	"35.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"#iii"	"V"	"#vii"	"o"	"64"	""	""	false
"V2"	""	"18"	"2.0"	"36.0"	"2/4"	"18"	"6"	"4"	0.875	"Bb"	"#iii"	"V"	"V"	""	"2"	""	""	false
"#vi64"	""	"18"	"2.875"	"36.875"	"2/4"	"18"	"6"	"4"	0.125	"Bb"	"#iii"	"V"	"#vi"	""	"64"	""	""	false
"#viio6"	""	"19"	"1.0"	"37.0"	"2/4"	"18"	"6"	"4"	0.875	"Bb"	"#iii"	"V"	"#vii"	"o"	"6"	""	""	false
"I"	""	"19"	"1.875"	"37.875"	"2/4"	"18"	"6"	"4"	0.125	"Bb"	"#iii"	"V"	"I"	""	""	""	""	false
"#viio"	""	"19"	"2.0"	"38.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"#iii"	"V"	"#vii"	"o"	""	""	""	false
"#viio]"	""	"20"	"1.0"	"39.0"	"2/4"	"18"	"6"	"4"	2.0	"Bb"	"#iii"	"V"	"#vii"	"o"	""	""	""	false
"#i.iv"	""	"21"	"1.0"	"41.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"#i"	""	"iv"	""	""	""	""	false
"V6"	""	"21"	"2.0"	"42.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"#i"	""	"V"	""	"6"	""	""	false
"i"	""	"22"	"1.0"	"43.0"	"2/4"	"18"	"6"	"4"	1.0	"Bb"	"#i"	""	"i"	""	""	""	""	false
