chord	altchord	measure	beat	totbeat	timesig	op	no	mov	length	global_key	local_key	pedal	numeral	form	figbass	changes	relativeroot	phraseend
.c.i		1	1	1	3/4	18	4	3	1	c	I		i					false
i		2	1	2	3/4	18	4	3	2	c	I		i					false
III.V		2	3	4	3/4	18	4	3	1	c	III		V					false
I		3	1	5	3/4	18	4	3	2	c	III		I					false
IV6		3	3	7	3/4	18	4	3	1	c	III		IV		6			false
I6		4	1	8	3/4	18	4	3	2	c	III		I		6			false
#viio65/V		4	3	10	3/4	18	4	3	1	c	III		#vii	o	65		V	false
#viio7/V		5	1	11	3/4	18	4	3	1	c	III		#vii	o	7		V	false
V\\\\		5	2	12	3/4	18	4	3	1	c	III		V					true
i.iv		5	3	13	3/4	18	4	3	3	c	i		iv					false
#viio6/iv		6	3	16	3/4	18	4	3	1	c	i		#vii	o	6		iv	false
iv6		7	1	17	3/4	18	4	3	2	c	i		iv		6			false
ii%65		7	3	19	3/4	18	4	3	1	c	i		ii	%	65			false
V(964)		8	1	20	3/4	18	4	3	1	c	i		V			964		false
V(64)		8	2	21	3/4	18	4	3	1	c	i		V			64		false
V7		8	3	22	3/4	18	4	3	1	c	i		V		7			false
i\\\\		9	1	23	3/4	18	4	3	3	c	i		i					true
iv.V		10	1	26	3/4	18	4	3	3	c	iv		V					false
V[V		11	1	29	3/4	18	4	3	9	c	iv	V	V					false
#viio43]		14	1	38	3/4	18	4	3	3	c	iv	V	#vii	o	43			false
i		15	1	41	3/4	18	4	3	2	c	iv		i					false
V7		15	3	43	3/4	18	4	3	1	c	iv		V		7			false
i		16	1	44	3/4	18	4	3	2	c	iv		i					false
V7		16	3	46	3/4	18	4	3	1	c	iv		V		7			false
i		17	1	47	3/4	18	4	3	2	c	iv		i					false
V7		17	3	49	3/4	18	4	3	1	c	iv		V		7			false
i\\\\		18	1	50	3/4	18	4	3	2	c	iv		i					true
.bII.I		18	3	52	3/4	18	4	3	1	c	bII		I					false
.bII[I		19	1	53	3/4	18	4	3	12	c	bII	bII	I					false
I[I		23	1	65	3/4	18	4	3	2	c	bII	I	I					false
V7		23	3	67	3/4	18	4	3	1	c	bII	I	V		7			false
I		24	1	68	3/4	18	4	3	2	c	bII	I	I					false
V7		24	3	70	3/4	18	4	3	1	c	bII	I	V		7			false
I		25	1	71	3/4	18	4	3	2	c	bII	I	I					false
V7]		25	3	73	3/4	18	4	3	1	c	bII	I	V		7			false
iv.bVI		26	1	74	3/4	18	4	3	-2	c	iv		bVI					false
i64		26	-1	72	3/4	18	4	3	1	c	iv		i		64			false
#viio/V		26	0	73	3/4	18	4	3	4	c	iv		#vii	o			V	false
