"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"
".Eb.I"	NA	1	1.0	"Eb"	"I"	""	"I"	""	""	""	""
"V43"	NA	2	1.5	"Eb"	"I"	""	"V"	""	"43"	""	""
"I"	NA	3	1.0	"Eb"	"I"	""	"I"	""	""	""	""
"V2"	NA	4	1.5	"Eb"	"I"	""	"V"	""	"2"	""	""
"I6"	NA	5	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"vi"	NA	5	2.0	"Eb"	"I"	""	"vi"	""	""	""	""
"IV\\\\"	NA	6	1.0	"Eb"	"I"	""	"IV"	""	""	""	""
"IV"	NA	7	1.0	"Eb"	"I"	""	"IV"	""	""	""	""
"ii6"	NA	7	2.0	"Eb"	"I"	""	"ii"	""	"6"	""	""
"V2"	NA	7	3.0	"Eb"	"I"	""	"V"	""	"2"	""	""
"I6"	NA	8	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"vi64"	NA	8	3.0	"Eb"	"I"	""	"vi"	""	"64"	""	""
"ii7"	NA	9	1.0	"Eb"	"I"	""	"ii"	""	"7"	""	""
"V43"	NA	9	3.0	"Eb"	"I"	""	"V"	""	"43"	""	""
"I6(5)"	NA	10	1.0	"Eb"	"I"	""	"I"	""	"6"	"(5)"	""
"I6"	NA	10	-4.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"III(b5)"	NA	10	-3.0	"Eb"	"I"	""	"III"	""	""	"(b5)"	""
"IV"	NA	11	1.0	"Eb"	"I"	""	"IV"	""	""	""	""
"ii6"	NA	11	2.0	"Eb"	"I"	""	"ii"	""	"6"	""	""
"V2"	NA	11	3.0	"Eb"	"I"	""	"V"	""	"2"	""	""
"V2"	NA	12	1.0	"Eb"	"I"	""	"V"	""	"2"	""	""
"I6"	NA	12	2.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"IV"	NA	12	3.0	"Eb"	"I"	""	"IV"	""	""	""	""
"V"	NA	13	1.0	"Eb"	"I"	""	"V"	""	""	""	""
"V7"	NA	13	1.5	"Eb"	"I"	""	"V"	""	"7"	""	""
"ii43"	NA	13	2.0	"Eb"	"I"	""	"ii"	""	"43"	""	""
"V65"	NA	13	3.0	"Eb"	"I"	""	"V"	""	"65"	""	""
"I\\\\"	NA	14	1.0	"Eb"	"I"	""	"I"	""	""	""	""
"V43"	NA	14	2.0	"Eb"	"I"	""	"V"	""	"43"	""	""
"I6"	NA	14	3.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"ii6"	NA	15	1.0	"Eb"	"I"	""	"ii"	""	"6"	""	""
"V2"	NA	15	-3.0	"Eb"	"I"	""	"V"	""	"2"	""	""
"I6"	NA	16	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"IV2"	NA	16	-3.0	"Eb"	"I"	""	"IV"	""	"2"	""	""
"V43"	NA	17	1.0	"Eb"	"I"	""	"V"	""	"43"	""	""
"I6(4)"	NA	18	1.0	"Eb"	"I"	""	"I"	""	"6"	"(4)"	""
"I6"	NA	18	2.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"I+6"	NA	18	3.0	"Eb"	"I"	""	"I"	"+"	"6"	""	""
"IV"	NA	19	1.0	"Eb"	"I"	""	"IV"	""	""	""	""
"ii6"	NA	19	2.0	"Eb"	"I"	""	"ii"	""	"6"	""	""
"V2"	NA	19	3.0	"Eb"	"I"	""	"V"	""	"2"	""	""
"I6"	NA	20	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"IV"	NA	20	3.0	"Eb"	"I"	""	"IV"	""	""	""	""
"I64"	NA	21	1.0	"Eb"	"I"	""	"I"	""	"64"	""	""
"vi"	NA	21	2.0	"Eb"	"I"	""	"vi"	""	""	""	""
"V65"	NA	21	3.0	"Eb"	"I"	""	"V"	""	"65"	""	""
"I"	NA	22	1.0	"Eb"	"I"	""	"I"	""	""	""	""
"I6"	NA	22	2.0	"Eb"	"I"	""	"I"	""	"6"	""	""
"I64"	NA	22	3.0	"Eb"	"I"	""	"I"	""	"64"	""	""
"I"	NA	23	1.0	"Eb"	"I"	""	"I"	""	""	""	""
"V43"	NA	24	1.0	"Eb"	"I"	""	"V"	""	"43"	""	""
"V7"	NA	24	3.0	"Eb"	"I"	""	"V"	""	"7"	""	""
