"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".Eb.I"	""	1	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"@none"	""	1	2.0	"Eb"	"I"	""	""	""	""	""	""	false
"V[I"	""	5	1.0	"Eb"	"I"	"V"	"I"	""	""	""	""	false
"V43"	""	5	3.0	"Eb"	"I"	"V"	"V"	""	"43"	""	""	false
"I"	""	6	1.0	"Eb"	"I"	"V"	"I"	""	""	""	""	false
"V43"	""	6	3.0	"Eb"	"I"	"V"	"V"	""	"43"	""	""	false
"I"	""	7	1.0	"Eb"	"I"	"V"	"I"	""	""	""	""	false
"V43(+#4)"	""	7	3.0	"Eb"	"I"	"V"	"V"	""	"43"	"(+#4)"	""	false
"V43"	""	8	1.0	"Eb"	"I"	"V"	"V"	""	"43"	""	""	false
"V43]"	""	8	4.0	"Eb"	"I"	"V"	"V"	""	"43"	""	""	false
"I6"	""	9	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"V2"	""	9	3.0	"Eb"	"I"	""	"V"	""	"2"	""	""	false
"vi43"	""	10	1.0	"Eb"	"I"	""	"vi"	""	"43"	""	""	false
"viio6"	""	10	3.0	"Eb"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	11	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"vi7"	""	11	2.0	"Eb"	"I"	""	"vi"	""	"7"	""	""	false
"V65"	""	11	3.0	"Eb"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	11	4.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"I64"	""	12	1.0	"Eb"	"I"	""	"I"	""	"64"	""	""	false
"V65/V"	""	12	2.0	"Eb"	"I"	""	"V"	""	"65"	""	"V"	false
"V\\\\"	""	12	3.0	"Eb"	"I"	""	"V"	""	""	""	""	true
"viio"	""	12	4.0	"Eb"	"I"	""	"vii"	"o"	""	""	""	false
"V[I"	""	13	1.0	"Eb"	"I"	"V"	"I"	""	""	""	""	false
"V43"	""	13	3.0	"Eb"	"I"	"V"	"V"	""	"43"	""	""	false
"I"	""	14	1.0	"Eb"	"I"	"V"	"I"	""	""	""	""	false
"V43"	""	14	3.0	"Eb"	"I"	"V"	"V"	""	"43"	""	""	false
"I"	""	15	1.0	"Eb"	"I"	"V"	"I"	""	""	""	""	false
"V43(+#4)"	""	15	3.0	"Eb"	"I"	"V"	"V"	""	"43"	"(+#4)"	""	false
"V64"	""	16	1.0	"Eb"	"I"	"V"	"V"	""	"64"	""	""	false
"V43"	""	16	3.0	"Eb"	"I"	"V"	"V"	""	"43"	""	""	false
"V43]"	""	16	4.0	"Eb"	"I"	"V"	"V"	""	"43"	""	""	false
"I6"	""	17	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"V2"	""	17	3.0	"Eb"	"I"	""	"V"	""	"2"	""	""	false
"vi43"	""	18	1.0	"Eb"	"I"	""	"vi"	""	"43"	""	""	false
"viio6"	""	18	3.0	"Eb"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	19	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V2/IV"	""	19	2.0	"Eb"	"I"	""	"V"	""	"2"	""	"IV"	false
"IV6"	""	19	3.0	"Eb"	"I"	""	"IV"	""	"6"	""	""	false
"V6"	""	19	4.0	"Eb"	"I"	""	"V"	""	"6"	""	""	false
"I(+74+2)"	""	20	1.0	"Eb"	"I"	""	"I"	""	""	"(+74+2)"	""	false
"I64"	""	20	2.0	"Eb"	"I"	""	"I"	""	"64"	""	""	false
"I\\\\"	""	20	3.0	"Eb"	"I"	""	"I"	""	""	""	""	true
"I"	""	21	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"vi7"	""	22	1.0	"Eb"	"I"	""	"vi"	""	"7"	""	""	false
"viio"	""	22	2.0	"Eb"	"I"	""	"vii"	"o"	""	""	""	false
"I\\\\"	""	22	3.0	"Eb"	"I"	""	"I"	""	""	""	""	true
"vi6"	""	22	4.0	"Eb"	"I"	""	"vi"	""	"6"	""	""	false
"V7/V"	""	23	1.0	"Eb"	"I"	""	"V"	""	"7"	""	"V"	false
"V(64)/V"	""	23	3.0	"Eb"	"I"	""	"V"	""	""	"(64)"	"V"	false
"V7/V"	""	23	4.0	"Eb"	"I"	""	"V"	""	"7"	""	"V"	false
"V"	""	24	2.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"V\\\\"	""	24	3.0	"Eb"	"I"	""	"V"	""	""	""	""	true
"I"	""	25	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"I64"	""	25	4.0	"Eb"	"I"	""	"I"	""	"64"	""	""	false
"IV6(2)"	""	26	1.0	"Eb"	"I"	""	"IV"	""	"6"	"(2)"	""	false
"V65"	""	26	2.0	"Eb"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	26	3.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	26	4.0	"Eb"	"I"	""	"IV"	""	"6"	""	""	false
"viio"	""	27	4.0	"Eb"	"I"	""	"vii"	"o"	""	""	""	false
"I"	""	28	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V7"	""	28	2.0	"Eb"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	28	3.0	"Eb"	"I"	""	"I"	""	""	""	""	true
"I64"	""	28	4.0	"Eb"	"I"	""	"I"	""	"64"	""	""	false
"I"	""	29	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"I6"	""	29	4.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"I64"	""	30	1.0	"Eb"	"I"	""	"I"	""	"64"	""	""	false
"viio64"	""	30	2.0	"Eb"	"I"	""	"vii"	"o"	"64"	""	""	false
"I6"	""	30	3.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	30	4.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	31	2.0	"Eb"	"I"	""	"IV"	""	"6"	""	""	false
"vi2"	""	31	3.0	"Eb"	"I"	""	"vi"	""	"2"	""	""	false
"viio64"	""	31	4.0	"Eb"	"I"	""	"vii"	"o"	"64"	""	""	false
"vi"	""	32	1.0	"Eb"	"I"	""	"vi"	""	""	""	""	false
"V7"	""	32	2.0	"Eb"	"I"	""	"V"	""	"7"	""	""	false
"V"	""	32	3.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"V2"	""	32	4.0	"Eb"	"I"	""	"V"	""	"2"	""	""	false
"I6"	""	33	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"I64"	""	33	4.0	"Eb"	"I"	""	"I"	""	"64"	""	""	false
"vi7"	""	34	1.0	"Eb"	"I"	""	"vi"	""	"7"	""	""	false
"viio"	""	34	2.0	"Eb"	"I"	""	"vii"	"o"	""	""	""	false
"I"	""	34	3.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"vi"	""	35	2.0	"Eb"	"I"	""	"vi"	""	""	""	""	false
"I64"	""	35	3.0	"Eb"	"I"	""	"I"	""	"64"	""	""	false
"ii6"	""	35	4.0	"Eb"	"I"	""	"ii"	""	"6"	""	""	false
"I6"	""	36	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	36	2.0	"Eb"	"I"	""	"IV"	""	""	""	""	false
"viio6"	""	36	2.5	"Eb"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	36	3.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"IV"	""	36	4.0	"Eb"	"I"	""	"IV"	""	""	""	""	false
"I"	""	37	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V2"	""	37	3.0	"Eb"	"I"	""	"V"	""	"2"	""	""	false
"I"	""	38	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V2"	""	38	3.0	"Eb"	"I"	""	"V"	""	"2"	""	""	false
"I"	""	39	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"#viio7/V"	""	39	3.0	"Eb"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V"	""	40	1.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"viio2"	""	40	2.0	"Eb"	"I"	""	"vii"	"o"	"2"	""	""	false
"IV(+2)"	""	40	3.0	"Eb"	"I"	""	"IV"	""	""	"(+2)"	""	false
"V43"	""	40	4.0	"Eb"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	41	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V65"	""	41	3.0	"Eb"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	42	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V65"	""	42	3.0	"Eb"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	43	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"vii7"	""	43	3.0	"Eb"	"I"	""	"vii"	""	"7"	""	""	false
"V.I6"	""	44	1.0	"Eb"	"V"	""	"I"	""	"6"	""	""	false
"V43"	""	44	2.0	"Eb"	"V"	""	"V"	""	"43"	""	""	false
