"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".Eb.I"	""	"1"	"1.0"	"1.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V"	""	"1"	"2.0"	"2.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"I"	""	"1"	"3.0"	"3.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V"	""	"2"	"1.0"	"4.0"	"3/4"	"127"	"12"	"3"	3.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"@none"	""	"3"	"1.0"	"7.0"	"3/4"	"127"	"12"	"3"	11.0	"Eb"	"I"	""	""	""	""	""	""	false
"#viio/ii"	""	"6"	"3.0"	"18.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"#vii"	"o"	""	""	"ii"	false
"ii"	""	"7"	"1.0"	"19.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"ii"	""	""	""	""	false
"V64/ii"	""	"7"	"3.0"	"21.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"64"	""	"ii"	false
"ii6"	""	"8"	"1.0"	"22.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"ii"	""	"6"	""	""	false
"#viio/V"	""	"8"	"3.0"	"24.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"#vii"	"o"	""	""	"V"	false
"V"	""	"9"	"1.0"	"25.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"@none"	""	"9"	"3.0"	"27.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	""	""	""	""	""	false
"V"	""	"10"	"1.0"	"28.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"V7"	""	"10"	"3.0"	"30.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"11"	"1.0"	"31.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"@none"	""	"11"	"3.0"	"33.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	""	""	""	""	""	false
"vi"	""	"12"	"1.0"	"34.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"vi"	""	""	""	""	false
"#viio6/V"	""	"12"	"3.0"	"36.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"#vii"	"o"	"6"	""	"V"	false
"V6"	""	"13"	"1.0"	"37.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"V"	""	"6"	""	""	false
"@none"	""	"13"	"3.0"	"39.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	""	""	""	""	""	false
"V"	""	"14"	"1.0"	"40.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"V7"	""	"14"	"3.0"	"42.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"15"	"1.0"	"43.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"15"	"3.0"	"45.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"6"	""	""	false
"#viio6/V"	""	"16"	"1.0"	"46.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"#vii"	"o"	"6"	""	"V"	false
"iv6"	""	"16"	"2.0"	"47.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"iv"	""	"6"	""	""	false
"V7"	""	"16"	"3.0"	"48.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"17"	"1.0"	"49.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"ii"	""	"17"	"3.0"	"51.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"ii"	""	""	""	""	false
"I6"	""	"18"	"1.0"	"52.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	"18"	"2.0"	"53.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"IV"	""	"18"	"3.0"	"54.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"IV"	""	""	""	""	false
"viio6"	""	"19"	"1.0"	"55.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"vii"	"o"	"6"	""	""	false
"V7"	""	"19"	"2.0"	"56.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"19"	"3.0"	"57.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"20"	"1.0"	"58.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"20"	"2.0"	"59.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"I"	""	"20"	"3.0"	"60.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"21"	"1.0"	"61.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"V"	""	"7"	""	""	false
"#viio6/V"	""	"21"	"3.0"	"63.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"#vii"	"o"	"6"	""	"V"	false
"v6"	""	"22"	"1.0"	"64.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"v"	""	"6"	""	""	false
"#io2"	""	"22"	"2.0"	"65.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"#i"	"o"	"2"	""	""	false
"V65"	""	"22"	"3.0"	"66.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	"23"	"1.0"	"67.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"23"	"3.0"	"69.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"43"	""	""	false
"I6"	""	"24"	"1.0"	"70.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"V43"	""	"24"	"3.0"	"72.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	"25"	"1.0"	"73.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"25"	"3.0"	"75.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"43"	""	""	false
"I6"	""	"26"	"1.0"	"76.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"I"	""	"6"	""	""	false
"V7/vi"	""	"26"	"3.0"	"78.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"7"	""	"vi"	false
"ii6"	""	"27"	"1.0"	"79.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"ii"	""	"6"	""	""	false
"V/vi"	""	"27"	"3.0"	"81.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"V"	""	""	""	"vi"	false
"vi"	""	"28"	"2.0"	"83.0"	"3/4"	"127"	"12"	"3"	3.0	"Eb"	"I"	""	"vi"	""	""	""	""	false
"V/V"	""	"29"	"2.0"	"86.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"I"	""	"V"	""	""	""	"V"	false
"V"	""	"30"	"1.0"	"88.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	""	""	""	false
"V7/vi"	""	"30"	"2.0"	"89.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	"7"	""	"vi"	false
"V/vi"	""	"30"	"3.0"	"90.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"V"	""	""	""	"vi"	false
"vi"	""	"31"	"1.0"	"91.0"	"3/4"	"127"	"12"	"3"	1.0	"Eb"	"I"	""	"vi"	""	""	""	""	false
"V.ii"	""	"31"	"2.0"	"92.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"V"	""	"ii"	""	""	""	""	false
"V65"	""	"32"	"1.0"	"94.0"	"3/4"	"127"	"12"	"3"	2.0	"Eb"	"V"	""	"V"	""	"65"	""	""	false
"I"	""	"32"	"3.0"	"96.0"	"3/4"	"127"	"12"	"3"	0.5	"Eb"	"V"	""	"I"	""	""	""	""	false
"V65"	""	"32"	"3.5"	"96.5"	"3/4"	"127"	"12"	"3"	0.5	"Eb"	"V"	""	"V"	""	"65"	""	""	false
"V2"	""	"33"	"1.0"	"97.0"	"3/4"	"127"	"12"	"3"	0.5	"Eb"	"V"	""	"V"	""	"2"	""	""	false
"I6"	""	"33"	"1.5"	"97.5"	"3/4"	"127"	"12"	"3"	0.5	"Eb"	"V"	""	"I"	""	"6"	""	""	false
"vii%65"	""	"33"	"2.0"	"98.0"	"3/4"	"127"	"12"	"3"	0.5	"Eb"	"V"	""	"vii"	"%"	"65"	""	""	false
"vi65"	""	"33"	"2.5"	"98.5"	"3/4"	"127"	"12"	"3"	0.5	"Eb"	"V"	""	"vi"	""	"65"	""	""	false
"V6"	""	"33"	"3.0"	"99.0"	"3/4"	"127"	"12"	"3"	0.5	"Eb"	"V"	""	"V"	""	"6"	""	""	false
