path	filename	extension	md5	label_count	KeySig	TimeSig	composer	movementTitle	musescore	copyright	workTitle	composed_start	composed_end
./n01op18-1_01.mscx	n01op18-1_01	.mscx	3c05b73660569699523fce3d32bd0579	405	-1	3/4	Beethoven	Op. 18 no. 1 mvmnt 1	2.1.0			1799	1799
./n01op18-1_02.mscx	n01op18-1_02	.mscx	0ee2f31cc96c58902934e9eaa69a8fd9	263	-1	9/8		op18_no1_mvmnt2_all	2.1.0			1799	1799
./n01op18-1_03.mscx	n01op18-1_03	.mscx	414f5efd8d7596c33572381d6966565d	203	-1	3/4	Beethoven	op.18 no.1 mvmnt.3	2.2.1			1799	1799
./n01op18-1_04.mscx	n01op18-1_04	.mscx	05c7335dbbc5a74e20d3174e3b9f6362	598	-1	2/4	Beethoven	Op.18 no1:4	2.1.0			1799	1799
./n02op18-2_01.mscx	n02op18-2_01	.mscx	cf0288236656fad708e3b379d4fdeca8	486	1	2/4			2.2.1			1799	1799
./n02op18-2_02.mscx	n02op18-2_02	.mscx	02d683d5ed0973b92680a2f0efe11db6	177	-1, 0	3/4, 2/4, 3/4			2.1.0			1799	1799
./n02op18-2_03.mscx	n02op18-2_03	.mscx	253a26fea9cd27acc3f05661f6df2cbe	138	1, 0	3/4			2.1.0			1799	1799
./n02op18-2_04.mscx	n02op18-2_04	.mscx	cd82fa40ba56ced0919166e63cabde8b	466	1	2/4			2.1.0			1799	1799
./n03op18-3_01.mscx	n03op18-3_01	.mscx	69e7152a2920037e3d408bff6959036b	381	2	2/2	L van Beethoven	String Quartet Op18 No3	2.2.1	©		1798	1799
./n03op18-3_02.mscx	n03op18-3_02	.mscx	85802a5e1b89988eb13c4f5064fceb41	394	-2	2/4	L van Beethoven	String Quartet Op18 No3	2.2.1	©		1798	1799
./n03op18-3_03.mscx	n03op18-3_03	.mscx	d1f5c49aeb948946fdc70c0c39c5eac4	278	2, -1, 2	3/4	L van Beethoven	String Quartet Op18 No3	2.1.0	©		1798	1799
./n03op18-3_04.mscx	n03op18-3_04	.mscx	7ba67a3e764ff15c90a9015cd602b8b7	567	2	6/8	L van Beethoven	String Quartet Op18 No3	2.1.0	©		1798	1799
