"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".Db.I6"	""	"1"	"1.0"	"1.0"	"6/8"	"135"	"16"	"3"	4.5	"Db"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	"2"	"2.5"	"5.5"	"6/8"	"135"	"16"	"3"	3.0	"Db"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"3"	"2.5"	"8.5"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	"4"	"1.0"	"10.0"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"I"	""	""	""	""	false
"V65"	""	"4"	"2.5"	"11.5"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	"5"	"1.0"	"13.0"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"5"	"2.5"	"14.5"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	"6"	"1.0"	"16.0"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"I"	""	""	""	""	false
"V(64)"	""	"6"	"2.5"	"17.5"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"V"	""	""	"64"	""	false
"V"	""	"6"	"3.0"	"18.0"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"V"	""	""	""	""	false
"ii6"	""	"6"	"3.5"	"18.5"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"ii"	""	"6"	""	""	false
"V7/vi"	""	"7"	"1.0"	"19.0"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"V"	""	"7"	""	"vi"	false
"vi"	""	"7"	"2.5"	"20.5"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"vi"	""	""	""	""	false
"V6/ii"	""	"8"	"1.0"	"22.0"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"V"	""	"6"	""	"ii"	false
"ii"	""	"8"	"2.5"	"23.5"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"ii"	""	""	""	""	false
"V65"	""	"9"	"1.0"	"25.0"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	"9"	"2.5"	"26.5"	"6/8"	"135"	"16"	"3"	1.0	"Db"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"9"	"3.5"	"27.5"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"I"	""	"6"	""	""	false
"V(64)"	""	"10"	"1.0"	"28.0"	"6/8"	"135"	"16"	"3"	1.0	"Db"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	"10"	"2.0"	"29.0"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"10"	"2.5"	"29.5"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"I"	""	""	""	""	true
"V(64)"	""	"11"	"1.0"	"31.0"	"6/8"	"135"	"16"	"3"	1.0	"Db"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	"11"	"2.0"	"32.0"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"11"	"2.5"	"32.5"	"6/8"	"135"	"16"	"3"	1.0	"Db"	"I"	""	"I"	""	""	""	""	true
"IV6"	""	"11"	"3.5"	"33.5"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"IV"	""	"6"	""	""	false
"V(64)"	""	"12"	"1.0"	"34.0"	"6/8"	"135"	"16"	"3"	1.0	"Db"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	"12"	"2.0"	"35.0"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"12"	"2.5"	"35.5"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"I"	""	""	""	""	true
"I(64)"	""	"12"	"3.0"	"36.0"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"I"	""	""	"64"	""	false
"I(94)"	""	"12"	"3.5"	"36.5"	"6/8"	"135"	"16"	"3"	0.5	"Db"	"I"	""	"I"	""	""	"94"	""	false
"I"	""	"13"	"1.0"	"37.0"	"6/8"	"135"	"16"	"3"	1.5	"Db"	"I"	""	"I"	""	""	""	""	false
"V43(4)"	""	"13"	"2.5"	"38.5"	"6/8"	"135"	"16"	"3"	1.0	"Db"	"I"	""	"V"	""	"43"	"4"	""	false
