"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".F.I"	""	1	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"iv6"	""	2	2.0	"F"	"I"	""	"iv"	""	"6"	""	""	false
"V7"	""	3	1.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"V7"	"iv"	4	1.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"iv6"	""	4	2.0	"F"	"I"	""	"iv"	""	"6"	""	""	false
"V7"	""	5	1.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"V2"	""	5	2.0	"F"	"I"	""	"V"	""	"2"	""	""	false
"I6"	""	6	1.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"V65"	""	6	2.0	"F"	"I"	""	"V"	""	"65"	""	""	false
"V7"	""	6	2.5	"F"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	7	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"ii6"	""	8	1.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"V(4)"	""	8	2.0	"F"	"I"	""	"V"	""	""	"(4)"	""	false
"V"	""	8	2.5	"F"	"I"	""	"V"	""	""	""	""	false
"I6"	""	9	1.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	9	2.375	"F"	"I"	""	"IV"	""	""	""	""	false
"I"	"V"	10	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"ii6"	""	10	1.5	"F"	"I"	""	"ii"	""	"6"	""	""	false
"V(4)"	""	10	2.0	"F"	"I"	""	"V"	""	""	"(4)"	""	false
"V"	""	10	2.5	"F"	"I"	""	"V"	""	""	""	""	false
"I\\\\"	""	11	1.0	"F"	"I"	""	"I"	""	""	""	""	true
"V"	""	11	2.0	"F"	"I"	""	"V"	""	""	""	""	false
"@none"	""	12	1.0	"F"	"I"	""	""	""	""	""	""	false
"vi"	""	15	2.0	"F"	"I"	""	"vi"	""	""	""	""	false
"V7/V"	""	16	1.0	"F"	"I"	""	"V"	""	"7"	""	"V"	false
"V"	""	18	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"V65"	""	19	1.0	"F"	"I"	""	"V"	""	"65"	""	""	false
"#viio7/ii"	""	19	2.0	"F"	"I"	""	"#vii"	"o"	"7"	""	"ii"	false
"ii6"	""	20	2.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"viio6"	""	21	2.0	"F"	"I"	""	"vii"	"o"	"6"	""	""	false
"V43"	""	22	1.0	"F"	"I"	""	"V"	""	"43"	""	""	false
"I(+2)"	""	22	1.5	"F"	"I"	""	"I"	""	""	"(+2)"	""	false
"I"	""	22	2.0	"F"	"I"	""	"I"	""	""	""	""	false
"#viio/vi"	""	23	1.5	"F"	"I"	""	"#vii"	"o"	""	""	"vi"	false
"vi"	""	23	2.0	"F"	"I"	""	"vi"	""	""	""	""	false
"V/vi"	""	24	1.0	"F"	"I"	""	"V"	""	""	""	"vi"	false
"#viio2/V"	""	24	2.0	"F"	"I"	""	"#vii"	"o"	"2"	""	"V"	false
"#viio7/V"	""	25	1.0	"F"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V7"	""	25	2.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	26	1.0	"F"	"I"	""	"I"	""	""	""	""	true
"I"	""	26	2.0	"F"	"I"	""	"I"	""	""	""	""	false
"vi"	""	28	1.0	"F"	"I"	""	"vi"	""	""	""	""	false
"V.V"	""	30	1.0	"F"	"V"	""	"V"	""	""	""	""	false
"V6"	""	32	1.0	"F"	"V"	""	"V"	""	"6"	""	""	false
"V(4)/V"	""	33	1.0	"F"	"V"	""	"V"	""	""	"(4)"	"V"	false
"V7/V"	""	33	2.0	"F"	"V"	""	"V"	""	"7"	""	"V"	false
"V(4)"	""	34	1.0	"F"	"V"	""	"V"	""	""	"(4)"	""	false
"V"	""	34	2.0	"F"	"V"	""	"V"	""	""	""	""	false
"V7"	""	34	2.5	"F"	"V"	""	"V"	""	"7"	""	""	false
"I(4)"	""	35	1.0	"F"	"V"	""	"I"	""	""	"(4)"	""	false
"I"	""	35	2.0	"F"	"V"	""	"I"	""	""	""	""	false
"#vii+/vi"	""	36	2.0	"F"	"V"	""	"#vii"	"+"	""	""	"vi"	false
"#viio43/II"	""	37	1.0	"F"	"V"	""	"#vii"	"o"	"43"	""	"II"	false
"II6"	""	37	2.0	"F"	"V"	""	"II"	""	"6"	""	""	false
"ii6(6)"	""	37	2.5	"F"	"V"	""	"ii"	""	"6"	"(6)"	""	false
"ii6"	""	37	2.75	"F"	"V"	""	"ii"	""	"6"	""	""	false
"I6(4)"	""	38	1.0	"F"	"V"	""	"I"	""	"6"	"(4)"	""	false
"I6"	""	38	1.5	"F"	"V"	""	"I"	""	"6"	""	""	false
"V2"	""	38	2.0	"F"	"V"	""	"V"	""	"2"	""	""	false
"V"	""	38	2.5	"F"	"V"	""	"V"	""	""	""	""	false
"I\\\\"	""	39	1.0	"F"	"V"	""	"I"	""	""	""	""	true
"V7"	""	40	1.0	"F"	"V"	""	"V"	""	"7"	""	""	false
"I"	""	42	1.0	"F"	"V"	""	"I"	""	""	""	""	false
"I64"	""	43	2.0	"F"	"V"	""	"I"	""	"64"	""	""	false
