"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".F.I"	""	"1"	"1.0"	"1.0"	"3/4"	"18"	"1"	"1"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"V"	""	"2"	"1.0"	"4.0"	"3/4"	"18"	"1"	"1"	3.0	"F"	"I"	""	"V"	""	""	""	""	false
"I"	""	"3"	"1.0"	"7.0"	"3/4"	"18"	"1"	"1"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	"4"	"1.0"	"10.0"	"3/4"	"18"	"1"	"1"	6.0	"F"	"I"	""	"IV"	""	"6"	""	""	false
"V65"	""	"6"	"1.0"	"16.0"	"3/4"	"18"	"1"	"1"	3.0	"F"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	"7"	"1.0"	"19.0"	"3/4"	"18"	"1"	"1"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"vi"	""	"7"	"2.0"	"20.0"	"3/4"	"18"	"1"	"1"	1.0	"F"	"I"	""	"vi"	""	""	""	""	false
"ii6"	""	"7"	"3.0"	"21.0"	"3/4"	"18"	"1"	"1"	1.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"V(64)"	""	"8"	"1.0"	"22.0"	"3/4"	"18"	"1"	"1"	2.0	"F"	"I"	""	"V"	""	""	"64"	""	false
"V\\\\"	""	"8"	"3.0"	"24.0"	"3/4"	"18"	"1"	"1"	1.0	"F"	"I"	""	"V"	""	""	""	""	true
"I"	""	"9"	"1.0"	"25.0"	"3/4"	"18"	"1"	"1"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"V"	""	"10"	"1.0"	"28.0"	"3/4"	"18"	"1"	"1"	3.0	"F"	"I"	""	"V"	""	""	""	""	false
"I"	""	"11"	"1.0"	"31.0"	"3/4"	"18"	"1"	"1"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	"12"	"1.0"	"34.0"	"3/4"	"18"	"1"	"1"	6.0	"F"	"I"	""	"IV"	""	"6"	""	""	false
"#viio7(6)/vi"	""	"14"	"1.0"	"40.0"	"3/4"	"18"	"1"	"1"	2.0	"F"	"I"	""	"#vii"	"o"	"7"	"6"	"vi"	false
"#viio7/vi"	""	"14"	"3.0"	"42.0"	"3/4"	"18"	"1"	"1"	4.0	"F"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"#viio7(4)/ii"	""	"16"	"1.0"	"46.0"	"3/4"	"18"	"1"	"1"	2.0	"F"	"I"	""	"#vii"	"o"	"7"	"4"	"ii"	false
"#viio7/ii"	""	"16"	"3.0"	"48.0"	"3/4"	"18"	"1"	"1"	4.0	"F"	"I"	""	"#vii"	"o"	"7"	""	"ii"	false
"ii6(11#7b6)"	""	"18"	"1.0"	"52.0"	"3/4"	"18"	"1"	"1"	1.5	"F"	"I"	""	"ii"	""	"6"	"11#7b6"	""	false
"ii6"	""	"18"	"2.5"	"53.5"	"3/4"	"18"	"1"	"1"	1.5	"F"	"I"	""	"ii"	""	"6"	""	""	false
"V(64)"	""	"19"	"1.0"	"55.0"	"3/4"	"18"	"1"	"1"	2.0	"F"	"I"	""	"V"	""	""	"64"	""	false
"V(6)"	""	"19"	"3.0"	"57.0"	"3/4"	"18"	"1"	"1"	0.5	"F"	"I"	""	"V"	""	""	"6"	""	false
