"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"
".F.I"	""	1	1.0	1.0	"3/4"	"18"	"1"	"3"
"I6"	""	1	2.0	2.0	"3/4"	"18"	"1"	"3"
"V(4)"	""	2	1.0	4.0	"3/4"	"18"	"1"	"3"
"V"	""	2	2.0	5.0	"3/4"	"18"	"1"	"3"
"V43/ii"	""	2	3.0	6.0	"3/4"	"18"	"1"	"3"
"ii"	""	3	1.0	7.0	"3/4"	"18"	"1"	"3"
"ii6"	""	3	2.0	8.0	"3/4"	"18"	"1"	"3"
"V(4)/ii"	""	4	1.0	10.0	"3/4"	"18"	"1"	"3"
"V/ii"	""	4	2.0	11.0	"3/4"	"18"	"1"	"3"
"V43/iii"	""	4	3.0	12.0	"3/4"	"18"	"1"	"3"
"iii"	""	5	1.0	13.0	"3/4"	"18"	"1"	"3"
"iii6"	""	5	2.0	14.0	"3/4"	"18"	"1"	"3"
"V/iii"	""	5	3.0	15.0	"3/4"	"18"	"1"	"3"
"iii"	""	6	1.0	16.0	"3/4"	"18"	"1"	"3"
"V.V7"	""	7	1.0	19.0	"3/4"	"18"	"1"	"3"
"I"	""	8	1.0	22.0	"3/4"	"18"	"1"	"3"
"V7"	""	9	1.0	25.0	"3/4"	"18"	"1"	"3"
"I\\\\"	""	10	1.0	28.0	"3/4"	"18"	"1"	"3"
".bIII.I"	""	11	1.0	31.0	"3/4"	"18"	"1"	"3"
"I6"	""	11	3.0	33.0	"3/4"	"18"	"1"	"3"
"V64"	""	12	1.0	34.0	"3/4"	"18"	"1"	"3"
"V43"	""	12	2.0	35.0	"3/4"	"18"	"1"	"3"
"V7"	""	12	3.0	36.0	"3/4"	"18"	"1"	"3"
"I(974)"	""	13	1.0	37.0	"3/4"	"18"	"1"	"3"
"I"	""	13	2.0	38.0	"3/4"	"18"	"1"	"3"
"vi"	""	14	1.0	40.0	"3/4"	"18"	"1"	"3"
"vi6"	""	14	3.0	42.0	"3/4"	"18"	"1"	"3"
