"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"
".e.VI"	""	1	1.0	1.0	"2/2"	"59"	"8"	"4"
"VI.I"	""	2	1.0	5.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	2	3.0	7.0	"2/2"	"59"	"8"	"4"
"I"	""	3	1.0	9.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	4	3.0	15.0	"2/2"	"59"	"8"	"4"
"I"	""	5	1.0	17.0	"2/2"	"59"	"8"	"4"
"i.iv65"	""	7	1.0	25.0	"2/2"	"59"	"8"	"4"
"i64"	""	7	3.5	27.5	"2/2"	"59"	"8"	"4"
"V7"	""	8	1.0	29.0	"2/2"	"59"	"8"	"4"
"V7(4)"	""	8	3.0	31.0	"2/2"	"59"	"8"	"4"
"V7"	""	8	4.0	32.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	9	1.0	33.0	"2/2"	"59"	"8"	"4"
"VI.V43"	""	9	3.0	35.0	"2/2"	"59"	"8"	"4"
"I"	""	10	1.0	37.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	11	3.0	43.0	"2/2"	"59"	"8"	"4"
"I"	""	12	1.0	45.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	13	3.0	51.0	"2/2"	"59"	"8"	"4"
"I"	""	14	1.0	53.0	"2/2"	"59"	"8"	"4"
"i.iv65"	""	16	1.0	61.0	"2/2"	"59"	"8"	"4"
"i64"	""	16	3.5	63.5	"2/2"	"59"	"8"	"4"
"V7"	""	17	1.0	65.0	"2/2"	"59"	"8"	"4"
"V7(4)"	""	17	3.0	67.0	"2/2"	"59"	"8"	"4"
"V7"	""	17	4.0	68.0	"2/2"	"59"	"8"	"4"
"i\\\\"	""	18	1.0	69.0	"2/2"	"59"	"8"	"4"
"i"	""	18	3.0	71.0	"2/2"	"59"	"8"	"4"
"V/V"	""	19	1.0	73.0	"2/2"	"59"	"8"	"4"
"VI.V7/V"	""	21	3.0	83.0	"2/2"	"59"	"8"	"4"
"V7"	""	22	1.0	85.0	"2/2"	"59"	"8"	"4"
"I\\\\"	""	23	1.0	89.0	"2/2"	"59"	"8"	"4"
"I"	""	23	3.0	91.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	24	3.0	95.0	"2/2"	"59"	"8"	"4"
"I"	""	25	1.0	97.0	"2/2"	"59"	"8"	"4"
"I(64)"	""	26	3.0	103.0	"2/2"	"59"	"8"	"4"
"I"	""	27	1.0	105.0	"2/2"	"59"	"8"	"4"
"v7"	""	27	4.5	108.5	"2/2"	"59"	"8"	"4"
"I"	""	28	1.0	109.0	"2/2"	"59"	"8"	"4"
"iii(2)"	""	28	4.5	112.5	"2/2"	"59"	"8"	"4"
"i.iv6"	""	29	1.0	113.0	"2/2"	"59"	"8"	"4"
"i64"	""	29	3.5	115.5	"2/2"	"59"	"8"	"4"
"V7"	""	30	1.0	117.0	"2/2"	"59"	"8"	"4"
"V7(4)"	""	30	3.0	119.0	"2/2"	"59"	"8"	"4"
