"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".e.i"	""	"1"	"1.0"	"1.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"i"	""	""	""	""	false
"V6"	""	"1"	"2.5"	"2.5"	"6/8"	"59"	"8"	"1"	4.5	"e"	"I"	""	"V"	""	"6"	""	""	false
"i"	""	"3"	"1.0"	"7.0"	"6/8"	"59"	"8"	"1"	3.0	"e"	"I"	""	"i"	""	""	""	""	false
"V7"	""	"4"	"1.0"	"10.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	"7"	""	""	false
"i\\\\"	""	"4"	"2.5"	"11.5"	"6/8"	"59"	"8"	"1"	4.5	"e"	"I"	""	"i"	""	""	""	""	true
".bII"	""	"6"	"1.0"	"16.0"	"6/8"	"59"	"8"	"1"	3.0	"e"	"I"	""	"bII"	""	""	""	""	false
"V7/bII"	""	"7"	"1.0"	"19.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	"7"	""	"bII"	false
".bII"	""	"7"	"2.5"	"20.5"	"6/8"	"59"	"8"	"1"	4.5	"e"	"I"	""	"bII"	""	""	""	""	false
"viio7"	""	"9"	"1.0"	"25.0"	"6/8"	"59"	"8"	"1"	3.0	"e"	"I"	""	"vii"	"o"	"7"	""	""	false
"V65(2)"	""	"10"	"1.0"	"28.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	"65"	"2"	""	false
"V65"	""	"10"	"2.5"	"29.5"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	"65"	""	""	false
"V7"	""	"11"	"1.0"	"31.0"	"6/8"	"59"	"8"	"1"	3.0	"e"	"I"	""	"V"	""	"7"	""	""	false
"V7(2)"	""	"12"	"1.0"	"34.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	"7"	"2"	""	false
"V7"	""	"12"	"2.5"	"35.5"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	"7"	""	""	false
"V(64)"	""	"13"	"1.0"	"37.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	"13"	"2.5"	"38.5"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	"7"	""	""	false
"V(64)"	""	"14"	"1.0"	"40.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"V"	""	""	"64"	""	false
"V7(4)"	""	"14"	"2.5"	"41.5"	"6/8"	"59"	"8"	"1"	0.5	"e"	"I"	""	"V"	""	"7"	"4"	""	false
"V7"	""	"14"	"3.0"	"42.0"	"6/8"	"59"	"8"	"1"	1.0	"e"	"I"	""	"V"	""	"7"	""	""	false
"i\\\\"	""	"15"	"1.0"	"43.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"i"	""	""	""	""	true
"iv"	""	"15"	"2.5"	"44.5"	"6/8"	"59"	"8"	"1"	0.5	"e"	"I"	""	"iv"	""	""	""	""	false
"V6/iv"	""	"15"	"3.0"	"45.0"	"6/8"	"59"	"8"	"1"	0.5	"e"	"I"	""	"V"	""	"6"	""	"iv"	false
"iv"	""	"15"	"3.5"	"45.5"	"6/8"	"59"	"8"	"1"	0.5	"e"	"I"	""	"iv"	""	""	""	""	false
".bII"	""	"16"	"1.0"	"46.0"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"bII"	""	""	""	""	false
"vii"	""	"16"	"2.5"	"47.5"	"6/8"	"59"	"8"	"1"	1.5	"e"	"I"	""	"vii"	""	""	""	""	false
"III"	""	"17"	"1.0"	"49.0"	"6/8"	"59"	"8"	"1"	2.25	"e"	"I"	""	"III"	""	""	""	""	false
".bII"	""	"17"	"3.25"	"51.25"	"6/8"	"59"	"8"	"1"	1.25	"e"	"I"	""	"bII"	""	""	""	""	false
