"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"ii6"	""	30	1.5	88.5	"6/8"	1.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V"	""	30	2.5	89.5	"6/8"	1.5	"D"	"I"	""	"V"	""	""	""	""	false
"I\\\\"	""	31	1.0	91.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	true
"I6"	""	31	2.5	92.5	"6/8"	1.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"V2"	""	32	1.0	94.0	"6/8"	1.5	"D"	"I"	""	"V"	""	"2"	""	""	false
"V65"	""	32	2.5	95.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	33	1.0	97.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"vi"	""	33	2.5	98.5	"6/8"	1.5	"D"	"I"	""	"vi"	""	""	""	""	false
"IV(4)"	""	34	1.0	100.0	"6/8"	0.5	"D"	"I"	""	"IV"	""	""	"4"	""	false
"ii6"	""	34	1.5	100.5	"6/8"	1.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	""	34	2.5	101.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	35	1.0	103.0	"6/8"	2.5	"D"	"I"	""	"I"	""	""	""	""	true
"IV6"	""	35	3.5	105.5	"6/8"	0.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"V6"	""	36	1.0	106.0	"6/8"	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"I"	""	36	2.0	107.0	"6/8"	0.5	"D"	"I"	""	"I"	""	""	""	""	false
"I6"	""	36	2.5	107.5	"6/8"	1.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	36	3.5	108.5	"6/8"	0.5	"D"	"I"	""	"V"	""	""	""	""	false
"I"	""	37	1.0	109.0	"6/8"	2.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	37	3.5	111.5	"6/8"	0.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"V6"	""	38	1.0	112.0	"6/8"	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"I"	""	38	2.0	113.0	"6/8"	0.5	"D"	"I"	""	"I"	""	""	""	""	false
"I6"	""	38	2.5	113.5	"6/8"	1.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	38	3.5	114.5	"6/8"	0.5	"D"	"I"	""	"V"	""	""	""	""	false
"I"	""	39	1.0	115.0	"6/8"	9.0	"D"	"I"	""	"I"	""	""	""	""	false
".bIII"	""	42	1.0	124.0	"6/8"	2.5	"D"	"I"	""	"bIII"	""	""	""	""	false
"V.Ger6"	""	42	3.5	126.5	"6/8"	0.5	"D"	"V"	""	"Ger"	""	"6"	""	""	false
"V\\\\"	""	43	1.0	127.0	"6/8"	1.5	"D"	"V"	""	"V"	""	""	""	""	true
"V[viio7"	""	43	2.5	128.5	"6/8"	1.5	"D"	"V"	"V"	"vii"	"o"	"7"	""	""	false
"i"	""	44	1.0	130.0	"6/8"	1.5	"D"	"V"	"V"	"i"	""	""	""	""	false
"viio2"	""	44	2.5	131.5	"6/8"	1.5	"D"	"V"	"V"	"vii"	"o"	"2"	""	""	false
"i64"	""	45	1.0	133.0	"6/8"	1.5	"D"	"V"	"V"	"i"	""	"64"	""	""	false
"viio"	""	45	2.5	134.5	"6/8"	1.5	"D"	"V"	"V"	"vii"	"o"	""	""	""	false
"i"	""	46	1.0	136.0	"6/8"	1.5	"D"	"V"	"V"	"i"	""	""	""	""	false
"#viio64/V"	""	46	2.5	137.5	"6/8"	1.5	"D"	"V"	"V"	"#vii"	"o"	"64"	""	"V"	false
"V6"	""	47	1.0	139.0	"6/8"	1.5	"D"	"V"	"V"	"V"	""	"6"	""	""	false
"viio43"	""	47	2.5	140.5	"6/8"	1.5	"D"	"V"	"V"	"vii"	"o"	"43"	""	""	false
"i6"	""	48	1.0	142.0	"6/8"	1.5	"D"	"V"	"V"	"i"	""	"6"	""	""	false
"viio7"	""	48	2.5	143.5	"6/8"	1.5	"D"	"V"	"V"	"vii"	"o"	"7"	""	""	false
"i"	""	49	1.0	145.0	"6/8"	1.5	"D"	"V"	"V"	"i"	""	""	""	""	false
"viio64"	""	49	2.5	146.5	"6/8"	1.5	"D"	"V"	"V"	"vii"	"o"	"64"	""	""	false
"i6"	""	50	1.0	148.0	"6/8"	1.5	"D"	"V"	"V"	"i"	""	"6"	""	""	false
"#viio64/V"	""	50	2.5	149.5	"6/8"	1.5	"D"	"V"	"V"	"#vii"	"o"	"64"	""	"V"	false
"V6]\\\\"	""	51	1.0	151.0	"6/8"	0.5	"D"	"V"	"V"	"V"	""	"6"	""	""	true
"@none"	""	51	1.5	151.5	"6/8"	14.5	"D"	"V"	""	""	""	""	""	""	false
"V9"	""	56	1.0	166.0	"6/8"	3.0	"D"	"V"	""	"V"	""	"9"	""	""	false
"I"	""	57	1.0	169.0	"6/8"	3.0	"D"	"V"	""	"I"	""	""	""	""	false
"V43"	""	58	1.0	172.0	"6/8"	3.0	"D"	"V"	""	"V"	""	"43"	""	""	false
"I"	""	59	1.0	175.0	"6/8"	1.5	"D"	"V"	""	"I"	""	""	""	""	false
"V6(#4)"	""	59	2.5	176.5	"6/8"	1.0	"D"	"V"	""	"V"	""	"6"	"#4"	""	false
"V6"	""	59	3.5	177.5	"6/8"	0.5	"D"	"V"	""	"V"	""	"6"	""	""	false
"i"	""	60	1.0	178.0	"6/8"	1.0	"D"	"V"	""	"i"	""	""	""	""	false
"V2"	""	60	2.0	179.0	"6/8"	0.5	"D"	"V"	""	"V"	""	"2"	""	""	false
"IV6"	""	60	2.5	179.5	"6/8"	1.0	"D"	"V"	""	"IV"	""	"6"	""	""	false
".Ger6"	""	60	3.5	180.5	"6/8"	0.5	"D"	"V"	""	"Ger"	""	"6"	""	""	false
"V\\\\"	""	61	1.0	181.0	"6/8"	3.0	"D"	"V"	""	"V"	""	""	""	""	true
"#viio6/V"	""	62	1.0	184.0	"6/8"	1.5	"D"	"V"	""	"#vii"	"o"	"6"	""	"V"	false
"V65"	""	62	2.5	185.5	"6/8"	1.5	"D"	"V"	""	"V"	""	"65"	""	""	false
"I"	""	63	1.0	187.0	"6/8"	1.5	"D"	"V"	""	"I"	""	""	""	""	false
"IV"	""	63	2.5	188.5	"6/8"	1.0	"D"	"V"	""	"IV"	""	""	""	""	false
"ii6"	""	63	3.5	189.5	"6/8"	0.5	"D"	"V"	""	"ii"	""	"6"	""	""	false
"V(64)"	""	64	1.0	190.0	"6/8"	1.5	"D"	"V"	""	"V"	""	""	"64"	""	false
"V(6)"	""	64	2.5	191.5	"6/8"	0.5	"D"	"V"	""	"V"	""	""	"6"	""	false
"V7"	""	64	3.0	192.0	"6/8"	1.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	65	1.0	193.0	"6/8"	1.5	"D"	"V"	""	"I"	""	""	""	""	true
"I64"	""	65	2.5	194.5	"6/8"	1.5	"D"	"V"	""	"I"	""	"64"	""	""	false
"V65"	""	66	1.0	196.0	"6/8"	-0.5	"D"	"V"	""	"V"	""	"65"	""	""	false
"V7"	""	66	0.5	195.5	"6/8"	3.5	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	""	67	1.0	199.0	"6/8"	3.0	"D"	"V"	""	"I"	""	""	""	""	false
"V43"	""	68	1.0	202.0	"6/8"	3.0	"D"	"V"	""	"V"	""	"43"	""	""	false
"I"	""	69	1.0	205.0	"6/8"	3.0	"D"	"V"	""	"I"	""	""	""	""	false
"V65"	""	70	1.0	208.0	"6/8"	-0.5	"D"	"V"	""	"V"	""	"65"	""	""	false
"V2/IV"	""	70	0.5	207.5	"6/8"	3.5	"D"	"V"	""	"V"	""	"2"	""	"IV"	false
"IV6"	""	71	1.0	211.0	"6/8"	1.5	"D"	"V"	""	"IV"	""	"6"	""	""	false
"I"	""	71	2.5	212.5	"6/8"	1.5	"D"	"V"	""	"I"	""	""	""	""	false
"viio6"	""	72	1.0	214.0	"6/8"	1.5	"D"	"V"	""	"vii"	"o"	"6"	""	""	false
"V65/IV"	""	72	2.5	215.5	"6/8"	1.5	"D"	"V"	""	"V"	""	"65"	""	"IV"	false
"IV"	""	73	1.0	217.0	"6/8"	1.5	"D"	"V"	""	"IV"	""	""	""	""	false
"I"	""	73	2.5	218.5	"6/8"	1.5	"D"	"V"	""	"I"	""	""	""	""	false
"viio6"	""	74	1.0	220.0	"6/8"	1.5	"D"	"V"	""	"vii"	"o"	"6"	""	""	false
"V65/IV"	""	74	2.5	221.5	"6/8"	1.5	"D"	"V"	""	"V"	""	"65"	""	"IV"	false
"IV"	""	75	1.0	223.0	"6/8"	1.5	"D"	"V"	""	"IV"	""	""	""	""	false
"iv"	""	75	2.5	224.5	"6/8"	1.5	"D"	"V"	""	"iv"	""	""	""	""	false
"V(64)"	""	76	1.0	226.0	"6/8"	1.5	"D"	"V"	""	"V"	""	""	"64"	""	false
"#viio65/V"	""	76	2.5	227.5	"6/8"	1.5	"D"	"V"	""	"#vii"	"o"	"65"	""	"V"	false
"V7"	""	77	1.0	229.0	"6/8"	3.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"V(64)"	""	78	1.0	232.0	"6/8"	3.0	"D"	"V"	""	"V"	""	""	"64"	""	false
"V7"	""	79	1.0	235.0	"6/8"	6.0	"D"	"V"	""	"V"	""	"7"	""	""	false
".bIII.I"	""	81	1.0	241.0	"6/8"	3.0	"D"	"bIII"	""	"I"	""	""	""	""	false
"V65"	""	82	1.0	244.0	"6/8"	3.0	"D"	"bIII"	""	"V"	""	"65"	""	""	false
"I"	""	83	1.0	247.0	"6/8"	3.0	"D"	"bIII"	""	"I"	""	""	""	""	false
"V65"	""	84	1.0	250.0	"6/8"	3.0	"D"	"bIII"	""	"V"	""	"65"	""	""	false
"I"	""	85	1.0	253.0	"6/8"	3.0	"D"	"bIII"	""	"I"	""	""	""	""	false
"V65"	""	86	1.0	256.0	"6/8"	3.0	"D"	"bIII"	""	"V"	""	"65"	""	""	false
"I"	""	87	1.0	259.0	"6/8"	3.0	"D"	"bIII"	""	"I"	""	""	""	""	false
"V.#viio/V"	""	88	1.0	262.0	"6/8"	3.0	"D"	"V"	""	"#vii"	"o"	""	""	"V"	false
"V(64)"	""	89	1.0	265.0	"6/8"	4.5	"D"	"V"	""	"V"	""	""	"64"	""	false
"V7"	""	90	2.5	269.5	"6/8"	1.5	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	91	1.0	271.0	"6/8"	2.0	"D"	"V"	""	"I"	""	""	""	""	true
"V/bIII"	""	91	3.0	273.0	"6/8"	0.5	"D"	"V"	""	"V"	""	""	""	"bIII"	false
".bIII"	""	91	3.5	273.5	"6/8"	0.5	"D"	"V"	""	"bIII"	""	""	""	""	false
"V2/bII"	""	92	1.0	274.0	"6/8"	3.0	"D"	"V"	""	"V"	""	"2"	""	"bII"	false
".bII"	""	93	1.0	277.0	"6/8"	3.0	"D"	"V"	""	"bII"	""	""	""	""	false
"#viio7/V"	""	94	1.0	280.0	"6/8"	3.0	"D"	"V"	""	"#vii"	"o"	"7"	""	"V"	false
"V(64)"	""	95	1.0	283.0	"6/8"	3.0	"D"	"V"	""	"V"	""	""	"64"	""	false
"V7"	""	96	1.0	286.0	"6/8"	3.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	97	1.0	289.0	"6/8"	2.0	"D"	"V"	""	"I"	""	""	""	""	true
"V7(2)"	""	97	3.0	291.0	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	"2"	""	false
"V7"	""	97	3.5	291.5	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	""	98	1.0	292.0	"6/8"	2.0	"D"	"V"	""	"I"	""	""	""	""	false
"V7(2)"	""	98	3.0	294.0	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	"2"	""	false
"V7"	""	98	3.5	294.5	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	""	99	1.0	295.0	"6/8"	2.0	"D"	"V"	""	"I"	""	""	""	""	false
"V7(2)"	""	99	3.0	297.0	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	"2"	""	false
"V7"	""	99	3.5	297.5	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	""	""	false
"V(64)"	""	100	1.0	298.0	"6/8"	2.0	"D"	"V"	""	"V"	""	""	"64"	""	false
"V7(2)"	""	100	3.0	300.0	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	"2"	""	false
"V7"	""	100	3.5	300.5	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	""	101	1.0	301.0	"6/8"	1.5	"D"	"V"	""	"I"	""	""	""	""	false
"V7(2)"	""	101	2.5	302.5	"6/8"	1.0	"D"	"V"	""	"V"	""	"7"	"2"	""	false
"V7"	""	101	3.5	303.5	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	""	102	1.0	304.0	"6/8"	1.5	"D"	"V"	""	"I"	""	""	""	""	false
"V7(2)"	""	102	2.5	305.5	"6/8"	1.0	"D"	"V"	""	"V"	""	"7"	"2"	""	false
"V7"	""	102	3.5	306.5	"6/8"	0.5	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	""	103	1.0	307.0	"6/8"	0.5	"D"	"V"	""	"I"	""	""	""	""	false
"I.V[I"	""	103	1.5	307.5	"6/8"	1.0	"D"	"I"	"V"	"I"	""	""	""	""	false
"ii6(2)"	""	103	2.5	308.5	"6/8"	1.0	"D"	"I"	"V"	"ii"	""	"6"	"2"	""	false
"ii6"	""	103	3.5	309.5	"6/8"	0.5	"D"	"I"	"V"	"ii"	""	"6"	""	""	false
"I6(2)"	""	104	1.0	310.0	"6/8"	1.0	"D"	"I"	"V"	"I"	""	"6"	"2"	""	false
"I6"	""	104	2.0	311.0	"6/8"	0.5	"D"	"I"	"V"	"I"	""	"6"	""	""	false
"viio6(2)"	""	104	2.5	311.5	"6/8"	1.0	"D"	"I"	"V"	"vii"	"o"	"6"	"2"	""	false
"viio6"	""	104	3.5	312.5	"6/8"	0.5	"D"	"I"	"V"	"vii"	"o"	"6"	""	""	false
"vi6(2)"	""	105	1.0	313.0	"6/8"	1.0	"D"	"I"	"V"	"vi"	""	"6"	"2"	""	false
"vi6"	""	105	2.0	314.0	"6/8"	0.5	"D"	"I"	"V"	"vi"	""	"6"	""	""	false
"V6(2)"	""	105	2.5	314.5	"6/8"	1.0	"D"	"I"	"V"	"V"	""	"6"	"2"	""	false
"V6"	""	105	3.5	315.5	"6/8"	0.5	"D"	"I"	"V"	"V"	""	"6"	""	""	false
"IV6(2)"	""	106	1.0	316.0	"6/8"	1.0	"D"	"I"	"V"	"IV"	""	"6"	"2"	""	false
"IV6"	""	106	2.0	317.0	"6/8"	0.5	"D"	"I"	"V"	"IV"	""	"6"	""	""	false
"iii6(2)"	""	106	2.5	317.5	"6/8"	1.0	"D"	"I"	"V"	"iii"	""	"6"	"2"	""	false
"iii6"	""	106	3.5	318.5	"6/8"	0.5	"D"	"I"	"V"	"iii"	""	"6"	""	""	false
"ii6(2)"	""	107	1.0	319.0	"6/8"	1.0	"D"	"I"	"V"	"ii"	""	"6"	"2"	""	false
"ii6"	""	107	2.0	320.0	"6/8"	0.5	"D"	"I"	"V"	"ii"	""	"6"	""	""	false
"#viio6(2)/ii"	""	107	2.5	320.5	"6/8"	1.0	"D"	"I"	"V"	"#vii"	"o"	"6"	"2"	"ii"	false
"#viio6/ii"	""	107	3.5	321.5	"6/8"	0.5	"D"	"I"	"V"	"#vii"	"o"	"6"	""	"ii"	false
"#viio2/V"	""	108	1.0	322.0	"6/8"	1.5	"D"	"I"	"V"	"#vii"	"o"	"2"	""	"V"	false
"viio6(2)"	""	108	2.5	323.5	"6/8"	1.0	"D"	"I"	"V"	"vii"	"o"	"6"	"2"	""	false
"viio6"	""	108	3.5	324.5	"6/8"	0.5	"D"	"I"	"V"	"vii"	"o"	"6"	""	""	false
"viio6"	""	109	1.0	325.0	"6/8"	3.0	"D"	"I"	"V"	"vii"	"o"	"6"	""	""	false
"viio6]"	""	110	1.0	328.0	"6/8"	3.0	"D"	"I"	"V"	"vii"	"o"	"6"	""	""	false
"#viio7/vi"	""	111	1.0	331.0	"6/8"	6.0	"D"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"ii64"	""	113	1.0	337.0	"6/8"	3.0	"D"	"I"	""	"ii"	""	"64"	""	""	false
".bVII7"	""	114	1.0	340.0	"6/8"	3.0	"D"	"I"	""	"bVII"	""	"7"	""	""	false
"V65"	""	115	1.0	343.0	"6/8"	8.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"ii6"	""	117	3.0	351.0	"6/8"	3.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"I6"	""	118	3.0	354.0	"6/8"	3.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"viio6"	""	119	3.0	357.0	"6/8"	4.0	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	121	1.0	361.0	"6/8"	0.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	121	1.5	361.5	"6/8"	2.5	"D"	"I"	""	"IV"	""	""	""	""	false
"V65"	""	122	1.0	364.0	"6/8"	8.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"ii6"	""	124	3.0	372.0	"6/8"	3.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"I6"	""	125	3.0	375.0	"6/8"	3.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"viio6"	""	126	3.0	378.0	"6/8"	4.0	"D"	"I"	""	"vii"	"o"	"6"	""	""	false
"iiio6"	""	128	1.0	382.0	"6/8"	2.0	"D"	"I"	""	"iii"	"o"	"6"	""	""	false
"ii6"	""	128	3.0	384.0	"6/8"	4.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"#io6"	""	130	1.0	388.0	"6/8"	3.0	"D"	"I"	""	"#i"	"o"	"6"	""	""	false
"v6"	""	131	1.0	391.0	"6/8"	3.0	"D"	"I"	""	"v"	""	"6"	""	""	false
"IV6"	""	132	1.0	394.0	"6/8"	3.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"iiio6"	""	133	1.0	397.0	"6/8"	3.0	"D"	"I"	""	"iii"	"o"	"6"	""	""	false
"v6"	""	134	1.0	400.0	"6/8"	3.0	"D"	"I"	""	"v"	""	"6"	""	""	false
"IV6"	""	135	1.0	403.0	"6/8"	3.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"iiio6"	""	136	1.0	406.0	"6/8"	4.5	"D"	"I"	""	"iii"	"o"	"6"	""	""	false
".bVII6"	""	137	2.5	410.5	"6/8"	4.5	"D"	"I"	""	"bVII"	""	"6"	""	""	false
"IV"	""	139	1.0	415.0	"6/8"	-0.5	"D"	"I"	""	"IV"	""	""	""	""	false
".bVII6"	""	139	0.5	414.5	"6/8"	6.5	"D"	"I"	""	"bVII"	""	"6"	""	""	false
"IV6"	""	141	1.0	421.0	"6/8"	3.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"ii64"	""	142	1.0	424.0	"6/8"	-0.5	"D"	"I"	""	"ii"	""	"64"	""	""	false
"V7"	""	142	0.5	423.5	"6/8"	3.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	143	1.0	427.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	143	2.5	428.5	"6/8"	1.5	"D"	"I"	""	"IV"	""	""	""	""	false
"ii6"	""	144	1.0	430.0	"6/8"	1.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V2"	""	144	2.5	431.5	"6/8"	1.5	"D"	"I"	""	"V"	""	"2"	""	""	false
"I"	""	145	1.0	433.0	"6/8"	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"vi6"	""	145	2.5	434.5	"6/8"	4.5	"D"	"I"	""	"vi"	""	"6"	""	""	false
"V6(2)"	""	147	1.0	439.0	"6/8"	1.5	"D"	"I"	""	"V"	""	"6"	"2"	""	false
"V6"	""	147	2.5	440.5	"6/8"	4.5	"D"	"I"	""	"V"	""	"6"	""	""	false
"v6"	""	149	1.0	445.0	"6/8"	6.0	"D"	"I"	""	"v"	""	"6"	""	""	false
"IV6(2)"	""	151	1.0	451.0	"6/8"	1.5	"D"	"I"	""	"IV"	""	"6"	"2"	""	false
"IV6"	""	151	2.5	452.5	"6/8"	4.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"IV"	""	153	1.0	457.0	"6/8"	1.5	"D"	"I"	""	"IV"	""	""	""	""	false
"ii6"	""	153	2.5	458.5	"6/8"	1.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"ii.V(64)"	""	154	1.0	460.0	"6/8"	3.0	"D"	"ii"	""	"V"	""	""	"64"	""	false
"#viio6"	""	155	1.0	463.0	"6/8"	2.5	"D"	"ii"	""	"#vii"	"o"	"6"	""	""	false
"V7"	""	156	0.5	465.5	"6/8"	3.5	"D"	"ii"	""	"V"	""	"7"	""	""	false
"i\\\\"	""	157	1.0	469.0	"6/8"	1.5	"D"	"ii"	""	"i"	""	""	""	""	true
".bIII6"	""	157	2.5	470.5	"6/8"	4.5	"D"	"ii"	""	"bIII"	""	"6"	""	""	false
"v6"	""	159	1.0	475.0	"6/8"	3.0	"D"	"ii"	""	"v"	""	"6"	""	""	false
"v"	""	160	1.0	478.0	"6/8"	-0.5	"D"	"ii"	""	"v"	""	""	""	""	false
"v6"	""	160	0.5	477.5	"6/8"	3.5	"D"	"ii"	""	"v"	""	"6"	""	""	false
"V7/ii"	""	161	1.0	481.0	"6/8"	3.0	"D"	"ii"	""	"V"	""	"7"	""	"ii"	false
"#viio43/ii"	""	162	1.0	484.0	"6/8"	1.5	"D"	"ii"	""	"#vii"	"o"	"43"	""	"ii"	false
"#viio2/ii"	""	162	2.5	485.5	"6/8"	3.0	"D"	"ii"	""	"#vii"	"o"	"2"	""	"ii"	false
