"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".D.I"	NA	1	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	2	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I(4)"	NA	3	1.0	"D"	"I"	""	"I"	""	""	"(4)"	""	false
"I"	NA	3	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"V43"	NA	4	1.0	"D"	"I"	""	"V"	""	"43"	""	""	false
"I6"	NA	5	1.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"IV"	NA	6	1.0	"D"	"I"	""	"IV"	""	""	""	""	false
"V(64)"	NA	7	1.0	"D"	"I"	""	"V"	""	""	"(64)"	""	false
"V"	NA	8	1.0	"D"	"I"	""	"V"	""	""	""	""	false
"V7"	NA	8	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I(+7#2)"	NA	9	1.0	"D"	"I"	""	"I"	""	""	"(+7#2)"	""	false
"I"	NA	10	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	NA	11	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I(4)"	NA	13	1.0	"D"	"I"	""	"I"	""	""	"(4)"	""	false
"I"	NA	13	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"V43"	NA	14	1.0	"D"	"I"	""	"V"	""	"43"	""	""	false
"I6(4)"	NA	15	1.0	"D"	"I"	""	"I"	""	"6"	"(4)"	""	false
"I"	NA	15	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"#viio65/ii"	NA	16	1.0	"D"	"I"	""	"#vii"	"o"	"65"	""	"ii"	false
"ii6"	NA	17	1.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"viio6/IV"	NA	21	1.0	"D"	"I"	""	"vii"	"o"	"6"	""	"IV"	false
"IV6(#7)"	NA	22	1.0	"D"	"I"	""	"IV"	""	"6"	"(#7)"	""	false
"IV6"	NA	22	2.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"viio6/V"	NA	22	4.0	"D"	"I"	""	"vii"	"o"	"6"	""	"V"	false
"V6(#7)"	NA	23	1.0	"D"	"I"	""	"V"	""	"6"	"(#7)"	""	false
"V6"	NA	23	2.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"V65"	NA	23	3.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"V6"	NA	24	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"V7"	NA	24	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"V7"	NA	25	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"V6(2)"	NA	25	2.0	"D"	"I"	""	"V"	""	"6"	"(2)"	""	false
"V6"	NA	25	2.5	"D"	"I"	""	"V"	""	"6"	""	""	false
"I(4)"	NA	25	3.0	"D"	"I"	""	"I"	""	""	"(4)"	""	false
"I"	NA	25	3.5	"D"	"I"	""	"I"	""	""	""	""	false
"I6"	NA	25	4.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"ii6"	NA	26	1.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	NA	26	3.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	27	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"I"	NA	27	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V2/IV"	NA	28	1.0	"D"	"I"	""	"V"	""	"2"	""	"IV"	false
"IV6"	NA	29	1.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"V65"	NA	30	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"I(#2)"	NA	31	1.0	"D"	"I"	""	"I"	""	""	"(#2)"	""	false
"I"	NA	31	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V2/IV"	NA	32	1.0	"D"	"I"	""	"V"	""	"2"	""	"IV"	false
"IV6"	NA	33	1.0	"D"	"I"	""	"IV"	""	"6"	""	""	false
"V65"	NA	34	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"I(#2)"	NA	35	1.0	"D"	"I"	""	"I"	""	""	"(#2)"	""	false
"I"	NA	35	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V65"	NA	36	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	NA	36	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"V65"	NA	37	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	NA	37	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"ii65"	NA	38	1.0	"D"	"I"	""	"ii"	""	"65"	""	""	false
"V"	NA	38	3.0	"D"	"I"	""	"V"	""	""	""	""	false
"I(4)"	NA	39	1.0	"D"	"I"	""	"I"	""	""	"(4)"	""	false
"I\\\\"	NA	39	2.0	"D"	"I"	""	"I"	""	""	""	""	true
"vi"	NA	39	4.0	"D"	"I"	""	"vi"	""	""	""	""	false
"V65/vi"	NA	40	1.0	"D"	"I"	""	"V"	""	"65"	""	"vi"	false
"vi"	NA	40	3.0	"D"	"I"	""	"vi"	""	""	""	""	false
"V65/vi"	NA	41	1.0	"D"	"I"	""	"V"	""	"65"	""	"vi"	false
"vi"	NA	41	3.0	"D"	"I"	""	"vi"	""	""	""	""	false
"ii"	NA	42	1.0	"D"	"I"	""	"ii"	""	""	""	""	false
"ii65"	NA	42	2.0	"D"	"I"	""	"ii"	""	"65"	""	""	false
"V/vi"	NA	42	3.0	"D"	"I"	""	"V"	""	""	""	"vi"	false
"vi(4)"	NA	43	1.0	"D"	"I"	""	"vi"	""	""	"(4)"	""	false
"vi"	NA	43	2.0	"D"	"I"	""	"vi"	""	""	""	""	false
"v.i6"	NA	43	4.0	"D"	"v"	""	"i"	""	"6"	""	""	false
"iv"	NA	44	1.0	"D"	"v"	""	"iv"	""	""	""	""	false
"ii65"	NA	44	2.0	"D"	"v"	""	"ii"	""	"65"	""	""	false
"V"	NA	44	3.0	"D"	"v"	""	"V"	""	""	""	""	false
"i(4)"	NA	45	1.0	"D"	"v"	""	"i"	""	""	"(4)"	""	false
"i"	NA	45	2.0	"D"	"v"	""	"i"	""	""	""	""	false
".Ger6"	NA	45	3.0	"D"	"v"	""	"Ger"	""	"6"	""	""	false
"V"	NA	47	1.0	"D"	"v"	""	"V"	""	""	""	""	false
"VI"	NA	47	3.0	"D"	"v"	""	"VI"	""	""	""	""	false
".Ger6"	NA	47	4.0	"D"	"v"	""	"Ger"	""	"6"	""	""	false
"V"	NA	49	1.0	"D"	"v"	""	"V"	""	""	""	""	false
".Ger6"	NA	49	3.0	"D"	"v"	""	"Ger"	""	"6"	""	""	false
"V\\\\"	NA	51	1.0	"D"	"v"	""	"V"	""	""	""	""	true
"V.V"	NA	51	3.0	"D"	"V"	""	"V"	""	""	""	""	false
"V7"	NA	54	1.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I"	NA	55	3.0	"D"	"V"	""	"I"	""	""	""	""	false
"ii65"	NA	56	1.0	"D"	"V"	""	"ii"	""	"65"	""	""	false
"V7"	NA	56	3.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	NA	57	1.0	"D"	"V"	""	"I"	""	""	""	""	true
"V7"	NA	58	1.0	"D"	"V"	""	"V"	""	"7"	""	""	false
"V2"	NA	61	1.0	"D"	"V"	""	"V"	""	"2"	""	""	false
"#viio2/vi"	NA	62	1.0	"D"	"V"	""	"#vii"	"o"	"2"	""	"vi"	false
".bVII.viio"	NA	64	1.0	"D"	"bVII"	""	"vii"	"o"	""	""	""	false
"V7"	NA	67	1.0	"D"	"bVII"	""	"V"	""	"7"	""	""	false
"I"	NA	68	1.0	"D"	"bVII"	""	"I"	""	""	""	""	false
"V2"	NA	69	1.0	"D"	"bVII"	""	"V"	""	"2"	""	""	false
"I6"	NA	70	1.0	"D"	"bVII"	""	"I"	""	"6"	""	""	false
"V6"	NA	70	3.0	"D"	"bVII"	""	"V"	""	"6"	""	""	false
"I"	NA	71	1.0	"D"	"bVII"	""	"I"	""	""	""	""	false
"V"	NA	71	3.0	"D"	"bVII"	""	"V"	""	""	""	""	false
"vi"	NA	72	1.0	"D"	"bVII"	""	"vi"	""	""	""	""	false
