"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".Ab.I[I64"	""	"1"	"1.0"	"1.0"	"3/8"	"74"	"10"	"2"	3.0	"Ab"	"I"	"I"	"I"	""	"64"	""	""	false
"V(2)/V"	""	"3"	"1.0"	"4.0"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	"I"	"V"	""	""	"2"	"V"	false
"viio7"	""	"3"	"1.5"	"4.5"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	"I"	"vii"	"o"	"7"	""	""	false
"I]"	""	"3"	"2.0"	"5.0"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	"I"	"I"	""	""	""	""	false
"IV6"	""	"4"	"1.0"	"5.5"	"3/8"	"74"	"10"	"2"	0.25	"Ab"	"I"	""	"IV"	""	"6"	""	""	false
"V65"	""	"4"	"1.25"	"5.75"	"3/8"	"74"	"10"	"2"	0.25	"Ab"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	"4"	"1.5"	"6.0"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"4"	"2.0"	"6.5"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	"5"	"1.0"	"7.0"	"3/8"	"74"	"10"	"2"	1.5	"Ab"	"I"	""	"V"	""	""	""	""	false
"I"	""	"6"	"1.0"	"8.5"	"3/8"	"74"	"10"	"2"	1.5	"Ab"	"I"	""	"I"	""	""	""	""	false
"#viio65/vi"	""	"7"	"1.0"	"10.0"	"3/8"	"74"	"10"	"2"	1.0	"Ab"	"I"	""	"#vii"	"o"	"65"	""	"vi"	false
"IV6"	""	"7"	"2.0"	"11.0"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	""	"IV"	""	"6"	""	""	false
"V6/vi"	""	"8"	"1.0"	"11.5"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	""	"V"	""	"6"	""	"vi"	false
"vi"	""	"8"	"1.5"	"12.0"	"3/8"	"74"	"10"	"2"	0.25	"Ab"	"I"	""	"vi"	""	""	""	""	false
"vi6"	""	"8"	"1.75"	"12.25"	"3/8"	"74"	"10"	"2"	0.25	"Ab"	"I"	""	"vi"	""	"6"	""	""	false
"V(64)/V"	""	"8"	"2.0"	"12.5"	"3/8"	"74"	"10"	"2"	0.25	"Ab"	"I"	""	"V"	""	""	"64"	"V"	false
"V7/V"	""	"8"	"2.25"	"12.75"	"3/8"	"74"	"10"	"2"	0.25	"Ab"	"I"	""	"V"	""	"7"	""	"V"	false
"V(9#74)"	""	"9"	"1.0"	"13.0"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	""	"V"	""	""	"9#74"	""	false
"V\\\\"	""	"9"	"1.5"	"13.5"	"3/8"	"74"	"10"	"2"	1.0	"Ab"	"I"	""	"V"	""	""	""	""	true
"V2"	""	"10"	"1.0"	"14.5"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	""	"V"	""	"2"	""	""	false
"I6"	""	"10"	"1.5"	"15.0"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	""	"I"	""	"6"	""	""	false
"V64"	""	"10"	"2.0"	"15.5"	"3/8"	"74"	"10"	"2"	0.5	"Ab"	"I"	""	"V"	""	"64"	""	""	false
"I"	""	"11"	"1.0"	"16.0"	"3/8"	"74"	"10"	"2"	1.0	"Ab"	"I"	""	"I"	""	""	""	""	false
