mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	4	1	C.I					C	I		I		I							M	0	0	0, 4, 1		0	0	0	17	0.0	0.0	3.25	0.0
3	2	0	0	3/4	4	1	V43(4)					C	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2	0	4	0.0	0.0	1.75	0.0
3	2	1/4	1/4	3/4	4	1	V43					C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	0	1	0.0	0.0	0.25	0.0
3	2	1/2	1/2	3/4	4	1	I					C	I		I		I							M	0	0	0, 4, 1		0	0	2	6	0.25	0.0	1.0	0.0
4	3	0	0	3/4	4	1	V(64)					C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	1	4	0.2	0.125	1.0	0.1111111111111111
4	3	1/4	1/4	3/4	4	1	V\\					C	I		V		V						\\	M	0	0	1, 5, 2		1	1	1	3	0.25	0.125	0.375	0.25
5	4	0	0	3/4	4	1	V7					C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	8	0.0	0.0	2.0	0.0
5	4	1/2	1/2	3/4	4	1	#viio7/vi	-0.197348	-2.98224	/		C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8	0	4	0.0	0.0	0.5	0.0
5	4	5/8	5/8	3/4	4	1	vi					C	I		vi		vi							m	0	0	3, 0, 4		3	3	0	4	0.0	0.0	0.5	0.0
6	5	0	0	3/4	4	1	ii6					C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	0	6	0.0	0.0	1.25	0.0
6	5	1/4	1/4	3/4	4	1	ii					C	I		ii		ii							m	0	0	2, -1, 3		2	2	0	3	0.0	0.0	0.75	0.0
6	5	1/2	1/2	3/4	4	1	V7(9)	0	-3.47561	/		C	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	0	4	0.0	0.0	0.8125	0.0
6	5	9/16	9/16	3/4	4	1	V7	0.195123	-3.47074	/		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	2	4	0.3333333333333333	0.0625	0.125	0.3333333333333333
7	6	0	0	3/4	4	1	I(4+2)					C	I		I(4+2)		I			4+2				M	0	0	0, -1, 1	2	0	0	1	5	0.16666666666666666	0.25	1.0	0.2
7	6	1/4	1/4	3/4	4	1	I\\					C	I		I		I						\\	M	0	0	0, 4, 1		0	0	0	7	0.0	0.0	0.625	0.0
8	7	0	0	3/4	4	1	I					C	I		I		I							M	0	0	0, 4, 1		0	0	8	17	0.32	0.25	2.625	0.08695652173913043
9	8	1/8	1/8	3/4	4	1	I6	0	-2.79768	/		C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
9	8	1/4	1/4	3/4	4	1	V	0	-2.8	/		C	I		V		V							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
9	8	1/2	1/2	3/4	4	1	I	0	-2.8	/		C	I		I		I							M	0	0	0, 4, 1		0	0	3	26	0.10344827586206896	0.09375	2.90625	0.03125
11	10	1/8	1/8	3/4	4	1	I6					C	I		I6		I		6					M	0	0	4, 1, 0		0	4	4	6	0.4	0.0625	0.4375	0.125
11	10	1/4	1/4	3/4	4	1	V					C	I		V		V							M	0	0	1, 5, 2		1	1	2	8	0.2	0.0	1.0	0.0
12	11	0	0	3/4	4	1	V2/V					C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0	0	8	0.0	0.0	1.125	0.0
12	11	1/4	1/4	3/4	4	1	V6					C	I		V6		V		6					M	0	0	5, 2, 1		1	5	1	8	0.1111111111111111	0.09375	0.65625	0.125
13	12	0	0	3/4	4	1	V.V2	0	-2.91566	/		C	V		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	8	0.0	0.0	1.125	0.0
13	12	1/4	1/4	3/4	4	1	I6	0	-3.11301	/		C	V		I6		I		6					M	0	0	5, 2, 1		1	5	3	11	0.21428571428571427	0.25	1.625	0.13333333333333333
14	13	0	0	3/4	4	1	IV	-0.0476681	-3.21279	/		C	V		IV		IV							M	0	0	0, 4, 1		0	0	3	5	0.375	0.125	0.5	0.2
14	13	1/8	1/8	3/4	4	1	ii6	-2.36817	-3.40903	/		C	V		ii6		ii		6					m	0	0	0, 4, 3		3	0	1	2	0.3333333333333333	0.03125	0.09375	0.25
14	13	3/16	3/16	3/4	4	1	viio7/V	-2.96022	-3.40903	/		C	V		viio7/V		vii	o	7		V			o7	0	0	7, 4, 1, -2		7	7	0	5	0.0	0.0	0.25	0.0
14	13	1/4	1/4	3/4	4	1	V(64+2)	0.0986739	-3.48674	/		C	V		V(64+2)		V			64+2				M	0	0	2, 1, 5	4	2	2	0	7	0.0	0.0	1.0	0.0
14	13	1/2	1/2	3/4	4	1	V7(4)	0	-3.36247	/		C	V		V7(4)		V		7	4				Mm7	0	0	2, 1, 3, 0		2	2	3	12	0.2	0.0625	0.875	0.06666666666666667
14	13	23/32	23/32	3/4	4	1	V7	0	-3.75828	/		C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	1	0.0	0.0	0.03125	0.0
15	14	0	0	3/4	4	1	I(4+2)					C	V		I(4+2)		I			4+2				M	0	0	1, 0, 2	3	1	1	1	5	0.16666666666666666	0.125	0.875	0.125
15	14	1/4	1/4	3/4	4	1	I\\					C	V		I		I						\\	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
15	14	1/2	1/2	3/4	4	1	I6					C	V		I6		I		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	0.5	0.0
16	15	0	0	3/4	4	1	I.V2					C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	0	4	0.0	0.0	1.5	0.0
16	15	3/8	3/8	3/4	4	1	I6					C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.5	0.0
16	15	1/2	1/2	3/4	4	1	V65					C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	4	0.0	0.0	0.5	0.0
16	15	5/8	5/8	3/4	4	1	I					C	I		I		I							M	0	0	0, 4, 1		0	0	0	8	0.0	0.0	0.5	0.0
17	16	0	0	3/4	4	1	V(64)					C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	2	6	0.25	0.125	0.875	0.125
