mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	4	1	a.i64					a	i		i64		i		64					m	1	1	4, 3, 0		3	4	1	5	0.16666666666666666	0.125	0.875	0.125
2	2	0	0	6/8	4	1	V					a	i		V		V							M	1	1	4, 8, 5		4	4	1	3	0.25	0.125	0.5	0.2
2	2	3/8	3/8	6/8	4	1	V7					a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.5	0.2
3	3	0	0	6/8	4	1	i64					a	i		i64		i		64					m	1	1	4, 3, 0		3	4	1	5	0.16666666666666666	0.125	0.75	0.14285714285714285
3	3	3/8	3/8	6/8	4	1	V7					a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	2	6	0.25	0.25	1.125	0.18181818181818182
4	4	0	0	6/8	4	1	i64					a	i		i64		i		64					m	1	1	4, 3, 0		3	4	3	5	0.375	0.375	1.0	0.2727272727272727
4	4	3/8	3/8	6/8	4	1	V7					a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	2	7	0.2222222222222222	0.25	1.125	0.18181818181818182
5	5	0	0	6/8	4	1	i\\	0	-4.1	/	1	a	i		i		i						\\	m	1	1	3, 0, 4		3	3	7	8	0.4666666666666667	0.875	1.375	0.3888888888888889
7	7	0	0	6/8	4	1	i\\	0	-3.7	/	1	a	i		i		i						\\	m	1	1	3, 0, 4		3	3	8	7	0.5333333333333333	1.0	1.25	0.4444444444444444
9	9	0	0	6/8	4	1	III					a	i		III		III							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	0.625	0.0
9	9	3/8	3/8	6/8	4	1	V7/VI					a	i		V7/VI		V		7		VI			Mm7	1	1	0, 4, 1, -2		0	0	3	8	0.2727272727272727	0.375	1.375	0.21428571428571427
10	10	0	0	6/8	4	1	VI(94)	0	-3.89408	/		a	i		VI(94)		VI			94				M	1	1	-1, 5, 0	1	-1	-1	2	3	0.4	0.25	0.75	0.25
10	10	1/8	1/8	6/8	4	1	VI	0	-3.32005	/		a	i		VI		VI							M	1	1	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.75	0.0
