mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	4	1	Bb.I	-0.0636568	-1.9066	/		Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	6	78	0.07142857142857142	0.1875	15.0625	0.012295081967213115
6	6	0	0	2/2	4	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	0	16	0.0	0.0	3.0	0.0
7	7	0	0	2/2	4	1	I6					Bb	I		I6		I		6					M	0	0	2, -1, -2		-2	2	0	7	0.0	0.0	1.5	0.0
7	7	1/2	1/2	2/2	4	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	2	9	0.18181818181818182	0.0625	1.4375	0.041666666666666664
8	8	0	0	2/2	4	1	V65	-0.146342	-3.67074	/		Bb	I		V65		V		65					Mm7	0	0	3, 0, -3, -1		-1	3	0	16	0.0	0.0	3.0	0.0
9	9	0	0	2/2	4	1	I	0	-4.59522	/		Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	2	16	0.1111111111111111	0.0625	2.9375	0.020833333333333332
10	10	0	0	2/2	4	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	0	16	0.0	0.0	3.0	0.0
11	11	0	0	2/2	4	1	I6					Bb	I		I6		I		6					M	0	0	2, -1, -2		-2	2	0	7	0.0	0.0	1.5	0.0
11	11	1/2	1/2	2/2	4	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	1.5	0.0
12	12	0	0	2/2	4	1	vi					Bb	I		vi		vi							m	0	0	1, -2, 2		1	1	0	7	0.0	0.0	1.5	0.0
12	12	1/2	1/2	2/2	4	1	V7/V					Bb	I		V7/V		V		7		V			Mm7	0	0	0, 4, 1, -2		0	0	0	7	0.0	0.0	1.5	0.0
13	13	0	0	2/2	4	1	V\\					Bb	I		V		V						\\	M	0	0	-1, 3, 0		-1	-1	0	7	0.0	0.0	1.25	0.0
13	13	1/2	1/2	2/2	4	1	V65/V	-2.34147	-2.35366	/		Bb	I		V65/V		V		65		V			Mm7	0	0	4, 1, -2, 0		0	4	2	8	0.2	0.0625	1.1875	0.05
