mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	4	1	e.i					e	i		i		i							m	1	1	4, 1, 5		4.0	4.0	0	9	0.0	0.0	2.25	0.0
1	1	3/8	3/8	6/8	4	1	V6	0	-3.97561	/		e	i		V6		V		6					M	1	1	9, 6, 5		5.0	9.0	0	7	0.0	0.0	1.75	0.0
3	3	0	0	6/8	4	1	i					e	i		i		i							m	1	1	4, 1, 5		4.0	4.0	0	9	0.0	0.0	1.875	0.0
4	4	0	0	6/8	4	1	V7					e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5.0	5.0	1	9	0.1	0.0625	1.4375	0.041666666666666664
4	4	3/8	3/8	6/8	4	1	i\\					e	i		i		i						\\	m	1	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
6	6	0	0	6/8	4	1	bII					e	i		bII		bII							M	1	1	-1, 3, 0		-1.0	-1.0	0	13	0.0	0.0	2.625	0.0
7	7	0	0	6/8	4	1	V7/bII					e	i		V7/bII		V		7		bII			Mm7	1	1	0, 4, 1, -2		0.0	0.0	1	9	0.1	0.0625	1.4375	0.041666666666666664
7	7	3/8	3/8	6/8	4	1	bII					e	i		bII		bII							M	1	1	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
9	9	0	0	6/8	4	1	viio7					e	i		viio7		vii	o	7					o7	1	1	2, -1, -4, -7		2.0	2.0	7	0	1.0	1.125	0.0	1.0
10	10	0	0	6/8	4	1	V65(2)					e	i		V65(2)		V		65	2				Mm7	1	1	9, 6, 3, 0		5.0	9.0	0	4	0.0	0.0	2.625	0.0
10	10	3/8	3/8	6/8	4	1	V65					e	i		V65		V		65					Mm7	1	1	9, 6, 3, 5		5.0	9.0	0	1	0.0	0.0	0.375	0.0
11	11	0	0	6/8	4	1	V7					e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5.0	5.0	1	10	0.09090909090909091	0.125	1.75	0.06666666666666667
12	12	0	0	6/8	4	1	V7(2)					e	i		V7(2)		V		7	2				Mm7	1	1	0, 9, 6, 3		5.0	0.0	0	4	0.0	0.0	2.625	0.0
12	12	3/8	3/8	6/8	4	1	V7					e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5.0	5.0	0	1	0.0	0.0	0.375	0.0
13	13	0	0	6/8	4	1	V(64)					e	i		V(64)		V			64				M	1	1	5, 4, 1		5.0	5.0	0	8	0.0	0.0	1.875	0.0
13	13	3/8	3/8	6/8	4	1	V7					e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5.0	5.0	2	7	0.2222222222222222	0.125	1.0	0.1111111111111111
14	14	0	0	6/8	4	1	V(64)					e	i		V(64)		V			64				M	1	1	5, 4, 1		5.0	5.0	2	9	0.18181818181818182	0.125	1.75	0.06666666666666667
14	14	3/8	3/8	6/8	4	1	V7(4)					e	i		V7(4)		V		7	4				Mm7	1	1	5, 4, 6, 3		5.0	5.0	0	4	0.0	0.0	0.5	0.0
14	14	1/2	1/2	6/8	4	1	V7					e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5.0	5.0	2	5	0.2857142857142857	0.125	0.5	0.2
15	15	0	0	6/8	4	1	i\\					e	i		i		i						\\	m	1	1	4, 1, 5		4.0	4.0	2	8	0.2	0.125	0.6875	0.15384615384615385
15	15	3/8	3/8	6/8	4	1	iv					e	i		iv		iv							m	1	1	3, 0, 4		3.0	3.0	2	4	0.3333333333333333	0.125	0.375	0.25
15	15	1/2	1/2	6/8	4	1	V6/iv					e	i		V6/iv		V		6		iv			M	1	1	8, 5, 4		4.0	8.0	0	4	0.0	0.0	0.25	0.0
15	15	5/8	5/8	6/8	4	1	iv					e	i		iv		iv							m	1	1	3, 0, 4		3.0	3.0	2	2	0.5	0.125	0.125	0.5
16	16	0	0	6/8	4	1	bII	0	-5.5	/		e	i		bII		bII							M	1	1	-1, 3, 0		-1.0	-1.0	4	8	0.3333333333333333	0.25	0.5625	0.3076923076923077
16	16	3/8	3/8	6/8	4	1	vii	0	-5.5	/		e	i		vii		vii							m	1	1	2, -1, 3		2.0	2.0	6	6	0.5	0.375	0.375	0.5
17	17	0	0	6/8	4	1	III	0	-5.5	/		e	i		III		III							M	1	1	1, 5, 2		1.0	1.0	10	8	0.5555555555555556	0.625	0.5	0.5555555555555556
17	17	9/16	9/16	6/8	4	1	bII	0	-5.5	/		e	i		bII		bII							M	1	1	-1, 3, 0		-1.0	-1.0	0	8	0.0	0.0	0.625	0.0
18	18	1/8	1/8	6/8	4	1	viio7/V	-1.36586	-3.68293	/		e	i		viio7/V		vii	o	7		V			o7	1	1	10, 7, 4, 1		10.0	10.0	0	6	0.0	0.0	1.0	0.0
18	18	3/8	3/8	6/8	4	1	V(64)	0	-3.78049	/		e	i		V(64)		V			64				M	1	1	5, 4, 1		5.0	5.0	3	9	0.25	0.375	1.125	0.25
19	19	0	0	6/8	4	1	#viio2	0	-3.97561	/		e	i		#viio2		#vii	o	2					o7	1	1	0, 9, 6, 3		9.0	0.0	0	4	0.0	0.0	1.0	0.0
19	19	3/8	3/8	6/8	4	1	V6\\	-0.0975609	-3.97561	/		e	i		V6		V		6				\\	M	1	1	9, 6, 5		5.0	9.0	0	7	0.0	0.0	1.75	0.0
21	21	0	0	6/8	4	1	i[i6	0	-4	/		e	i	i	i6		i		6					m	1	1	1, 5, 4		4.0	1.0	0	6	0.0	0.0	1.1875	0.0
21	21	3/8	3/8	6/8	4	1	#viio64	0	-4	/		e	i	i	#viio64		#vii	o	64					o	1	1	3, 9, 6		9.0	3.0	4	5	0.4444444444444444	0.25	0.875	0.2222222222222222
22	22	0	0	6/8	4	1	i6	0	-5.4	/		e	i	i	i6		i		6					m	1	1	1, 5, 4		4.0	1.0	3	9	0.25	0.25	1.625	0.13333333333333333
22	22	3/8	3/8	6/8	4	1	#viio64	-0.0975609	-5.4	/		e	i	i	#viio64		#vii	o	64					o	1	1	3, 9, 6		9.0	3.0	4	5	0.4444444444444444	0.25	0.875	0.2222222222222222
