mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	0	2/2	4	1	C.I	-1.60976	-2.64634	/	C	I		I		I							M	0	0	0, 4, 1		0.0	0.0	0	1	0.0	0.0	0.5	0.0
1	0	1/2	1/2	2/2	4	1	V	0	-2.79268	/	C	I		V		V							M	0	0	1, 5, 2		1.0	1.0	1	3	0.25	0.125	0.375	0.25
2	1	0	0	2/2	4	1	V43				C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1.0	2.0	1	5	0.16666666666666666	0.125	0.75	0.14285714285714285
3	2	0	0	2/2	4	1	I				C	I		I		I							M	0	0	0, 4, 1		0.0	0.0	2	4	0.3333333333333333	0.25	0.625	0.2857142857142857
4	3	0	0	2/2	4	1	V43				C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1.0	2.0	2	6	0.25	0.25	0.75	0.25
5	4	0	0	2/2	4	1	I				C	I		I		I							M	0	0	0, 4, 1		0.0	0.0	3	5	0.375	0.375	0.625	0.375
6	5	0	0	2/2	4	1	IV				C	I		IV		IV							M	0	0	-1, 3, 0		-1.0	-1.0	1	3	0.25	0.125	0.375	0.25
6	5	1/2	1/2	2/2	4	1	V				C	I		V		V							M	0	0	1, 5, 2		1.0	1.0	1	3	0.25	0.125	0.375	0.25
7	6	0	0	2/2	4	1	I				C	I		I		I							M	0	0	0, 4, 1		0.0	0.0	1	3	0.25	0.125	0.375	0.25
7	6	1/2	1/2	2/2	4	1	I6				C	I		I6		I		6					M	0	0	4, 1, 0		0.0	4.0	1	3	0.25	0.125	0.375	0.25
8	7	0	0	2/2	4	1	IV				C	I		IV		IV							M	0	0	-1, 3, 0		-1.0	-1.0	1	3	0.25	0.125	0.375	0.25
8	7	1/2	1/2	2/2	4	1	V				C	I		V		V							M	0	0	1, 5, 2		1.0	1.0	1	3	0.25	0.125	0.375	0.25
9	8	0	0	2/2	4	1	I\\				C	I		I		I						\\	M	0	0	0, 4, 1		0.0	0.0	1	3	0.25	0.125	0.375	0.25
9	8	1/2	1/2	2/2	4	1	vi				C	I		vi		vi							m	0	0	3, 0, 4		3.0	3.0	1	3	0.25	0.125	0.375	0.25
10	9	0	0	2/2	4	1	V65/V				C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2.0	6.0	1	3	0.25	0.125	0.375	0.25
10	9	1/2	1/2	2/2	4	1	V7/V				C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2.0	2.0	1	3	0.25	0.125	0.375	0.25
11	10	0	0	2/2	4	1	V.I				C	V		I		I							M	0	0	1, 5, 2		1.0	1.0	5	8	0.38461538461538464	0.625	1.375	0.3125
