mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	4	1	Eb.I	0.0115834	-2.55553	/			Eb	I		I		I							M	0	0	-3, 1, -2		-3	-3	0	8	0.0	0.0	1.0	0.0
1	1	1/4	1/4	3/4	4	1	V						Eb	I		V		V							M	0	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	1.0	0.0
1	1	1/2	1/2	3/4	4	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3	-3	0	8	0.0	0.0	1.0	0.0
2	2	0	0	3/4	4	1	V	0	-3.06143	/			Eb	I		V		V							M	0	0	-2, 2, -1		-2	-2	2	9	0.18181818181818182	0.1875	2.0625	0.08333333333333333
3	3	0	0	3/4	4	1	I6/V						Eb	I		I6/V		I		6		V			M	0	0	2, -1, -2		-2	2	2	2	0.5	0.1875	0.3125	0.375
4	4	0	0	3/4	4	1	I64/V						Eb	I		I64/V		I		64		V			M	0	0	-1, -2, 2		-2	-1	1	3	0.25	0.125	0.375	0.25
5	5	0	0	3/4	4	1	V6/V						Eb	I		V6/V		V		6		V			M	0	0	3, 0, -1		-1	3	1	2	0.3333333333333333	0.25	0.75	0.25
6	6	1/4	1/4	3/4	4	1	I6/V					IV6/ii	Eb	I		I6/V		I		6		V			M	0	0	2, -1, -2		-2	2	1	1	0.5	0.0625	0.25	0.2
6	6	1/2	1/2	3/4	4	1	#viio/ii						Eb	I		#viio/ii		#vii	o			ii			o	0	0	4, 1, -2		4	4	0	3	0.0	0.0	0.4375	0.0
7	7	0	0	3/4	4	1	ii						Eb	I		ii		ii							m	0	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.8125	0.0
7	7	1/2	1/2	3/4	4	1	V64/ii						Eb	I		V64/ii		V		64		ii			M	0	0	1, 0, 4		0	1	0	3	0.0	0.0	0.4375	0.0
8	8	0	0	3/4	4	1	ii6						Eb	I		ii6		ii		6					m	0	0	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.8125	0.0
8	8	1/2	1/2	3/4	4	1	viio/V						Eb	I		viio/V		vii	o			V			o	0	0	3, 0, -3		3	3	0	3	0.0	0.0	0.4375	0.0
9	9	0	0	3/4	4	1	V						Eb	I		V		V							M	0	0	-2, 2, -1		-2	-2	2	2	0.5	0.5	1.0	0.3333333333333333
10	10	0	0	3/4	4	1	V	0.937507	-2.6875	/			Eb	I		V		V							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	1.0	0.0
10	10	1/2	1/2	3/4	4	1	V7						Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	0	1	0.0	0.0	0.25	0.0
11	11	0	0	3/4	4	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3	-3	2	3	0.4	0.5	1.25	0.2857142857142857
12	12	0	0	3/4	4	1	vi						Eb	I		vi		vi							m	0	0	0, -3, 1		0	0	0	3	0.0	0.0	1.0	0.0
12	12	1/2	1/2	3/4	4	1	viio6/V	-3.26395	-2.37911	/			Eb	I		viio6/V		vii	o	6		V			o	0	0	0, -3, 3		3	0	0	1	0.0	0.0	0.25	0.0
13	13	0	0	3/4	4	1	V6	0.604436	-2.37911	/			Eb	I		V6		V		6					M	0	0	2, -1, -2		-2	2	2	3	0.4	0.5	1.25	0.2857142857142857
14	14	0	0	3/4	4	1	V	0	-5.15693	/			Eb	I		V		V							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.5	0.0
14	14	1/2	1/2	3/4	4	1	V7	0	-5.82117	/			Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	1	3	0.25	0.0	0.5	0.0
15	15	0	0	3/4	4	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	1.75	0.0
15	15	1/2	1/2	3/4	4	1	V6						Eb	I		V6		V		6					M	0	0	2, -1, -2		-2	2	1	4	0.2	0.0	0.75	0.0
16	16	0	0	3/4	4	1	viio6/V	-1.92828	-4.88992	/			Eb	I		viio6/V		vii	o	6		V			o	0	0	0, -3, 3		3	0	0	5	0.0	0.0	0.9375	0.0
16	16	1/4	1/4	3/4	4	1	iv6	0.0929803	-5.01047	/			Eb	I		iv6		iv		6					m	0	0	-7, -3, -4		-4	-7	0	5	0.0	0.0	1.125	0.0
16	16	1/2	1/2	3/4	4	1	V7	0	-6.43421	/			Eb	I		V7		V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	0	5	0.0	0.0	0.8125	0.0
17	17	0	0	3/4	4	1	I	0	-4.07153	/			Eb	I		I		I							M	0	0	-3, 1, -2		-3	-3	0	9	0.0	0.0	1.75	0.0
17	17	1/2	1/2	3/4	4	1	ii						Eb	I		ii		ii							m	0	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.4375	0.0
18	18	0	0	3/4	4	1	I6						Eb	I		I6		I		6					M	0	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.8125	0.0
18	18	1/4	1/4	3/4	4	1	I						Eb	I		I		I							M	0	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.3125	0.0
18	18	1/2	1/2	3/4	4	1	IV						Eb	I		IV		IV							M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.4375	0.0
