mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	Db.viio6(2)	0.229553	-3.61624	/	Db	I		viio6(2)	vii	o	6	2				o	0	0	-3, -6, -5		0	-3	2	1	0.6666666666666666	0.75	0.25	0.75
1	1	1/2	1/2	4/4	4	1	viio6	0	-3.93516	/	Db	I		viio6	vii	o	6					o	0	0	-3, -6, 0		0	-3	3	6	0.3333333333333333	0.1875	0.9375	0.16666666666666666
2	2	0	0	4/4	4	1	vi6	0	-3.02239	/	Db	I		vi6	vi		6					m	0	0	-5, -1, -2		-2	-5	0	3	0.0	0.0	0.625	0.0
2	2	1/4	1/4	4/4	4	1	viio6(2)	0	-3.02091	/	Db	I		viio6(2)	vii	o	6	2				o	0	0	-3, -6, -5		0	-3	3	1	0.75	0.75	0.25	0.75
2	2	1/2	1/2	4/4	4	1	viio6	0.104477	-3.12538	/	Db	I		viio6	vii	o	6					o	0	0	-3, -6, 0		0	-3	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
2	2	7/8	7/8	4/4	4	1	V6	-0.68866	-3.41821	/	Db	I		V6	V		6					M	0	0	0, -3, -4		-4	0	2	4	0.3333333333333333	0.0625	0.3125	0.16666666666666666
3	3	0	0	4/4	4	1	I	0	-3.41821	/	Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	3	11	0.21428571428571427	0.15625	1.84375	0.078125
3	3	1/2	1/2	4/4	4	1	V6				Db	I		V6	V		6					M	0	0	0, -3, -4		-4	0	3	6	0.3333333333333333	0.25	1.0	0.2
3	3	3/4	3/4	4/4	4	1	V43	0	-2.81343	/	Db	I		V43	V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	1	7	0.125	0.0625	0.5625	0.1
4	4	0	0	4/4	4	1	I	0.313431	-1.03732	/	Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	1	6	0.14285714285714285	0.0625	1.4375	0.041666666666666664
4	4	1/4	1/4	4/4	4	1	I6	-0.313431	-0.828366	/	Db	I		I6	I		6					M	0	0	-1, -4, -5		-5	-1	2	5	0.2857142857142857	0.09375	0.40625	0.1875
4	4	1/2	1/2	4/4	4	1	IV				Db	I		IV	IV							M	0	0	-6, -2, -5		-6	-6	2	5	0.2857142857142857	0.125	0.375	0.25
4	4	5/8	5/8	4/4	4	1	V43				Db	I		V43	V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	3	0.0	0.0	0.25	0.0
4	4	11/16	11/16	4/4	4	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	3	0.0	0.0	0.1875	0.0
4	4	3/4	3/4	4/4	4	1	V(64)				Db	I		V(64)	V			64				M	0	0	-4, -5, -1		-4	-4	0	5	0.0	0.0	0.4375	0.0
4	4	7/8	7/8	4/4	4	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	6	0.0	0.0	0.5	0.0
5	5	0	0	4/4	4	1	I\\	0.104477	-1.55971	/	Db	I		I	I						\\	M	0	0	-5, -1, -4		-5	-5	1	8	0.1111111111111111	0.0625	1.5625	0.038461538461538464
5	5	1/4	1/4	4/4	4	1	I				Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	2	5	0.2857142857142857	0.09375	0.46875	0.16666666666666666
5	5	1/2	1/2	4/4	4	1	V6				Db	I		V6	V		6					M	0	0	0, -3, -4		-4	0	2	8	0.2	0.1875	0.875	0.17647058823529413
5	5	3/4	3/4	4/4	4	1	V65				Db	I		V65	V		65					Mm7	0	0	0, -3, -6, -4		-4	0	2	4	0.3333333333333333	0.1875	0.375	0.3333333333333333
5	5	7/8	7/8	4/4	4	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	3	0.0	0.0	0.1875	0.0
6	6	0	0	4/4	4	1	I				Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	3	13	0.1875	0.15625	1.96875	0.07352941176470588
6	6	1/2	1/2	4/4	4	1	IVM7	0	-3.75373	/	Db	I		IVM7	IV	M	7					MM7	0	0	-6, -2, -5, -1		-6	-6	0	4	0.0	0.0	0.4375	0.0
6	6	5/8	5/8	4/4	4	1	V7	0.208954	-3.75373	/	Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	4	0.0	0.0	0.375	0.0
6	6	3/4	3/4	4/4	4	1	vi	0.313431	-4.27611	/	Db	I		vi	vi							m	0	0	-2, -5, -1		-2	-2	0	4	0.0	0.0	0.4375	0.0
6	6	7/8	7/8	4/4	4	1	V6	0.104477	-4.58954	/	Db	I		V6	V		6					M	0	0	0, -3, -4		-4	0	0	6	0.0	0.0	0.5	0.0
7	7	0	0	4/4	4	1	V.ii	-0.0617972	-5.82774	/	Db	V		ii	ii							m	0	0	-2, -5, -1		-2	-2	1	4	0.2	0.0625	0.5	0.1111111111111111
7	7	1/8	1/8	4/4	4	1	vii%7	-1.60717	-6.21184	/	Db	V		vii%7	vii	%	7					%7	0	0	1, -2, -5, -1		1	1	0	3	0.0	0.0	0.3125	0.0
7	7	3/16	3/16	4/4	4	1	V6	0.0632787	-5.28474	/	Db	V		V6	V		6					M	0	0	1, -2, -3		-3	1	1	2	0.3333333333333333	0.03125	0.09375	0.25
7	7	1/4	1/4	4/4	4	1	iii7	0	-4.79553	/	Db	V		iii7	iii		7					mm7	0	0	0, -3, 1, -2		0	0	1	4	0.2	0.0625	0.4375	0.125
7	7	3/8	3/8	4/4	4	1	I6				Db	V		I6	I		6					M	0	0	0, -3, -4		-4	0	0	5	0.0	0.0	0.5	0.0
