mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	0	2/2	4	1	E.I	0	-6.01184	/		E	I		I	I							M	0	0	4, 8, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
3	2	0	0	2/2	4	1	I					E	I		I	I							M	0	0	4, 8, 5		4.0	4.0	0	24	0.0	0.0	6.5	0.0
5	4	0	0	2/2	4	1	V7					E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5.0	5.0	8	15	0.34782608695652173	2.0	3.75	0.34782608695652173
7	6	0	0	2/2	4	1	I					E	I		I	I							M	0	0	4, 8, 5		4.0	4.0	4	9	0.3076923076923077	1.0	2.25	0.3076923076923077
8	7	0	0	2/2	4	1	IV					E	I		IV	IV							M	0	0	3, 7, 4		3.0	3.0	0	6	0.0	0.0	1.75	0.0
8	7	1/2	1/2	2/2	4	1	ii					E	I		ii	ii							m	0	0	6, 3, 7		6.0	6.0	1	4	0.2	0.25	1.25	0.16666666666666666
9	8	0	0	2/2	4	1	V/vi					E	I		V/vi	V				vi			M	0	0	8, 12, 9		8.0	8.0	0	26	0.0	0.0	6.5	0.0
11	10	0	0	2/2	4	1	I6	0	-3.36256	/		E	I		I6	I		6					M	0	0	8, 5, 4		4.0	8.0	0	13	0.0	0.0	3.25	0.0
12	11	0	0	2/2	4	1	I	0	-4.47156	/		E	I		I	I							M	0	0	4, 8, 5		4.0	4.0	0	11	0.0	0.0	3.25	0.0
13	12	0	0	2/2	4	1	V7	0	-4.22167	/		E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5.0	5.0	8	18	0.3076923076923077	2.0	4.5	0.3076923076923077
15	14	0	0	2/2	4	1	I	-0.114778	-6.36367	/		E	I		I	I							M	0	0	4, 8, 5		4.0	4.0	4	12	0.25	1.0	3.0	0.25
16	15	0	0	2/2	4	1	IV	0.114778	-5.48423	/		E	I		IV	IV							M	0	0	3, 7, 4		3.0	3.0	1	6	0.14285714285714285	0.25	1.75	0.125
