mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	4	1	Bb.I						Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
2	1	0	0	3/4	4	1	V6						Bb	I		V6		V		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	1.5	0.0
2	1	3/8	3/8	3/4	4	1	V2/IV	-1.67163	-2.5	/			Bb	I		V2/IV		V		2		IV			Mm7	0	0	-4, -2, 2, -1		-2	-4	0	4	0.0	0.0	0.5	0.0
2	1	1/2	1/2	3/4	4	1	IV6						Bb	I		IV6		IV		6					M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.5	0.0
2	1	5/8	5/8	3/4	4	1	ii						Bb	I		ii		ii							m	0	0	0, -3, 1		0	0	0	4	0.0	0.0	0.5	0.0
3	2	0	0	3/4	4	1	I6						Bb	I		I6		I		6					M	0	0	2, -1, -2		-2	2	1	4	0.2	0.125	0.875	0.125
3	2	1/4	1/4	3/4	4	1	V						Bb	I		V		V							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
3	2	1/2	1/2	3/4	4	1	I						Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	1.0	0.0
4	3	0	0	3/4	4	1	V43						Bb	I		V43		V		43					Mm7	0	0	0, -3, -1, 3		-1	0	0	4	0.0	0.0	1.5	0.0
4	3	3/8	3/8	3/4	4	1	#viio65/ii	-1.14925	-3.20164	/			Bb	I		#viio65/ii		#vii	o	65		ii			o7	0	0	2, -1, -4, 5		5	2	0	4	0.0	0.0	0.5	0.0
4	3	1/2	1/2	3/4	4	1	ii6	0	-3.28934	/			Bb	I		ii6		ii		6					m	0	0	-3, 1, 0		0	-3	0	4	0.0	0.0	0.5	0.0
4	3	5/8	5/8	3/4	4	1	V7						Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	0	10	0.0	0.0	1.875	0.0
5	4	1/4	1/4	3/4	4	1	I\\						Bb	I		I		I						\\	M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.625	0.0
5	4	5/8	5/8	3/4	4	1	V6						Bb	I		V6		V		6					M	0	0	3, 0, -1		-1	3	0	8	0.0	0.0	1.5	0.0
6	5	1/4	1/4	3/4	4	1	vi7						Bb	I		vi7		vi		7					mm7	0	0	1, -2, 2, -1		1	1	0	4	0.0	0.0	0.5	0.0
6	5	5/8	5/8	3/4	4	1	V43/V						Bb	I		V43/V		V		43		V			Mm7	0	0	1, -2, 0, 4		0	1	0	10	0.0	0.0	2.125	0.0
7	6	1/4	1/4	3/4	4	1	V7/V	-0.835817	-2.5	/			Bb	I		V7/V		V		7		V			Mm7	0	0	0, 4, 1, -2		0	0	0	7	0.0	0.0	1.3125	0.0
7	6	5/8	5/8	3/4	4	1	V(9+#74)	-5.22386	-3.11393	/			Bb	I		V(9+#74)		V			9+#74				M	0	0	-1, -2, 0	1, 4	-1	-1	0	3	0.0	0.0	0.25	0.0
7	6	11/16	11/16	3/4	4	1	V						Bb	I		V		V							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.1875	0.0
8	7	0	0	3/4	4	1	V\\						Bb	I		V		V						\\	M	0	0	-1, 3, 0		-1	-1	1	8	0.1111111111111111	0.125	1.375	0.08333333333333333
9	8	0	0	3/4	4	1	V65/ii						Bb	I		V65/ii		V		65		ii			Mm7	0	0	5, 2, -1, 1		1	5	0	4	0.0	0.0	0.375	0.0
9	8	1/4	1/4	3/4	4	1	ii						Bb	I		ii		ii							m	0	0	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
9	8	3/8	3/8	3/4	4	1	V6/ii						Bb	I		V6/ii		V		6		ii			M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
9	8	1/2	1/2	3/4	4	1	ii						Bb	I		ii		ii							m	0	0	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
9	8	5/8	5/8	3/4	4	1	V2/V	-1.3582	-2.60448	/			Bb	I		V2/V		V		2		V			Mm7	0	0	-2, 0, 4, 1		0	-2	0	2	0.0	0.0	0.25	0.0
10	9	0	0	3/4	4	1	V6(4)	-1.25373	-2.60448	/			Bb	I		V6(4)		V		6	4				M	0	0	-2, 0, -1		-1	-2	0	2	0.0	0.0	0.25	0.0
10	9	1/8	1/8	3/4	4	1	V6						Bb	I		V6		V		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.375	0.25
10	9	3/8	3/8	3/4	4	1	V						Bb	I		V		V							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.375	0.25
10	9	5/8	5/8	3/4	4	1	V/vi						Bb	I		V/vi		V				vi			M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
11	10	0	0	3/4	4	1	IV						Bb	I		IV		IV							M	0	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.25	0.0
11	10	1/8	1/8	3/4	4	1	#viio/ii	-1.25373	-2.5	/			Bb	I		#viio/ii		#vii	o			ii			o	0	0	5, 2, -1		5	5	0	4	0.0	0.0	0.375	0.0
11	10	1/4	1/4	3/4	4	1	ii(+4)	-1.56716	-2.5	/			Bb	I		ii(+4)		ii			+4				m	0	0	0, -3, 1	-1	0	0	0	3	0.0	0.0	0.375	0.0
11	10	3/8	3/8	3/4	4	1	#viio6/ii	-1.60717	-2.58929	/			Bb	I		#viio6/ii		#vii	o	6		ii			o	0	0	2, -1, 5		5	2	0	4	0.0	0.0	0.375	0.0
11	10	1/2	1/2	3/4	4	1	ii6						Bb	I		ii6		ii		6					m	0	0	-3, 1, 0		0	-3	0	3	0.0	0.0	0.375	0.0
11	10	5/8	5/8	3/4	4	1	viio/V						Bb	I		viio/V		vii	o			V			o	0	0	4, 1, -2		4	4	0	6	0.0	0.0	0.75	0.0
12	11	1/8	1/8	3/4	4	1	V	0	-3.16658	/			Bb	I		V		V							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
12	11	1/4	1/4	3/4	4	1	V2(9)	-2.61193	-4.94361	/			Bb	I		V2(9)		V		2	9				Mm7	0	0	-3, -1, 3, 0	1	-1	-3	0	4	0.0	0.0	0.5	0.0
12	11	3/8	3/8	3/4	4	1	I6	0.229553	-3.62569	/			Bb	I		I6		I		6					M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.5	0.0
12	11	1/2	1/2	3/4	4	1	V65/IV	-2.3191	-4.87	/			Bb	I		V65/IV		V		65		IV			Mm7	0	0	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.5	0.0
12	11	5/8	5/8	3/4	4	1	#viio65/ii	-2.17342	-4.87	/			Bb	I		#viio65/ii		#vii	o	65		ii			o7	0	0	2, -1, -4, 5		5	2	0	4	0.0	0.0	0.5	0.0
13	12	0	0	3/4	4	1	ii6	-0.0632787	-4.87	/			Bb	I		ii6		ii		6					m	0	0	-3, 1, 0		0	-3	0	4	0.0	0.0	0.5	0.0
13	12	1/8	1/8	3/4	4	1	V65/V	-1.54656	-4.86502	/			Bb	I		V65/V		V		65		V			Mm7	0	0	4, 1, -2, 0		0	4	0	5	0.0	0.0	0.625	0.0
13	12	1/4	1/4	3/4	4	1	v	-0.208954	-4.87	/			Bb	I		v		v							m	0	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
13	12	3/8	3/8	3/4	4	1	V43/V	-0.835817	-4.87	/			Bb	I		V43/V		V		43		V			Mm7	0	0	1, -2, 0, 4		0	1	0	5	0.0	0.0	0.625	0.0
13	12	1/2	1/2	3/4	4	1	v6	-0.292833	-4.87	/			Bb	I		v6		v		6					m	0	0	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.375	0.0
13	12	5/8	5/8	3/4	4	1	viio7	-1.88059	-4.87	/			Bb	I		viio7		vii	o	7					o7	0	0	3, 0, -3, -6		3	3	0	8	0.0	0.0	1.0	0.0
14	13	1/8	1/8	3/4	4	1	I[I64						Bb	I	I	I64		I		64					M	0	0	-1, -2, 2		-2	-1	0	4	0.0	0.0	0.5	0.0
14	13	1/4	1/4	3/4	4	1	viio43						Bb	I	I	viio43		vii	o	43					o7	0	0	-3, -6, 3, 0		3	-3	1	4	0.2	0.125	0.5	0.2
14	13	3/8	3/8	3/4	4	1	I6]						Bb	I	I	I6		I		6					M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.625	0.0
14	13	1/2	1/2	3/4	4	1	V43						Bb	I		V43		V		43					Mm7	0	0	0, -3, -1, 3		-1	0	0	3	0.0	0.0	0.375	0.0
14	13	5/8	5/8	3/4	4	1	V65/IV	-0.626863	-2.60448	/			Bb	I		V65/IV		V		65		IV			Mm7	0	0	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.5	0.0
15	14	0	0	3/4	4	1	IV						Bb	I		IV		IV							M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.5625	0.0
15	14	1/8	1/8	3/4	4	1	IV6						Bb	I		IV6		IV		6					M	0	0	1, -2, -3		-3	1	1	4	0.2	0.0625	0.375	0.14285714285714285
15	14	1/4	1/4	3/4	4	1	viio2	-0.313431	-3.25812	/			Bb	I		viio2		vii	o	2					o7	0	0	-6, 3, 0, -3		3	-6	0	4	0.0	0.0	0.5	0.0
15	14	3/8	3/8	3/4	4	1	V\\	0.313431	-2.81343	/			Bb	I		V		V						\\	M	0	0	-1, 3, 0		-1	-1	4	4	0.5	0.3125	0.4375	0.4166666666666667
16	15	0	0	4/4	4	1	I						Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	9	11	0.45	0.5625	1.1875	0.32142857142857145
17	16	0	0	4/4	4	1	V7	0.125076	-1.47435	/			Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	13	27	0.325	0.8125	4.9375	0.14130434782608695
19	18	0	0	4/4	4	1	I6						Bb	I		I6		I		6					M	0	0	2, -1, -2		-2	2	6	13	0.3157894736842105	0.375	2.625	0.125
19	18	3/4	3/4	4/4	4	1	I						Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	8	8	0.5	0.5	0.5	0.5
20	19	0	0	4/4	4	1	I6						Bb	I		I6		I		6					M	0	0	2, -1, -2		-2	2	9	7	0.5625	0.5625	0.4375	0.5625
20	19	1/4	1/4	4/4	4	1	I						Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	16	16	0.5	1.0	1.0	0.5
20	19	3/4	3/4	4/4	4	1	viio	0	-5.02509	/			Bb	I		viio		vii	o						o	0	0	3, 0, -3		3	3	0	4	0.0	0.0	0.5	0.0
20	19	7/8	7/8	4/4	4	1	I	0.918214	-5.15464	/			Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
21	20	0	0	3/4	4	1	V.I	0.229553	-5.02509	/		V	Bb	V		I		I							M	0	0	-1, 3, 0		-1	-1	0	5	0.0	0.0	1.25	0.0
22	21	0	0	3/4	4	1	V65						Bb	V		V65		V		65					Mm7	0	0	4, 1, -2, 0		0	4	0	2	0.0	0.0	0.625	0.0
22	21	1/4	1/4	3/4	4	1	viio	-0.522386	-2.5	/			Bb	V		viio		vii	o						o	0	0	4, 1, -2		4	4	0	2	0.0	0.0	0.5	0.0
