mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	4	1	D.I	-0.146342	-2.5	/		D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	0	1	0.0	0.0	1.0	0.0
2	2	0	0	2/2	4	1	V7					D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	1	0.0	0.0	1.0	0.0
3	3	0	0	2/2	4	1	I(4)	0	-3.25629	/		D	I		I(4)		I			4				M	0	0	2, 1, 3		2.0	2.0	1	3	0.25	1.0	2.125	0.32
3	3	1/8	1/8	2/2	4	1	I	0.439026	-3.26	/		D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
4	4	0	0	2/2	4	1	V43					D	I		V43		V		43					Mm7	0	0	4, 1, 3, 7		3.0	4.0	0	4	0.0	0.0	4.0	0.0
5	5	0	0	2/2	4	1	I6					D	I		I6		I		6					M	0	0	6, 3, 2		2.0	6.0	3	8	0.2727272727272727	0.375	3.625	0.09375
6	6	0	0	2/2	4	1	IV	0	-2.64634	/		D	I		IV		IV							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	4.0	0.0
7	7	0	0	2/2	4	1	V(64)					D	I		V(64)		V			64				M	0	0	3, 2, 6		3.0	3.0	0	4	0.0	0.0	4.0	0.0
8	8	0	0	2/2	4	1	V					D	I		V		V							M	0	0	3, 7, 4		3.0	3.0	1	5	0.16666666666666666	0.125	3.375	0.03571428571428571
8	8	1/2	1/2	2/2	4	1	V7					D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	1	3	0.25	0.125	0.375	0.25
9	9	0	0	2/2	4	1	I(+7#2)					D	I		I(+7#2)		I			+7#2				M	0	0	2, 11, 3	7	2.0	2.0	0	4	0.0	0.0	4.0	0.0
10	10	0	0	2/2	4	1	I					D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
11	11	0	0	2/2	4	1	V7					D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	2	0.0	0.0	2.0	0.0
13	13	0	0	2/2	4	1	I(4)					D	I		I(4)		I			4				M	0	0	2, 1, 3		2.0	2.0	2	4	0.3333333333333333	0.25	2.25	0.1
13	13	1/2	1/2	2/2	4	1	I	-0.15003	-2.58881	/		D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	1	3	0.25	0.125	0.375	0.25
14	14	0	0	2/2	4	1	V43					D	I		V43		V		43					Mm7	0	0	4, 1, 3, 7		3.0	4.0	0	3	0.0	0.0	3.0	0.0
15	15	0	0	2/2	4	1	I6(4)	-0.048781	-5.09	/		D	I		I6(4)		I		6	4				M	0	0	1, 3, 2		2.0	1.0	3	4	0.42857142857142855	1.25	2.25	0.35714285714285715
15	15	1/2	1/2	2/2	4	1	I	0	-5.09	/		D	I		I		I							M	0	0	2, 6, 3		2.0	2.0	1	3	0.25	0.125	0.375	0.25
16	16	0	0	2/2	4	1	#viio65/ii	-0.292684	-5.09382	/		D	I		#viio65/ii		#vii	o	65		ii			o7	0	0	6, 3, 0, 9		9.0	6.0	0	5	0.0	0.0	5.0	0.0
17	17	0	0	2/2	4	1	ii6	4.194e-8	-4.69513	/		D	I		ii6		ii		6					m	0	0	1, 5, 4		4.0	1.0	12	27	0.3076923076923077	1.5	4.25	0.2608695652173913
21	21	0	0	2/2	4	1	viio6/IV					D	I		viio6/IV		vii	o	6		IV			o	0	0	3, 0, 6		6.0	3.0	5	12	0.29411764705882354	0.75	2.5	0.23076923076923078
22	22	0	0	2/2	4	1	IV6(#7)					D	I		IV6(#7)		IV		6	#7				M	0	0	5, 2, 13		1.0	5.0	3	2	0.6	0.5	0.5	0.5
22	22	1/4	1/4	2/2	4	1	IV6					D	I		IV6		IV		6					M	0	0	5, 2, 1		1.0	5.0	3	4	0.42857142857142855	0.375	0.875	0.3
22	22	3/4	3/4	2/2	4	1	viio6/V					D	I		viio6/V		vii	o	6		V			o	0	0	5, 2, 8		8.0	5.0	1	4	0.2	0.125	0.875	0.125
