mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	6/8	4	1	D.I					D	I		I		I							M	0	0	2, 6, 3		2	2	1	1	0.5	0.125	0.125	0.5
2	1	0	0	6/8	4	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	5	2	0.7142857142857143	0.625	0.25	0.7142857142857143
3	2	1/8	1/8	6/8	4	1	ii					D	I		ii		ii							m	0	0	4, 1, 5		4	4	2	3	0.4	0.25	0.375	0.4
4	3	0	0	6/8	4	1	V					D	I		V		V							M	0	0	3, 7, 4		3	3	3	3	0.5	0.375	0.375	0.5
5	4	0	0	6/8	4	1	V7					D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	1	0.0	0.0	0.25	0.0
5	4	1/2	1/2	6/8	4	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	9	7	0.5625	1.125	0.875	0.5625
7	6	0	0	6/8	4	1	ii					D	I		ii		ii							m	0	0	4, 1, 5		4	4	4	8	0.3333333333333333	0.5	1.0	0.3333333333333333
8	7	0	0	6/8	4	1	V					D	I		V		V							M	0	0	3, 7, 4		3	3	6	6	0.5	0.75	0.75	0.5
9	8	0	0	6/8	4	1	V7(+9)					D	I		V7(+9)		V		7	+9				Mm7	0	0	3, 7, 4, 1	5	3	3	5	7	0.4166666666666667	0.625	1.125	0.35714285714285715
10	9	3/8	3/8	6/8	4	1	#viio7/ii	0	-3.96342	/		D	I		#viio7/ii		#vii	o	7		ii			o7	0	0	9, 6, 3, 0		9	9	0	10	0.0	0.0	3.0	0.0
11	10	3/8	3/8	6/8	4	1	ii	0	-5.62533	/		D	I		ii		ii							m	0	0	4, 1, 5		4	4	0	4	0.0	0.0	0.75	0.0
11	10	1/2	1/2	6/8	4	1	v	0.292684	-5.63	/		D	I		v		v							m	0	0	3, 0, 4		3	3	6	6	0.5	0.5	0.75	0.4
12	11	3/8	3/8	6/8	4	1	bVII6	0	-4.84147	/		D	I		bVII6		bVII		6					M	0	0	4, 1, 0		0	4	0	6	0.0	0.0	1.5	0.0
13	12	0	0	6/8	4	1	vii%7/IV	-0.146342	-6.52332	/		D	I		vii%7/IV		vii	%	7		IV			%7	0	0	6, 3, 0, 4		6	6	0	4	0.0	0.0	1.5	0.0
13	12	3/8	3/8	6/8	4	1	IV	-0.146342	-6.52	/		D	I		IV		IV							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.75	0.0
13	12	1/2	1/2	6/8	4	1	ii6	0	-6.52	/		D	I		ii6		ii		6					m	0	0	1, 5, 4		4	1	6	6	0.5	0.5	0.75	0.4
14	13	3/8	3/8	6/8	4	1	IV6	0	-3.84	/		D	I		IV6		IV		6					M	0	0	5, 2, 1		1	5	0	6	0.0	0.0	1.5	0.0
15	14	0	0	6/8	4	1	vii%7	0	-3.84189	/		D	I		vii%7		vii	%	7					%7	0	0	7, 4, 1, 5		7	7	0	4	0.0	0.0	1.5	0.0
15	14	3/8	3/8	6/8	4	1	I	0	-3.84	/		D	I		I		I							M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	1.5	0.0
16	15	0	0	6/8	4	1	IV(#72)	0	-3.84	/		D	I		IV(#72)		IV			#72				M	0	0	3, 5, 2	13	1	3	2	2	0.5	0.5	0.5	0.5
16	15	1/4	1/4	6/8	4	1	ii	0	-3.84	/		D	I		ii		ii							m	0	0	4, 1, 5		4	4	0	4	0.0	0.0	0.5	0.0
16	15	3/8	3/8	6/8	4	1	V7	0	-3.84	/		D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	8	0.0	0.0	1.5	0.0
17	16	0	0	6/8	4	1	I(+#74+2)	-4.07465	-3.84	/		D	I		I(+#74+2)		I			+#74+2				M	0	0	2, 1, 3	14, 4	2	2	1	3	0.25	0.375	1.125	0.25
17	16	3/8	3/8	6/8	4	1	I\\	0	-3.84	/		D	I		I		I						\\	M	0	0	2, 6, 3		2	2	2	6	0.25	0.25	1.0	0.2
18	17	0	0	6/8	4	1	iiio	0	-3.84	/		D	I		iiio		iii	o						o	0	0	6, 3, 0		6	6	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
19	18	0	0	6/8	4	1	#viio43/ii	0	-3.94481	/		D	I		#viio43/ii		#vii	o	43		ii			o7	0	0	3, 0, 9, 6		9	3	0	4	0.0	0.0	1.5	0.0
19	18	3/8	3/8	6/8	4	1	ii6	0.439026	-3.94	/		D	I		ii6		ii		6					m	0	0	1, 5, 4		4	1	7	5	0.5833333333333334	0.375	0.875	0.3
20	19	0	0	6/8	4	1	#viio43/ii					D	I		#viio43/ii		#vii	o	43		ii			o7	0	0	3, 0, 9, 6		9	3	6	6	0.5	0.75	0.75	0.5
21	20	0	0	6/8	4	1	vii%43/IV	0	-4.19132	/		D	I		vii%43/IV		vii	%	43		IV			%7	0	0	0, 4, 6, 3		6	0	0	4	0.0	0.0	1.5	0.0
21	20	3/8	3/8	6/8	4	1	IV6	0.146342	-4.19	/		D	I		IV6		IV		6					M	0	0	5, 2, 1		1	5	7	5	0.5833333333333334	0.375	0.875	0.3
22	21	0	0	6/8	4	1	ii	0	-4.19	/		D	I		ii		ii							m	0	0	4, 1, 5		4	4	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
23	22	0	0	6/8	4	1	V7(+9)					D	I		V7(+9)		V		7	+9				Mm7	0	0	3, 7, 4, 1	5	3	3	0	4	0.0	0.0	1.5	0.0
23	22	3/8	3/8	6/8	4	1	V2					D	I		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	4	0.0	0.0	1.0	0.0
24	23	0	0	6/8	4	1	V7(+9)	0	-3.19458	/		D	I		V7(+9)		V		7	+9				Mm7	0	0	3, 7, 4, 1	5	3	3	0	4	0.0	0.0	0.5	0.0
24	23	1/8	1/8	6/8	4	1	V2	0	-3.19	/		D	I		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	4	0.0	0.0	0.5	0.0
24	23	3/8	3/8	6/8	4	1	V7(+9)	0	-3.19	/		D	I		V7(+9)		V		7	+9				Mm7	0	0	3, 7, 4, 1	5	3	3	0	4	0.0	0.0	0.5	0.0
24	23	1/2	1/2	6/8	4	1	V2	0	-3.19	/		D	I		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	4	0.0	0.0	0.5	0.0
25	24	0	0	6/8	4	1	V7(+9)	0	-3.09535	/		D	I		V7(+9)		V		7	+9				Mm7	0	0	3, 7, 4, 1	5	3	3	0	4	0.0	0.0	0.5	0.0
25	24	1/8	1/8	6/8	4	1	V2	0	-3.1	/		D	I		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	8	0.0	0.0	2.0	0.0
