mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	2/4	4	1	Eb.I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	1	5	0.16666666666666666	0.0625	1.1875	0.05
2	1	0	0	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
2	1	1/4	1/4	2/4	4	1	IV						Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	1	10	0.09090909090909091	0.0625	1.8125	0.03333333333333333
3	2	1/4	1/4	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	1	8	0.1111111111111111	0.0625	1.4375	0.041666666666666664
4	3	1/4	1/4	2/4	4	1	V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	1	4	0.2	0.0625	0.9375	0.0625
5	4	0	0	2/4	4	1	V6						Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.5	0.0
5	4	1/4	1/4	2/4	4	1	V7						Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	1	4	0.2	0.0625	0.9375	0.0625
6	5	0	0	2/4	4	1	V						Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
6	5	1/4	1/4	2/4	4	1	I6						Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	1	8	0.1111111111111111	0.0625	1.4375	0.041666666666666664
7	6	1/4	1/4	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.75	0.0
7	6	7/16	7/16	2/4	4	1	#viio6/vi	-2.56105	-2.39753	/			Eb	I		#viio6/vi		#vii	o	6		vi				o	0	0	2, -1, 5		5	2	1	3	0.25	0.0625	0.1875	0.25
8	7	0	0	2/4	4	1	vi.i	0.409791	-2.5	/			Eb	vi		i		i								m	0	1	0, -3, 1		0	0	0	4	0.0	0.0	0.5	0.0
8	7	1/8	1/8	2/4	4	1	v6						Eb	vi		v6		v		6						m	0	1	-2, 2, 1		1	-2	0	4	0.0	0.0	0.5	0.0
8	7	1/4	1/4	2/4	4	1	VI						Eb	vi		VI		VI								M	0	1	-4, 0, -3		-4	-4	0	4	0.0	0.0	0.5	0.0
8	7	3/8	3/8	2/4	4	1	iv6						Eb	vi		iv6		iv		6						m	0	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
9	8	0	0	2/4	4	1	V\\						Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1	0	5	0.0	0.0	0.625	0.0
10	8	0	1/4	2/4	4	1	I.V7/vi	0	-3.67951	/			Eb	I		V7/vi		V		7		vi				Mm7	0	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.0	0.0
11	9	0	0	2/4	4	1	V7/ii	0	-3.68	/			Eb	I		V7/ii		V		7		ii				Mm7	0	0	0, 4, 1, -2		0	0	0	4	0.0	0.0	1.0	0.0
11	9	1/4	1/4	2/4	4	1	V7/V	0	-3.68	/			Eb	I		V7/V		V		7		V				Mm7	0	0	-1, 3, 0, -3		-1	-1	0	5	0.0	0.0	1.0	0.0
12	10	0	0	2/4	4	1	V7	0	-3.68	/			Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	4	0.0	0.0	1.0	0.0
12	10	1/4	1/4	2/4	4	1	I	0	-3.68	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	1	4	0.2	0.0625	0.9375	0.0625
13	11	0	0	2/4	4	1	Ger6/iii	-3.31554	-2.5	/			Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	-3, 1, -2, 7		7	-3	0	4	0.0	0.0	1.0	0.0
13	11	1/4	1/4	2/4	4	1	V/iii						Eb	I		V/iii		V				iii				M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	2.0	0.0
14	12	1/4	1/4	2/4	4	1	V43						Eb	I		V43		V		43						Mm7	0	0	-1, -4, -2, 2		-2	-1	0	5	0.0	0.0	0.9375	0.0
14	12	7/16	7/16	2/4	4	1	vi64	-0.602825	-2.5	/			Eb	I		vi64		vi		64						m	0	0	1, 0, -3		0	1	0	4	0.0	0.0	0.25	0.0
15	13	0	0	2/4	4	1	V2						Eb	I		V2		V		2						Mm7	0	0	-4, -2, 2, -1		-2	-4	0	5	0.0	0.0	0.625	0.0
15	13	1/4	1/4	2/4	4	1	V64						Eb	I		V64		V		64						M	0	0	-1, -2, 2		-2	-1	0	4	0.0	0.0	0.75	0.0
15	13	7/16	7/16	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.25	0.0
16	14	0	0	2/4	4	1	V65						Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.5	0.0
16	14	1/4	1/4	2/4	4	1	V6						Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.75	0.0
16	14	7/16	7/16	2/4	4	1	I	0	-2.82936	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	1	3	0.25	0.0625	0.1875	0.25
17	15	0	0	2/4	4	1	V43						Eb	I		V43		V		43						Mm7	0	0	-1, -4, -2, 2		-2	-1	0	4	0.0	0.0	0.5	0.0
17	15	1/4	1/4	2/4	4	1	V6	-0.150706	-2.5	/			Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.75	0.0
17	15	7/16	7/16	2/4	4	1	vi						Eb	I		vi		vi								m	0	0	0, -3, 1		0	0	0	4	0.0	0.0	0.25	0.0
18	16	0	0	2/4	4	1	V7	0	-3.81973	/			Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	4	0.0	0.0	0.5	0.0
18	16	1/4	1/4	2/4	4	1	vi7	0.150706	-4.4135	/			Eb	I		vi7		vi		7						mm7	0	0	0, -3, 1, -2		0	0	0	4	0.0	0.0	0.75	0.0
18	16	7/16	7/16	2/4	4	1	V65	0.0541889	-4.96132	/			Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.25	0.0
19	17	0	0	2/4	4	1	I	0	-3.81742	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.5	0.0
19	17	1/4	1/4	2/4	4	1	ii7	0	-5.7519	/			Eb	I		ii7		ii		7						mm7	0	0	-1, -4, 0, -3		-1	-1	0	4	0.0	0.0	0.75	0.0
19	17	7/16	7/16	2/4	4	1	iii	0	-6.8105	/			Eb	I		iii		iii								m	0	0	1, -2, 2		1	1	0	4	0.0	0.0	0.25	0.0
20	18	0	0	2/4	4	1	IV	-0.199255	-4.6886	/			Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	0.5	0.0
20	18	1/4	1/4	2/4	4	1	vii%7	-3.01924	-4.01218	/			Eb	I		vii%7		vii	%	7						%7	0	0	2, -1, -4, 0		2	2	0	4	0.0	0.0	0.75	0.0
20	18	7/16	7/16	2/4	4	1	#viio/ii	-0.916098	-4.1087	/			Eb	I		#viio/ii		#vii	o			ii				o	0	0	4, 1, -2		4	4	0	4	0.0	0.0	0.25	0.0
21	19	0	0	2/4	4	1	ii	2.12175	-4.01893	/			Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
21	19	1/8	1/8	2/4	4	1	I6	0.150706	-4.10706	/			Eb	I		I6		I		6						M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.5	0.0
21	19	1/4	1/4	2/4	4	1	ii6	-0.150706	-4.07311	/			Eb	I		ii6		ii		6						m	0	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
21	19	3/8	3/8	2/4	4	1	V7	0.204895	-4.13427	/			Eb	I		V7		V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	0	5	0.0	0.0	0.625	0.0
22	20	0	0	2/4	4	1	I\\	0.409791	-4.12937	/			Eb	I		I		I							\\	M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	0.625	0.0
23	20	0	1/4	2/4	4	1	I						Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	0	12	0.0	0.0	1.5	0.0
25	22	0	0	2/4	4	1	IV	0	-3.4	/			Eb	I		IV		IV								M	0	0	-4, 0, -3		-4	-4	1	11	0.08333333333333333	0.125	1.375	0.08333333333333333
26	23	0	0	2/4	4	1	ii						Eb	I		ii		ii								m	0	0	-1, -4, 0		-1	-1	5	6	0.45454545454545453	0.625	0.75	0.45454545454545453
27	24	0	0	2/4	4	1	V6						Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	7	14	0.3333333333333333	0.875	1.875	0.3181818181818182
28	25	3/8	3/8	2/4	4	1	#viio6/iii	-5.14632	-4.07202	/			Eb	I		#viio6/iii		#vii	o	6		iii				o	0	0	3, 0, 6		6	3	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
29	26	0	0	2/4	4	1	iii	-0.462907	-3.95449	/			Eb	I		iii		iii								m	0	0	1, -2, 2		1	1	5	7	0.4166666666666667	0.625	0.875	0.4166666666666667
29	26	3/8	3/8	2/4	4	1	V43/vi	-1.43427	-4.41741	/			Eb	I		V43/vi		V		43		vi				Mm7	0	0	2, -1, 1, 5		1	2	0	4	0.0	0.0	0.5	0.0
30	27	0	0	2/4	4	1	vi.i	0.614686	-4.54895	/			Eb	vi		i		i								m	0	1	0, -3, 1		0	0	1	7	0.125	0.125	0.875	0.125
30	27	1/4	1/4	2/4	4	1	IV6	-0.614686	-4.75385	/			Eb	vi		IV6		IV		6						M	0	1	3, 0, -1		-1	3	1	3	0.25	0.125	0.375	0.25
30	27	3/8	3/8	2/4	4	1	Ger6	-0.13912	-4.66784	/			Eb	vi		Ger6	Ger	vii	o	65	b3	V				Ger	0	1	-4, 0, -3, 6		6	-4	0	4	0.0	0.0	0.5	0.0
31	28	0	0	2/4	4	1	V\\	-0.118891	-4.64005	/			Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
32	28	0	1/4	2/4	4	1	I.V2/vi	-0.204895	-2.7049	/			Eb	I		V2/vi		V		2		vi				Mm7	0	0	-1, 1, 5, 2		1	-1	0	4	0.0	0.0	0.5	0.0
33	29	0	0	2/4	4	1	V65/ii	0	-4.00006	/			Eb	I		V65/ii		V		65		ii				Mm7	0	0	4, 1, -2, 0		0	4	0	6	0.0	0.0	0.75	0.0
33	29	1/4	1/4	2/4	4	1	V2/V	0.118891	-3.57002	/			Eb	I		V2/V		V		2		V				Mm7	0	0	-3, -1, 3, 0		-1	-3	0	6	0.0	0.0	0.75	0.0
34	30	0	0	2/4	4	1	V65	0.118891	-3.21335	/			Eb	I		V65		V		65						Mm7	0	0	2, -1, -4, -2		-2	2	0	6	0.0	0.0	0.75	0.0
34	30	1/4	1/4	2/4	4	1	I	0	-3.21335	/			Eb	I		I		I								M	0	0	-3, 1, -2		-3	-3	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
35	31	0	0	2/4	4	1	Ger6/iii	0	-3.15871	/			Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	-3, 1, -2, 7		7	-3	0	7	0.0	0.0	0.875	0.0
35	31	1/4	1/4	2/4	4	1	V/iii	0	-3.37828	/			Eb	I		V/iii		V				iii				M	0	0	2, 6, 3		2	2	1	14	0.06666666666666667	0.125	1.75	0.06666666666666667
37	33	0	0	2/4	4	1	V						Eb	I		V		V								M	0	0	-2, 2, -1		-2	-2	2	2	0.5	0.25	0.25	0.5
37	33	1/4	1/4	2/4	4	1	V6						Eb	I		V6		V		6						M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.5	0.0
37	33	3/8	3/8	2/4	4	1	vi6						Eb	I		vi6		vi		6						m	0	0	-3, 1, 0		0	-3	0	4	0.0	0.0	0.5	0.0
