mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	4	1	Bb.vi						Bb	I		vi	vi								m	0	0	1, -2, 2		1	1	0	8	0.0	0.0	1.0	0.0
3	3	0	0	2/4	4	1	vi[V7/ii						Bb	I	vi	V7/ii	V		7		ii				Mm7	0	0	1, 5, 2, -1		1	1	0	11	0.0	0.0	1.25	0.0
4	4	0	0	2/4	4	1	ii						Bb	I		ii	ii								m	0	0	0, -3, 1		0	0	3	9	0.25	0.25	1.0	0.2
5	5	0	0	2/4	4	1	V7/ii						Bb	I		V7/ii	V		7		ii				Mm7	0	0	1, 5, 2, -1		1	1	1	10	0.09090909090909091	0.0625	1.1875	0.05
6	6	0	0	2/4	4	1	ii]						Bb	I		ii	ii					]			m	0	0	0, -3, 1		0	0	1	8	0.1111111111111111	0.125	1.0625	0.10526315789473684
7	7	0	0	2/4	4	1	V65	0	-4.07868	/			Bb	I		V65	V		65						Mm7	0	0	3, 0, -3, -1		-1	3	0	7	0.0	0.0	0.875	0.0
7	7	1/4	1/4	2/4	4	1	V7	0	-5.9433	/			Bb	I		V7	V		7						Mm7	0	0	-1, 3, 0, -3		-1	-1	0	6	0.0	0.0	0.875	0.0
8	8	0	0	2/4	4	1	I	0	-5.4842	/			Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	2	6	0.25	0.125	0.625	0.16666666666666666
8	8	1/4	1/4	2/4	4	1	vi	0	-4.10687	/			Bb	I		vi	vi								m	0	0	1, -2, 2		1	1	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
9	9	0	0	2/4	4	1	IV						Bb	I		IV	IV								M	0	0	-3, 1, -2		-3	-3	0	6	0.0	0.0	0.75	0.0
9	9	1/4	1/4	2/4	4	1	V						Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.75	0.0
10	10	0	0	2/4	4	1	I						Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	0	6	0.0	0.0	0.75	0.0
10	10	1/4	1/4	2/4	4	1	V7/IV						Bb	I		V7/IV	V		7		IV				Mm7	0	0	-2, 2, -1, -4		-2	-2	0	4	0.0	0.0	0.5	0.0
11	11	0	0	2/4	4	1	vi[V7/ii						Bb	I	vi	V7/ii	V		7		ii				Mm7	0	0	1, 5, 2, -1		1	1	0	17	0.0	0.0	1.875	0.0
12	12	0	0	2/4	4	1	ii						Bb	I		ii	ii								m	0	0	0, -3, 1		0	0	5	13	0.2777777777777778	0.5	1.5	0.25
13	13	0	0	2/4	4	1	V7/ii]						Bb	I		V7/ii	V		7		ii	]			Mm7	0	0	1, 5, 2, -1		1	1	1	16	0.058823529411764705	0.0625	1.9375	0.03125
