mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	4	1	c.i	0.585368	-2.5	/		c	i		i		i							m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
2	1	0	0	3/4	4	1	i	0.585368	-2.5	/		c	i		i		i							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	2.0	0.0
2	1	1/2	1/2	3/4	4	1	III.V	-0.439026	-2.5	/		c	III		V		V							M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
3	2	0	0	3/4	4	1	I	0.585368	-2.5	/		c	III		I		I							M	1	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	2.0	0.0
3	2	1/2	1/2	3/4	4	1	IV6					c	III		IV6		IV		6					M	1	0	0, -3, -4		-4	0	0	4	0.0	0.0	1.0	0.0
4	3	0	0	3/4	4	1	I6					c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	6	0.0	0.0	2.0	0.0
4	3	1/2	1/2	3/4	4	1	viio65/V	-3.51221	-2.5	/		c	III		viio65/V		vii	o	65		V			o7	1	0	0, -3, -6, 3		3	0	0	4	0.0	0.0	1.0	0.0
5	4	0	0	3/4	4	1	viio7/V	0.292684	-2.5	/		c	III		viio7/V		vii	o	7		V			o7	1	0	3, 0, -3, -6		3	3	0	4	0.0	0.0	1.0	0.0
5	4	1/4	1/4	3/4	4	1	V\\	0.878052	-2.5	/		c	III		V		V						\\	M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
5	4	1/2	1/2	3/4	4	1	i.iv					c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	0	7	0.0	0.0	2.25	0.0
6	5	1/2	1/2	3/4	4	1	#viio6/iv	-3.24833	-2.5838	/		c	i		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1	0	4	0.0	0.0	1.0	0.0
7	6	0	0	3/4	4	1	iv6	0	-2.64634	/		c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4	0	6	0.0	0.0	2.0	0.0
7	6	1/2	1/2	3/4	4	1	ii%65	-1.46342	-3.83705	/		c	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	0	4	0.0	0.0	1.0	0.0
8	7	0	0	3/4	4	1	V(964)	-0.146342	-4.13472	/		c	i		V(964)		V			964				M	1	1	1, 0, -3	-4	1	1	0	4	0.0	0.0	1.0	0.0
8	7	1/4	1/4	3/4	4	1	V(64)	0.146342	-2.79268	/		c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
8	7	1/2	1/2	3/4	4	1	V7	0.146342	-2.79268	/		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	4	0.0	0.0	1.0	0.0
9	8	0	0	3/4	4	1	i\\	-0.146342	-2.79268	/		c	i		i		i						\\	m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
10	8	0	1/2	3/4	4	1	iv.V					c	iv		V		V							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
11	9	0	0	3/4	4	1	V[V					c	iv	V	V		V							M	1	1	0, 4, 1		0	0	10	15	0.4	2.5	4.25	0.37037037037037035
14	12	0	0	3/4	4	1	#viio43]					c	iv	V	#viio43		#vii	o	43					o7	1	1	-2, -5, 4, 1		4	-2	5	5	0.5	1.0	2.0	0.3333333333333333
15	13	0	0	3/4	4	1	i					c	iv		i		i							m	1	1	-1, -4, 0		-1	-1	0	5	0.0	0.0	2.0	0.0
15	13	1/2	1/2	3/4	4	1	V7					c	iv		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	4	0.0	0.0	1.0	0.0
16	14	0	0	3/4	4	1	i					c	iv		i		i							m	1	1	-1, -4, 0		-1	-1	0	5	0.0	0.0	2.0	0.0
16	14	1/2	1/2	3/4	4	1	V7					c	iv		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	4	0.0	0.0	1.0	0.0
17	15	0	0	3/4	4	1	i					c	iv		i		i							m	1	1	-1, -4, 0		-1	-1	0	5	0.0	0.0	2.0	0.0
17	15	1/2	1/2	3/4	4	1	V7					c	iv		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	4	0.0	0.0	1.0	0.0
18	16	0	0	3/4	4	1	i\\					c	iv		i		i						\\	m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
18	16	1/2	1/2	3/4	4	1	bII.I[I					c	bII	I	I		I							M	1	0	-5, -1, -4		-5	-5	27	35	0.43548387096774194	5.625	9.125	0.3813559322033898
23	21	1/2	1/2	3/4	4	1	V7	-1.31708	-3.00653	/		c	bII	I	V7		V		7					Mm7	1	0	-4, 0, -3, -6		-4	-4	0	3	0.0	0.0	0.75	0.0
24	22	0	0	3/4	4	1	I	0.292684	-2.64634	/		c	bII	I	I		I							M	1	0	-5, -1, -4		-5	-5	0	7	0.0	0.0	2.25	0.0
24	22	1/2	1/2	3/4	4	1	V7	-0.292682	-2.64634	/		c	bII	I	V7		V		7					Mm7	1	0	-4, 0, -3, -6		-4	-4	0	3	0.0	0.0	0.75	0.0
25	23	0	0	3/4	4	1	I	0.73171	-2.5	/		c	bII	I	I		I							M	1	0	-5, -1, -4		-5	-5	0	7	0.0	0.0	2.25	0.0
25	23	1/2	1/2	3/4	4	1	V7]	2.34147	-2.35366	/		c	bII	I	V7		V		7					Mm7	1	0	-4, 0, -3, -6		-4	-4	0	3	0.0	0.0	0.75	0.0
26	24	0	0	3/4	4	1	iv.VI	0	-3.23171	/		c	iv		VI		VI							M	1	1	-5, -1, -4		-5	-5	0	4	0.0	0.0	1.5	0.0
26	24	1/4	1/4	3/4	4	1	i64	0.585368	-3.23171	/		c	iv		i64		i		64					m	1	1	0, -1, -4		-1	0	0	3	0.0	0.0	0.75	0.0
26	24	1/2	1/2	3/4	4	1	viio/V	0	-3.08537	/		c	iv		viio/V		vii	o			V			o	1	1	5, 2, -1		5	5	0	3	0.0	0.0	0.75	0.0
27	25	0	0	3/4	4	1	V(94)	1.17074	-3.08537	/		c	iv		V(94)		V			94				M	1	1	0, -1, 1	-5	0	0	1	4	0.2	0.25	2.0	0.1111111111111111
27	25	1/2	1/2	3/4	4	1	V2(4)	-0.146342	-2.93903	/		c	iv		V2(4)		V		2	4				Mm7	1	1	-2, 0, -1, 1		0	-2	0	3	0.0	0.0	0.75	0.0
28	26	0	0	3/4	4	1	i.VI	0	-3.90818	/		c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	1	5	0.16666666666666666	0.0	1.5	0.0
28	26	1/4	1/4	3/4	4	1	i64	0	-2.93903	/		c	i		i64		i		64					m	1	1	1, 0, -3		0	1	0	3	0.0	0.0	0.75	0.0
28	26	1/2	1/2	3/4	4	1	viio7/V	-1.17074	-2.79268	/		c	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	0	3	0.0	0.0	0.75	0.0
29	27	0	0	3/4	4	1	V(4)	0.439026	-2.79268	/		c	i		V(4)		V			4				M	1	1	1, 0, 2		1	1	0	4	0.0	0.0	2.0	0.0
29	27	1/4	1/4	3/4	4	1	V[V	0.292684	-2.79268	/		c	i	V	V		V							M	1	1	1, 5, 2		1	1	0	1	0.0	0.0	0.5	0.0
29	27	1/2	1/2	3/4	4	1	#viio43	0.146342	-3.98272	/		c	i	V	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	0	2	0.0	0.0	0.5	0.0
30	28	0	0	3/4	4	1	i6(6)	0	-4.28092	/		c	i	V	i6(6)		i		6	6				m	1	1	-3, -4, 0		0	-3	1	3	0.25	0.75	1.25	0.375
30	28	1/4	1/4	3/4	4	1	i6	0	-2.93903	/		c	i	V	i6		i		6					m	1	1	-3, 1, 0		0	-3	0	1	0.0	0.0	0.25	0.0
30	28	1/2	1/2	3/4	4	1	viio43/V					c	i	V	viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0	0	3	0.0	0.0	0.75	0.0
31	29	0	0	3/4	4	1	V6(6)					c	i	V	V6(6)		V		6	6				M	1	1	5, -3, 1		1	5	0	4	0.0	0.0	2.0	0.0
31	29	1/4	1/4	3/4	4	1	V6					c	i	V	V6		V		6					M	1	1	5, 2, 1		1	5	0	1	0.0	0.0	0.25	0.0
31	29	1/2	1/2	3/4	4	1	#viio43	0	-4.25784	/		c	i	V	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	0	3	0.0	0.0	0.75	0.0
32	30	0	0	3/4	4	1	i6(6)	-1.17074	-3.61863	/		c	i	V	i6(6)		i		6	6				m	1	1	-3, -4, 0		0	-3	1	3	0.25	0.75	1.25	0.375
32	30	1/4	1/4	3/4	4	1	i6					c	i	V	i6		i		6					m	1	1	-3, 1, 0		0	-3	0	1	0.0	0.0	0.25	0.0
32	30	1/2	1/2	3/4	4	1	viio7/V	-1.31708	-2.5	/		c	i	V	viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	0	3	0.0	0.0	0.75	0.0
33	31	0	0	3/4	4	1	V(64)	1.46342	-2.5	/		c	i	V	V(64)		V			64				M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.25	0.0
33	31	1/4	1/4	3/4	4	1	V	1.60976	-2.5	/		c	i	V	V		V							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
33	31	1/2	1/2	3/4	4	1	viio7/V	-1.31708	-2.5	/		c	i	V	viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	1	3	0.25	0.25	0.75	0.25
34	32	0	0	3/4	4	1	V(64)					c	i	V	V(64)		V			64				M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
34	32	1/4	1/4	3/4	4	1	V]\\					c	i	V	V		V						\\	M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
34	32	1/2	1/2	3/4	4	1	i					c	i		i		i							m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
35	33	0	0	3/4	4	1	i					c	i		i		i							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	2.0	0.0
35	33	1/2	1/2	3/4	4	1	III.V	-0.439026	-2.5	/		c	III		V		V							M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
36	34	0	0	3/4	4	1	I					c	III		I		I							M	1	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	2.0	0.0
36	34	1/2	1/2	3/4	4	1	IV6					c	III		IV6		IV		6					M	1	0	0, -3, -4		-4	0	0	4	0.0	0.0	1.0	0.0
37	35	0	0	3/4	4	1	I6					c	III		I6		I		6					M	1	0	1, -2, -3		-3	1	0	6	0.0	0.0	2.0	0.0
37	35	1/2	1/2	3/4	4	1	viio65/V					c	III		viio65/V		vii	o	65		V			o7	1	0	0, -3, -6, 3		3	0	0	4	0.0	0.0	1.0	0.0
38	36	0	0	3/4	4	1	viio7/V					c	III		viio7/V		vii	o	7		V			o7	1	0	3, 0, -3, -6		3	3	0	4	0.0	0.0	1.0	0.0
38	36	1/4	1/4	3/4	4	1	V					c	III		V		V							M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
38	36	1/2	1/2	3/4	4	1	iv.#viio7					c	iv		#viio7		#vii	o	7					o7	1	1	4, 1, -2, -5		4	4	0	4	0.0	0.0	1.0	0.0
39	37	0	0	3/4	4	1	V65	0.146342	-2.5	/		c	iv		V65		V		65					Mm7	1	1	4, 1, -2, 0		0	4	0	4	0.0	0.0	1.25	0.0
39	37	1/4	1/4	3/4	4	1	I					c	iv		I		I							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
39	37	1/2	1/2	3/4	4	1	VI	0	-2.62006	/		c	iv		VI		VI							M	1	1	-5, -1, -4		-5	-5	0	4	0.0	0.0	1.0	0.0
40	38	0	0	3/4	4	1	viio7/V	-0.878052	-3.34044	/		c	iv		viio7/V		vii	o	7		V			o7	1	1	5, 2, -1, -4		5	5	0	4	0.0	0.0	1.0	0.0
40	38	1/4	1/4	3/4	4	1	V	0	-2.86019	/		c	iv		V		V							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
40	38	1/2	1/2	3/4	4	1	i.Ger6					c	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4	0	4	0.0	0.0	1.0	0.0
41	39	0	0	3/4	4	1	V65/V					c	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6	0	4	0.0	0.0	1.25	0.0
41	39	1/4	1/4	3/4	4	1	V					c	i		V		V							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
41	39	1/2	1/2	3/4	4	1	#viio43	0	-3.22038	/		c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	0	4	0.0	0.0	1.0	0.0
42	40	0	0	3/4	4	1	#viio65	0	-3.4605	/		c	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2	0	4	0.0	0.0	1.0	0.0
42	40	1/4	1/4	3/4	4	1	i6	0.480252	-4.30094	/		c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.0	0.0
42	40	1/2	1/2	3/4	4	1	viio65/V	0	-4.66113	/		c	i		viio65/V		vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3	0	4	0.0	0.0	1.0	0.0
43	41	0	0	3/4	4	1	#viio7	0	-4.06082	/		c	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5	0	4	0.0	0.0	1.0	0.0
43	41	1/4	1/4	3/4	4	1	I	0	-3.4605	/		c	i		I		I							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
43	41	1/2	1/2	3/4	4	1	Ger6					c	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4	0	4	0.0	0.0	1.0	0.0
44	42	0	0	3/4	4	1	viio7/V					c	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	2	4	0.3333333333333333	0.25	0.75	0.25
44	42	1/4	1/4	3/4	4	1	V(64)					c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
44	42	1/2	1/2	3/4	4	1	V7					c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	4	0.0	0.0	1.0	0.0
45	43	0	0	3/4	4	1	i\\					c	i		i		i						\\	m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
45	43	1/4	1/4	3/4	4	1	V[i64					c	i	V	i64		i		64					m	1	1	1, 0, -3		0	1	0	7	0.0	0.0	1.75	0.0
46	44	1/4	1/4	3/4	4	1	V					c	i	V	V		V							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
46	44	1/2	1/2	3/4	4	1	V6]					c	i	V	V6		V		6					M	1	1	5, 2, 1		1	5	0	3	0.0	0.0	0.75	0.0
47	45	0	0	3/4	4	1	i					c	i		i		i							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.5	0.0
47	45	1/4	1/4	3/4	4	1	V					c	i		V		V							M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
48	46	0	0	3/4	4	1	i					c	i		i		i							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.5	0.0
48	46	1/4	1/4	3/4	4	1	V					c	i		V		V							M	1	1	1, 5, 2		1	1	0	6	0.0	0.0	1.5	0.0
49	47	1/2	1/2	3/4	4	1	V7(9)					c	i		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1	0	6	0.0	0.0	1.5	0.0
50	48	1/4	1/4	3/4	4	1	V(64)					c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1	0	6	0.0	0.0	1.5	0.0
51	49	0	0	3/4	4	1	V7(9)	0	-3.32005	/		c	i		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1	0	5	0.0	0.0	2.625	0.0
51	49	3/8	3/8	3/4	4	1	V7	0	-2.7982	/		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	9	0.0	0.0	1.125	0.0
52	50	0	0	3/4	4	1	i\\	0	-3.67074	/	1	c	i		i		i						\\	m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.25	0.0
53	50	0	0	3/4	4	1	i	0.146342	-3.67074	/	2	c	i		i		i							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.25	0.0
54	51	0	0	3/4	4	1	VI.I	-0.292684	-4.46051	/		c	VI		I		I							M	1	0	-4, 0, -3		-4	-4	0	33	0.0	0.0	6.75	0.0
56	53	1/4	1/4	3/4	4	1	I64					c	VI		I64		I		64					M	1	0	-3, -4, 0		-4	-3	0	20	0.0	0.0	3.0	0.0
57	54	1/2	1/2	3/4	4	1	I					c	VI		I		I							M	1	0	-4, 0, -3		-4	-4	0	5	0.0	0.0	0.75	0.0
58	55	0	0	3/4	4	1	V65					c	VI		V65		V		65					Mm7	1	0	1, -2, -5, -3		-3	1	0	36	0.0	0.0	8.5	0.0
60	57	1/4	1/4	3/4	4	1	V7					c	VI		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	0	20	0.0	0.0	3.0	0.0
