mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	2/2	4	1	c.i	1.46342	-2.5	/		c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	11	24	0.3142857142857143	1.25	5.0	0.2
4	3	0	0	2/2	4	1	V65					c	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1.0	5.0	0	5	0.0	0.0	1.25	0.0
4	3	1/4	1/4	2/2	4	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	0	5	0.0	0.0	1.25	0.0
4	3	1/2	1/2	2/2	4	1	V					c	i		V		V							M	1	1	1, 5, 2		1.0	1.0	0	5	0.0	0.0	1.25	0.0
4	3	3/4	3/4	2/2	4	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	0	5	0.0	0.0	1.25	0.0
5	4	0	0	2/2	4	1	V					c	i		V		V							M	1	1	1, 5, 2		1.0	1.0	2	5	0.2857142857142857	0.25	3.75	0.0625
6	5	0	0	2/2	4	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	4	12	0.25	0.5	2.5	0.16666666666666666
7	6	0	0	2/2	4	1	v.iv					c	v		iv		iv							m	1	1	0, -3, 1		0.0	0.0	5	6	0.45454545454545453	0.5	1.25	0.2857142857142857
7	6	3/4	3/4	2/2	4	1	viio7/V	-1.02439	-3.19458	/		c	v		viio7/V		vii	o	7		V			o7	1	1	7, 4, 1, -2		7.0	7.0	1	5	0.16666666666666666	0.125	1.125	0.1
8	7	0	0	2/2	4	1	V(64)	0	-3.19458	/		c	v		V(64)		V			64				M	1	1	2, 1, -2		2.0	2.0	0	5	0.0	0.0	1.25	0.0
8	7	1/4	1/4	2/2	4	1	It6					c	v		It6	It	vii	o	6	b3	V			It	1	1	-3, 1, 7		7.0	-3.0	0	4	0.0	0.0	1.0	0.0
8	7	1/2	1/2	2/2	4	1	V(64)					c	v		V(64)		V			64				M	1	1	2, 1, -2		2.0	2.0	0	4	0.0	0.0	1.0	0.0
