mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	4	1	b.i	-0.0838784	-2.26748	/			b	i		i	i							m	1	1	5, 2, 6		5	5	6	0	1.0	1.75	0.0	1.0
1	1	1/2	1/2	2/2	4	1	iv7	1.3518e-7	-2.20569	/			b	i		iv7	iv		7					mm7	1	1	4, 1, 5, 2		4	4	5	0	1.0	1.25	0.0	1.0
2	2	0	0	2/2	4	1	VII(9)	-2.19402	-2.08209	/			b	i		VII(9)	VII			9				M	1	1	3, 7, 4	5	3	3	7	0	1.0	2.25	0.0	1.0
2	2	1/2	1/2	2/2	4	1	III7	0	-2.08209	/			b	i		III7	III		7					Mm7	1	1	2, 6, 3, 0		2	2	4	1	0.8	1.125	0.125	0.9
3	3	0	0	2/2	4	1	VI(9)	0	-1.87314	/			b	i		VI(9)	VI			9				M	1	1	1, 5, 2	3	1	1	7	0	1.0	2.25	0.0	1.0
3	3	1/2	1/2	2/2	4	1	iv6	-0.104477	-1.87314	/			b	i		iv6	iv		6					m	1	1	1, 5, 4		4	1	8	0	1.0	1.75	0.0	1.0
4	4	0	0	2/2	4	1	V\\	0	-1.97761	/			b	i		V	V						\\	M	1	1	6, 10, 7		6	6	4	0	1.0	1.0	0.0	1.0
5	5	0	0	2/2	4	1	i	-0.104477	-1.76866	/			b	i		i	i							m	1	1	5, 2, 6		5	5	6	0	1.0	1.75	0.0	1.0
5	5	1/2	1/2	2/2	4	1	iv7	-0.104477	-1.66418	/			b	i		iv7	iv		7					mm7	1	1	4, 1, 5, 2		4	4	5	0	1.0	1.25	0.0	1.0
6	6	0	0	2/2	4	1	VII(9)	-2.61193	-1.76866	/			b	i		VII(9)	VII			9				M	1	1	3, 7, 4	5	3	3	7	0	1.0	2.25	0.0	1.0
6	6	1/2	1/2	2/2	4	1	III7	-0.104477	-1.76866	/			b	i		III7	III		7					Mm7	1	1	2, 6, 3, 0		2	2	5	1	0.8333333333333334	1.125	0.125	0.9
7	7	0	0	2/2	4	1	VIM7	-3.6567	-1.76866	/			b	i		VIM7	VI	M	7					MM7	1	1	1, 5, 2, 6		1	1	4	0	1.0	1.0	0.0	1.0
7	7	1/4	1/4	2/2	4	1	iv65	0.208954	-1.87314	/			b	i		iv65	iv		65					mm7	1	1	1, 5, 2, 4		4	1	5	0	1.0	1.0	0.0	1.0
7	7	1/2	1/2	2/2	4	1	V7	0	-1.87314	/			b	i		V7	V		7					Mm7	1	1	6, 10, 7, 4		6	6	4	0	1.0	1.0	0.0	1.0
7	7	3/4	3/4	2/2	4	1	V	0	-1.87314	/			b	i		V	V							M	1	1	6, 10, 7		6	6	4	0	1.0	1.0	0.0	1.0
8	8	0	0	2/2	4	1	i\\						b	i		i	i						\\	m	1	1	5, 2, 6		5	5	4	0	1.0	1.0	0.0	1.0
9	9	0	0	2/2	4	1	III.V[I6						b	III	V	I6	I		6					M	1	0	6, 3, 2		2	6	7	0	1.0	2.0	0.0	1.0
