"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".G.I"	""	"0"	"1.0"	"1.0"	"3/4"	"18"	"2"	"3"	7.0	"G"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"3"	"1.0"	"8.0"	"3/4"	"18"	"2"	"3"	2.0	"G"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	"3"	"3.0"	"10.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"4"	"1.0"	"11.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"4"	"2.0"	"12.0"	"3/4"	"18"	"2"	"3"	2.0	"G"	"I"	""	"V"	""	""	""	""	false
"V7"	""	"5"	"1.0"	"14.0"	"3/4"	"18"	"2"	"3"	4.0	"G"	"I"	""	"V"	""	"7"	""	""	false
"V65"	""	"6"	"2.0"	"18.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	"6"	"3.0"	"19.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"I"	""	""	""	""	false
"ii6"	""	"7"	"1.0"	"20.0"	"3/4"	"18"	"2"	"3"	2.0	"G"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	""	"7"	"3.0"	"22.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"8"	"1.0"	"23.0"	"3/4"	"18"	"2"	"3"	3.0	"G"	"I"	""	"I"	""	""	""	""	true
"I"	""	"9"	"1.0"	"26.0"	"3/4"	"18"	"2"	"3"	3.0	"G"	"I"	""	"I"	""	""	""	""	false
"V/vi"	""	"10"	"1.0"	"29.0"	"3/4"	"18"	"2"	"3"	3.0	"G"	"I"	""	"V"	""	""	""	"vi"	false
"V(4)"	""	"11"	"1.0"	"32.0"	"3/4"	"18"	"2"	"3"	3.0	"G"	"I"	""	"V"	""	""	"4"	""	false
"V"	""	"12"	"1.0"	"35.0"	"3/4"	"18"	"2"	"3"	6.0	"G"	"I"	""	"V"	""	""	""	""	false
"V9/IV"	""	"14"	"1.0"	"41.0"	"3/4"	"18"	"2"	"3"	2.0	"G"	"I"	""	"V"	""	"9"	""	"IV"	false
"V43/IV"	""	"14"	"3.0"	"43.0"	"3/4"	"18"	"2"	"3"	0.5	"G"	"I"	""	"V"	""	"43"	""	"IV"	false
"ii6"	""	"14"	"3.5"	"43.5"	"3/4"	"18"	"2"	"3"	0.5	"G"	"I"	""	"ii"	""	"6"	""	""	false
"I6"	""	"15"	"1.0"	"44.0"	"3/4"	"18"	"2"	"3"	0.5	"G"	"I"	""	"I"	""	"6"	""	""	false
"ii"	""	"15"	"1.5"	"44.5"	"3/4"	"18"	"2"	"3"	0.5	"G"	"I"	""	"ii"	""	""	""	""	false
"V7/IV"	""	"15"	"2.0"	"45.0"	"3/4"	"18"	"2"	"3"	1.5	"G"	"I"	""	"V"	""	"7"	""	"IV"	false
"V43/IV"	""	"15"	"3.5"	"46.5"	"3/4"	"18"	"2"	"3"	0.5	"G"	"I"	""	"V"	""	"43"	""	"IV"	false
"IV"	""	"16"	"1.0"	"47.0"	"3/4"	"18"	"2"	"3"	2.5	"G"	"I"	""	"IV"	""	""	""	""	false
"ii"	""	"16"	"3.5"	"49.5"	"3/4"	"18"	"2"	"3"	0.5	"G"	"I"	""	"ii"	""	""	""	""	false
"V(64)"	""	"17"	"1.0"	"50.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"V"	""	""	"64"	""	false
"V\\\\"	""	"17"	"2.0"	"51.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"V"	""	""	""	""	true
"I"	""	"17"	"3.0"	"52.0"	"3/4"	"18"	"2"	"3"	7.0	"G"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"20"	"1.0"	"59.0"	"3/4"	"18"	"2"	"3"	2.0	"G"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	"20"	"3.0"	"61.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"21"	"1.0"	"62.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"21"	"2.0"	"63.0"	"3/4"	"18"	"2"	"3"	2.0	"G"	"I"	""	"V"	""	""	""	""	false
"viio64"	""	"22"	"1.0"	"65.0"	"3/4"	"18"	"2"	"3"	3.0	"G"	"I"	""	"vii"	"o"	"64"	""	""	false
"#viio/vi"	""	"23"	"1.0"	"68.0"	"3/4"	"18"	"2"	"3"	3.0	"G"	"I"	""	"#vii"	"o"	""	""	"vi"	false
"V/vi"	""	"24"	"1.0"	"71.0"	"3/4"	"18"	"2"	"3"	3.0	"G"	"I"	""	"V"	""	""	""	"vi"	false
"V(64)/vi"	""	"25"	"1.0"	"74.0"	"3/4"	"18"	"2"	"3"	3.0	"G"	"I"	""	"V"	""	""	"64"	"vi"	false
"V/vi"	""	"26"	"1.0"	"77.0"	"3/4"	"18"	"2"	"3"	0.5	"G"	"I"	""	"V"	""	""	""	"vi"	false
"#viio/V"	""	"26"	"1.5"	"77.5"	"3/4"	"18"	"2"	"3"	2.0	"G"	"I"	""	"#vii"	"o"	""	""	"V"	false
"IV.I"	""	"26"	"3.5"	"79.5"	"3/4"	"18"	"2"	"3"	0.5	"G"	"IV"	""	"I"	""	""	""	""	false
"V6"	""	"27"	"1.0"	"80.0"	"3/4"	"18"	"2"	"3"	-2.0	"G"	"IV"	""	"V"	""	"6"	""	""	false
"V2"	""	"27"	"-1.0"	"78.0"	"3/4"	"18"	"2"	"3"	1.0	"G"	"IV"	""	"V"	""	"2"	""	""	false
"I6"	""	"27"	"0.0"	"79.0"	"3/4"	"18"	"2"	"3"	0.5	"G"	"IV"	""	"I"	""	"6"	""	""	false
