"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"
".C.I"	NA	1	1.0	"C"	"I"	""	"I"	""	""	""	""
"V43(4)"	NA	2	1.0	"C"	"I"	""	"V"	""	"43"	"(4)"	""
"V43"	NA	2	2.0	"C"	"I"	""	"V"	""	"43"	""	""
"I"	NA	2	3.0	"C"	"I"	""	"I"	""	""	""	""
"V(64)"	NA	3	1.0	"C"	"I"	""	"V"	""	""	"(64)"	""
"V\\\\"	NA	3	2.0	"C"	"I"	""	"V"	""	""	""	""
"V7"	NA	4	1.0	"C"	"I"	""	"V"	""	"7"	""	""
"#viio7/vi"	NA	4	3.0	"C"	"I"	""	"#vii"	"o"	"7"	""	"vi"
"vi"	NA	4	3.5	"C"	"I"	""	"vi"	""	""	""	""
"ii6"	NA	5	1.0	"C"	"I"	""	"ii"	""	"6"	""	""
"ii"	NA	5	2.0	"C"	"I"	""	"ii"	""	""	""	""
"V7(9)"	NA	5	3.0	"C"	"I"	""	"V"	""	"7"	"(9)"	""
"V7"	NA	5	3.25	"C"	"I"	""	"V"	""	"7"	""	""
"I(4+2)"	NA	6	1.0	"C"	"I"	""	"I"	""	""	"(4+2)"	""
"I\\\\"	NA	6	2.0	"C"	"I"	""	"I"	""	""	""	""
"I"	NA	7	1.0	"C"	"I"	""	"I"	""	""	""	""
"V"	NA	8	2.0	"C"	"I"	""	"V"	""	""	""	""
"I"	NA	8	3.0	"C"	"I"	""	"I"	""	""	""	""
"I6"	NA	10	1.5	"C"	"I"	""	"I"	""	"6"	""	""
"V"	NA	10	2.5	"C"	"I"	""	"V"	""	""	""	""
"V2/V"	NA	11	1.0	"C"	"I"	""	"V"	""	"2"	""	"V"
"V6"	NA	11	3.0	"C"	"I"	""	"V"	""	"6"	""	""
"V.V2"	NA	12	1.0	"C"	"V"	""	"V"	""	"2"	""	""
"I6"	NA	12	3.0	"C"	"V"	""	"I"	""	"6"	""	""
"IV"	NA	13	1.0	"C"	"V"	""	"IV"	""	""	""	""
"ii6"	NA	13	1.5	"C"	"V"	""	"ii"	""	"6"	""	""
"#viio7/V"	NA	13	1.75	"C"	"V"	""	"#vii"	"o"	"7"	""	"V"
"V(64+2)"	NA	13	2.0	"C"	"V"	""	"V"	""	""	"(64+2)"	""
"V7(4)"	NA	13	3.0	"C"	"V"	""	"V"	""	"7"	"(4)"	""
"V7"	NA	13	7.875	"C"	"V"	""	"V"	""	"7"	""	""
"I(4+2)"	NA	14	1.0	"C"	"V"	""	"I"	""	""	"(4+2)"	""
"I\\\\"	NA	14	2.0	"C"	"V"	""	"I"	""	""	""	""
"I6"	NA	14	3.0	"C"	"V"	""	"I"	""	"6"	""	""
"I.V2"	NA	15	1.0	"C"	"I"	""	"V"	""	"2"	""	""
"I6"	NA	15	2.5	"C"	"I"	""	"I"	""	"6"	""	""
"V65"	NA	15	3.0	"C"	"I"	""	"V"	""	"65"	""	""
"I"	NA	15	3.5	"C"	"I"	""	"I"	""	""	""	""
"V(64)"	NA	16	1.0	"C"	"I"	""	"V"	""	""	"(64)"	""
"V\\\\"	NA	16	2.0	"C"	"I"	""	"V"	""	""	""	""
"V"	NA	16	2.5	"C"	"I"	""	"V"	""	""	""	""
"V2"	NA	17	1.0	"C"	"I"	""	"V"	""	"2"	""	""
"I6"	NA	17	2.5	"C"	"I"	""	"I"	""	"6"	""	""
"V65"	NA	17	3.0	"C"	"I"	""	"V"	""	"65"	""	""
"I"	NA	17	3.5	"C"	"I"	""	"I"	""	""	""	""
"V7"	NA	18	1.0	"C"	"I"	""	"V"	""	"7"	""	""
