mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0		0	0	Tempo	2/4	1	1	0								Allegro	120.0	1.0			
1	1	0	0	0.0		0	0	StaffText	2/4	1	1	0							"<font size=""10.7""/><b>Finale</b>"						
1	1	0	0	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	0		articStaccatoAbove							
1	1	1/2	1/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1		articStaccatoAbove							
1	1	1	1	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	2		articStaccatoAbove							
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	3		articStaccatoAbove							
1	1	0	0	0.0		0	0	Dynamic	2/4	4	1	0					pp								
2	2	2	2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	4		articStaccatoAbove							
2	2	5/2	5/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	5		articStaccatoAbove							
2	2	3	3	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	6		articStaccatoAbove							
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	7		articStaccatoAbove							
3	3	4	4	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	8							0		
3	3	9/2	9/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	9							0		
3	3	19/4	19/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	10									
3	3	5	5	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	11		articStaccatoAbove							
3	3	11/2	11/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	12		articStaccatoAbove							
3	3	4	4	0.0		0	0	Dynamic	2/4	2	1	0					pp								
3	3	4	4	0.0		0	0	Dynamic	2/4	2	1	0					pp								
