mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	0	StaffText	3/4	1	1	0						"<font size=""9.6""/><b>No. 6 Adagio quasi un poco andante.</b>"			
1	0	1	1	0.0	1/4	1/4	Spanner	3/4	1	1	0								0	
1	0	1	1	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	0					0	
1	0	1	1	0.0	1/4	1/4	Spanner	3/4	2	1	0								1	
1	0	1	1	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	1					1	
1	0	1	1	0.0	1/4	1/4	Spanner	3/4	3	1	0								2	
1	0	1	1	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	2					2	
1	0	1	1	0.0	1/4	1/4	Spanner	3/4	4	1	0								3	
1	0	1	1	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	3					3	
2	1	3	3	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	4					0	
2	1	5	5	0.0	1/2	1/2	Spanner	3/4	1	1	0									
2	1	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	5						
2	1	3	3	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	6					1	
2	1	5	5	0.0	1/2	1/2	Dynamic	3/4	2	1	0				p					
2	1	5	5	0.0	1/2	1/2	Spanner	3/4	2	1	0									
2	1	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	7				0		
2	1	3	3	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	8					2	
2	1	5	5	0.0	1/2	1/2	Dynamic	3/4	3	1	0				p					
2	1	5	5	0.0	1/2	1/2	Dynamic	3/4	3	1	0				p					
2	1	5	5	0.0	1/2	1/2	Spanner	3/4	3	1	0									
2	1	5	5	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	9				1		
2	1	3	3	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	10					3	
2	1	5	5	0.0	1/2	1/2	Dynamic	3/4	4	1	0				p					
2	1	5	5	0.0	1/2	1/2	Spanner	3/4	4	1	0									
2	1	5	5	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	11				2		
3	2	6	6	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	12						
3	2	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	13						
3	2	6	6	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	14				0		
3	2	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	15						
3	2	6	6	1.75	0	0	Chord	3/4	3	1	7/16	1/4	7/4	16				1		
3	2	31/4	31/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	17				1		
3	2	8	8	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	18				1		
3	2	6	6	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	19				2		
3	2	8	8	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	20						
4	3	9	9	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	21						
4	3	10	10	0.0	1/4	1/4	StaffText	3/4	1	1	0						"<font size=""8.2""/><i>cresc.</i>"			
4	3	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	22				3		
4	3	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	23						
4	3	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	24				4		
4	3	10	10	0.0	1/4	1/4	StaffText	3/4	2	1	0						"<font size=""8.2""/><i>cresc.</i>"			
4	3	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	25						
4	3	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	26						
4	3	9	9	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	27				1		
4	3	10	10	0.0	1/4	1/4	StaffText	3/4	3	1	0						"<font size=""8.2""/><i>cresc.</i>"			
4	3	10	10	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	28						
4	3	9	9	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	29				5		
4	3	10	10	0.0	1/4	1/4	StaffText	3/4	4	1	0						"<font size=""8.2""/><i>cresc.</i>"	5		
4	3	10	10	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	30				5		
4	3	11	11	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	31						
5	4	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	32				6		
5	4	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	33				6		
5	4	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	34						
5	4	12	12	0.0	0	0	Dynamic	3/4	2	1	0				p					
5	4	12	12	0.0	0	0	Dynamic	3/4	2	1	0				p					
5	4	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	35				7		
5	4	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	36						
5	4	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	37						
5	4	12	12	0.0	0	0	Dynamic	3/4	3	1	0				p					
5	4	12	12	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	38				8		
