mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0		0	0	Tempo	6/8	1	1	0									Allegro	120.0	1.0				
1	1	0	0	0.0		0	0	Dynamic	6/8	1	1	0						f									
1	1	0	0	1.0		0	0	Chord	6/8	1	1	1/4			1/4	1	0		articStaccatoBelow								
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	1		articStaccatoAbove								
1	1	0	0	0.0		0	0	Dynamic	6/8	2	1	0						f									
1	1	0	0	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	2		articStaccatoAbove								
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	3		articStaccatoAbove								
1	1	0	0	0.0		0	0	Dynamic	6/8	3	1	0						f									
1	1	0	0	1.0		0	0	Chord	6/8	3	1	1/4			1/4	1	4		articStaccatoAbove								
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	5		articStaccatoAbove								
1	1	0	0	0.0		0	0	Dynamic	6/8	4	1	0						f									
1	1	0	0	1.0		0	0	Chord	6/8	4	1	1/4			1/4	1	6		articStaccatoAbove								
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	7		articStaccatoAbove								
3	3	6	6	0.0		0	0	Dynamic	6/8	1	1	0						pp									
3	3	6	6	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	8							0			
3	3	13/2	13/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	9							0			
3	3	7	7	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	10							0			
3	3	15/2	15/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	11										
3	3	15/2	15/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0						pp									
3	3	15/2	15/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	12							1			
3	3	6	6	0.0		0	0	Dynamic	6/8	4	1	0						pp									
3	3	6	6	0.5		0	0	Chord	6/8	4	1	1/8			1/8	1	13							2			
3	3	13/2	13/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	14							2			
3	3	7	7	0.5		1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	15							2			
3	3	15/2	15/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8			1/4	3/2	16										
4	4	9	9	0.25		0	0	Chord	6/8	1	1	1/16			1/16	1	17							3			
4	4	37/4	37/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	18							3			
4	4	19/2	19/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	19							3			
4	4	39/4	39/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	20							3			
4	4	10	10	0.25		1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	21							3			
4	4	41/4	41/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	22							3			
4	4	21/2	21/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	23		articStaccatoBelow								
4	4	9	9	1.5		0	0	Chord	6/8	2	1	3/8			1/4	3/2	24							1			
4	4	21/2	21/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	25		articStaccatoBelow								
4	4	9	9	0.0		0	0	Dynamic	6/8	3	1	0						pp									
4	4	9	9	1.5		0	0	Chord	6/8	3	1	3/8			1/4	3/2	26							4			
4	4	21/2	21/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	27		articStaccatoBelow								
4	4	9	9	1.0		0	0	Chord	6/8	4	1	1/4			1/4	1	28										
4	4	10	10	0.5		1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	29										
4	4	21/2	21/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	30		articStaccatoBelow								
6	6	15	15	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	31							5			
6	6	31/2	31/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	32							5			
6	6	16	16	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	33							5			
6	6	33/2	33/2	1.5		3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	34										
6	6	15	15	0.0		0	0	Dynamic	6/8	2	1	0						pp									
6	6	33/2	33/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0						pp									
6	6	33/2	33/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	35							6			
6	6	15	15	0.5		0	0	Chord	6/8	3	1	1/8			1/8	1	36							7			
6	6	31/2	31/2	0.5		1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	37							7			
6	6	16	16	0.5		1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	38							7			
6	6	33/2	33/2	1.5		3/8	3/8	Chord	6/8	3	1	3/8			1/4	3/2	39							8			
6	6	15	15	0.0		0	0	Dynamic	6/8	4	1	0						pp									
6	6	15	15	0.0		0	0	Dynamic	6/8	4	1	0						pp									
6	6	15	15	0.5		0	0	Chord	6/8	4	1	1/8			1/8	1	40							9			
6	6	31/2	31/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	41							9			
6	6	16	16	0.5		1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	42							9			
6	6	33/2	33/2	1.5		3/8	3/8	Chord	6/8	4	1	3/8			1/4	3/2	43										
