mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
8	8		23	1.0	1	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	70								
9	9		24	0.0	1	0	0	Dynamic	3/4	1	1	0					pp							
9	9		24	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	71		articStaccatoAbove						
9	9		49/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	72		articStaccatoAbove						
9	9		25	1.5	1	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	73							4	
9	9		53/2	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	74								
9	9		24	0.0	1	0	0	Dynamic	3/4	2	1	0					pp							
9	9		24	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	75								
9	9		51/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	76								
9	9		26	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	77								
9	9		24	0.0	1	0	0	Dynamic	3/4	3	1	0					pp							
9	9		24	1.0	1	0	0	Chord	3/4	3	1	1/4		1/4	1	78								
9	9		51/2	0.5	1	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	79								
9	9		26	0.5	1	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	80								
9	9		51/2	0.5	1	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	81								
9	9		26	0.5	1	1/2	1/2	Chord	3/4	3	2	1/8		1/8	1	82								
9	9		24	0.0	1	0	0	Dynamic	3/4	4	1	0					pp							
9	9		24	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	83								
10	8		27	0.0	1	0	0	Dynamic	3/4	1	1	0					p							
10	8		27	1.0	1	0	0	Chord	3/4	1	1	1/4		1/4	1	84							5	
10	8		28	1.0	1	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	85								
10	8		29	1.0	1	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	86								
10	8		28	0.0	1	1/4	1/4	Dynamic	3/4	2	1	0					p							
10	8		28	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	87								
10	8		29	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	88								
10	8		28	0.0	1	1/4	1/4	Dynamic	3/4	3	1	0					p							
10	8		28	1.0	1	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	89								
10	8		27	0.0	1	0	0	Dynamic	3/4	4	1	0					p							
10	8		27	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	90								
11	9		30	0.0	1	0	0	Dynamic	3/4	1	1	0					pp							
11	9		30	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	91								
11	9		61/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	92		articStaccatoAbove						
11	9		31	1.5	1	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	93							6	
11	9		65/2	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	94								
11	9		30	0.0	1	0	0	Dynamic	3/4	2	1	0					pp							
11	9		30	0.5	1	0	0	Chord	3/4	2	1	1/8		1/8	1	95								
11	9		61/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	96		articStaccatoBelow						
11	9		31	1.5	1	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	97							7	
11	9		65/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	98								
11	9		63/2	0.0	1	3/8	3/8	Dynamic	3/4	3	1	0					pp							
11	9		63/2	0.5	1	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	99		articStaccatoBelow						
11	9		32	0.5	1	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	100		articStaccatoBelow						
11	9		30	0.0	1	0	0	Dynamic	3/4	4	1	0					pp							
11	9		30	1.0	1	0	0	Chord	3/4	4	1	1/4		1/4	1	101								
11	9		63/2	0.5	1	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	102		articStaccatoAbove						
11	9		32	0.5	1	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	103		articStaccatoAbove						
12	10	43/2	67/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	104		articStaccatoAbove						
12	10	22	34	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	105							8	
12	10	47/2	71/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	106								
12	10	43/2	67/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	107		articStaccatoBelow						
12	10	22	34	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	108							9	
12	10	47/2	71/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	109								
12	10	45/2	69/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	110								
12	10	23	35	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	111								
12	10	21	33	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	112								
12	10	45/2	69/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	113		articStaccatoAbove						
12	10	23	35	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	114		articStaccatoAbove						
13	11	49/2	73/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	115		articStaccatoAbove						
13	11	25	37	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	116							10	
13	11	53/2	77/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	117								
13	11	49/2	73/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	118		articStaccatoBelow						
13	11	25	37	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	119							11	
13	11	53/2	77/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	120								
13	11	51/2	75/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	121								
13	11	26	38	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	122								
13	11	24	36	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	123								
13	11	51/2	75/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	124		articStaccatoAbove						
13	11	26	38	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	125		articStaccatoAbove						
14	12	55/2	79/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	126		articStaccatoAbove						
14	12	28	40	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	127							12	
14	12	59/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	128								
14	12	55/2	79/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	129		articStaccatoBelow						
14	12	28	40	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	130							13	
14	12	59/2	83/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	131								
14	12	57/2	81/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	132								
14	12	29	41	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	133								
14	12	27	39	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	134								
14	12	57/2	81/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	135								
14	12	29	41	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	136								
