mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
24	22	59	71	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	237		articStaccatoBelow						
24	22	57	69	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	238								
24	22	117/2	141/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	239		articStaccatoBelow						
24	22	59	71	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	240		articStaccatoBelow						
24	22	115/2	139/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	241		articStaccatoBelow						
24	22	58	70	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	242							30	
24	22	119/2	143/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	243								
24	22	115/2	139/2	0.5		1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	244		articStaccatoBelow						
24	22	58	70	1.5		1/4	1/4	Chord	3/4	4	1	3/8		1/4	3/2	245							31	
24	22	119/2	143/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	246								
25	23	60	72	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	247								
25	23	123/2	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	248		articStaccatoBelow						
25	23	62	74	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	249		articStaccatoBelow						
25	23	60	72	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	250								
25	23	123/2	147/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	251		articStaccatoBelow						
25	23	62	74	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	252		articStaccatoBelow						
25	23	121/2	145/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	253		articStaccatoBelow						
25	23	61	73	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	254							32	
25	23	125/2	149/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	255								
25	23	121/2	145/2	0.5		1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	256		articStaccatoBelow						
25	23	61	73	1.5		1/4	1/4	Chord	3/4	4	1	3/8		1/4	3/2	257							33	
25	23	125/2	149/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	258								
26	24	63	75	0.0		0	0	Dynamic	3/4	1	1	0					ff							
26	24	63	75	0.0		0	0	Spanner	3/4	1	1	0												1
26	24	63	75	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	259								1
26	24	63	75	0.0		0	0	Dynamic	3/4	2	1	0					ff							
26	24	63	75	0.0		0	0	Spanner	3/4	2	1	0												2
26	24	63	75	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	260								2
26	24	63	75	0.0		0	0	Dynamic	3/4	3	1	0					ff							
26	24	63	75	0.0		0	0	Spanner	3/4	3	1	0												3
26	24	63	75	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	261								3
26	24	63	75	0.0		0	0	Dynamic	3/4	4	1	0					ff							
26	24	63	75	0.0		0	0	Spanner	3/4	4	1	0												4
26	24	63	75	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	262								4
27	25	66	78	0.0		0	0	Dynamic	3/4	1	1	0					p							
27	25	66	78	0.0		0	0	Spanner	3/4	1	1	0												
27	25	66	78	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	263								
27	25	133/2	157/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	264		articStaccatoBelow						
27	25	67	79	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	265							34	
27	25	137/2	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	266								
27	25	66	78	0.0		0	0	Dynamic	3/4	2	1	0					p							
27	25	66	78	0.0		0	0	Spanner	3/4	2	1	0												
27	25	66	78	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	267								
27	25	133/2	157/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	268		articStaccatoBelow						
27	25	67	79	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	269							35	
27	25	137/2	161/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	270								
27	25	66	78	0.0		0	0	Dynamic	3/4	3	1	0					p							
27	25	66	78	0.0		0	0	Spanner	3/4	3	1	0												
27	25	66	78	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	271								
27	25	135/2	159/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	272								
27	25	68	80	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	273								
27	25	66	78	0.0		0	0	Dynamic	3/4	4	1	0					p							
27	25	66	78	0.0		0	0	Spanner	3/4	4	1	0												
27	25	66	78	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	274								
27	25	135/2	159/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	275								
27	25	68	80	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	276								
28	26	69	81	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	277								
28	26	139/2	163/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	278		articStaccatoAbove						
28	26	70	82	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	279							36	
28	26	143/2	167/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	280								
28	26	69	81	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	281								
28	26	139/2	163/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	282		articStaccatoBelow						
28	26	70	82	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	283							37	
28	26	143/2	167/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	284								
28	26	141/2	165/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	285								
28	26	71	83	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	286								
28	26	69	81	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	287								
28	26	141/2	165/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	288								
28	26	71	83	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	289								
29	27	72	84	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	290								
29	27	145/2	169/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	291		articStaccatoAbove						
29	27	73	85	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	292							38	
29	27	149/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	293								
29	27	72	84	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	294								
29	27	145/2	169/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	295		articStaccatoBelow						
29	27	73	85	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	296							39	
29	27	149/2	173/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	297								
29	27	147/2	171/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	298								
29	27	74	86	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	299								
29	27	72	84	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	300								
29	27	147/2	171/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	301								
29	27	74	86	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	302								
30	28	75	87	0.0		0	0	StaffText	3/4	1	1	0							<i>cresc.</i>					
30	28	75	87	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	303							40	
30	28	151/2	175/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	304							40	
30	28	76	88	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	305								
30	28	77	89	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	306							41	
30	28	75	87	0.0		0	0	StaffText	3/4	2	1	0							<i>cresc.</i>					
30	28	75	87	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	307							42	
30	28	151/2	175/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	308							42	
30	28	76	88	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	309								
30	28	77	89	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	310							43	
30	28	75	87	0.0		0	0	StaffText	3/4	3	1	0							<i>cresc.</i>					
30	28	75	87	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	311								
30	28	77	89	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	312								
30	28	75	87	0.0		0	0	StaffText	3/4	4	1	0							<i>cresc.</i>					
30	28	75	87	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	313								
30	28	77	89	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	314								
31	29	78	90	0.0		0	0	Dynamic	3/4	1	1	0					ff							
31	29	78	90	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	315								
31	29	159/2	183/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	316		articStaccatoAbove						
31	29	80	92	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	317		articStaccatoAbove						
31	29	78	90	0.0		0	0	Dynamic	3/4	2	1	0					ff							
31	29	78	90	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	318								
31	29	159/2	183/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	319		articStaccatoAbove						
31	29	80	92	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	320		articStaccatoAbove						
31	29	78	90	0.0		0	0	Dynamic	3/4	3	1	0					ff							
31	29	78	90	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	321								
31	29	157/2	181/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	322								
31	29	79	91	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	323							44	
31	29	161/2	185/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	324								
31	29	78	90	0.0		0	0	Dynamic	3/4	4	1	0					ff							
31	29	78	90	0.5		0	0	Chord	3/4	4	1	1/8		1/8	1	325								
31	29	157/2	181/2	0.5		1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	326								
31	29	79	91	1.5		1/4	1/4	Chord	3/4	4	1	3/8		1/4	3/2	327							45	
31	29	161/2	185/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	328								
32	30	81	93	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	329								
32	30	165/2	189/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	330		articStaccatoAbove						
32	30	83	95	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	331		articStaccatoAbove						
32	30	81	93	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	332								
32	30	165/2	189/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	333		articStaccatoAbove						
32	30	83	95	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	334		articStaccatoAbove						
32	30	163/2	187/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	335							46	
32	30	82	94	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	336							46	
32	30	167/2	191/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	337								
32	30	163/2	187/2	0.5		1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	338							47	
32	30	82	94	1.5		1/4	1/4	Chord	3/4	4	1	3/8		1/4	3/2	339							47	
32	30	167/2	191/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	340								
33	31	84	96	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	341								
33	31	171/2	195/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	342		articStaccatoAbove						
33	31	86	98	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	343		articStaccatoAbove						
33	31	84	96	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	344								
33	31	171/2	195/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	345		articStaccatoAbove						
33	31	86	98	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	346		articStaccatoAbove						
33	31	169/2	193/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	347							48	
33	31	85	97	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	348							48	
33	31	173/2	197/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	349								
33	31	169/2	193/2	0.5		1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	350							49	
33	31	85	97	1.5		1/4	1/4	Chord	3/4	4	1	3/8		1/4	3/2	351							49	
33	31	173/2	197/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	352								
34	32	87	99	0.0		0	0	Dynamic	3/4	1	1	0					ff							
34	32	87	99	0.0		0	0	Spanner	3/4	1	1	0												5
34	32	87	99	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	353								5
34	32	87	99	0.0		0	0	Dynamic	3/4	2	1	0					ff							
34	32	87	99	0.0		0	0	Spanner	3/4	2	1	0												6
34	32	87	99	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	354								6
34	32	87	99	0.0		0	0	Dynamic	3/4	3	1	0					ff							
34	32	87	99	0.0		0	0	Spanner	3/4	3	1	0												7
34	32	87	99	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	355								7
34	32	87	99	0.0		0	0	Dynamic	3/4	4	1	0					ff							
34	32	87	99	0.0		0	0	Spanner	3/4	4	1	0												8
34	32	87	99	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	356								8
35	33	90	102	0.0		0	0	Dynamic	3/4	1	1	0					p							
35	33	90	102	0.0		0	0	Spanner	3/4	1	1	0												
35	33	90	102	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	357								
35	33	181/2	205/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	358								
35	33	91	103	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	359							50	
35	33	185/2	209/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	360								
35	33	90	102	0.0		0	0	Dynamic	3/4	2	1	0					p							
35	33	90	102	0.0		0	0	Spanner	3/4	2	1	0												
35	33	90	102	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	361								
35	33	183/2	207/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	362								
35	33	92	104	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	363								
35	33	90	102	0.0		0	0	Dynamic	3/4	3	1	0					p							
35	33	90	102	0.0		0	0	Spanner	3/4	3	1	0												
35	33	90	102	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	364								
35	33	183/2	207/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	365								
35	33	92	104	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	366								
35	33	90	102	0.0		0	0	Dynamic	3/4	4	1	0					p							
35	33	90	102	0.0		0	0	Spanner	3/4	4	1	0												
35	33	90	102	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	367								
35	33	183/2	207/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	368								
35	33	92	104	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	369								
36	34	93	105	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	370								
36	34	187/2	211/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	371		articStaccatoAbove						
36	34	94	106	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	372							51	
36	34	191/2	215/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	373								
36	34	189/2	213/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	374								
36	34	95	107	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	375								
36	34	189/2	213/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	376								
36	34	95	107	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	377								
36	34	93	105	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	378								
36	34	189/2	213/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	379								
36	34	95	107	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	380								
37	35	96	108	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	381								
37	35	193/2	217/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	382		articStaccatoAbove						
37	35	97	109	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	383							52	
37	35	197/2	221/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	384								
37	35	195/2	219/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	385								
37	35	98	110	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	386								
37	35	195/2	219/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	387								
37	35	98	110	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	388								
37	35	96	108	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	389								
37	35	195/2	219/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	390								
37	35	98	110	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	391								
38	36	99	111	0.0		0	0	Dynamic	3/4	1	1	0					pp							
38	36	99	111	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	392		articStaccatoAbove						
38	36	199/2	223/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	393		articStaccatoAbove						
38	36	100	112	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	394							53	
38	36	203/2	227/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	395								
38	36	99	111	0.0		0	0	Dynamic	3/4	2	1	0					pp							
38	36	99	111	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	396								
38	36	201/2	225/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	397								
38	36	101	113	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	398								
38	36	99	111	0.0		0	0	Dynamic	3/4	3	1	0					pp							
38	36	99	111	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	399								
38	36	201/2	225/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	400								
38	36	101	113	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	401								
38	36	99	111	0.0		0	0	Dynamic	3/4	4	1	0					pp							
38	36	99	111	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	402								
39	37	102	114	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	403								
39	37	205/2	229/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	404								
39	37	103	115	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	405							54	
39	37	209/2	233/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	406								
39	37	102	114	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	407								
39	37	207/2	231/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	408								
39	37	104	116	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	409								
39	37	102	114	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	410								
39	37	207/2	231/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	411								
39	37	104	116	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	412								
39	37	102	114	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	413								
40	38	105	117	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	414								
40	38	211/2	235/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	415								
40	38	106	118	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	416							55	
40	38	215/2	239/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	417								
40	38	105	117	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	418								
40	38	213/2	237/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	419								
40	38	107	119	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	420								
40	38	105	117	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	421								
40	38	213/2	237/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	422								
40	38	107	119	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	423								
40	38	105	117	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	424								
41	39	108	120	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	425								
41	39	217/2	241/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	426							56	
41	39	109	121	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	427							56	
41	39	221/2	245/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	428								
41	39	108	120	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	429								
41	39	219/2	243/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	430								
41	39	110	122	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	431								
41	39	108	120	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	432								
41	39	219/2	243/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	433								
41	39	110	122	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	434								
41	39	108	120	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	435							57	
42	40	111	123	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	436							58	
42	40	223/2	247/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	437							58	
42	40	112	124	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	438							58	
42	40	227/2	251/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	439								
42	40	111	123	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	440								
42	40	225/2	249/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	441								
42	40	113	125	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	442								
42	40	111	123	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	443								
42	40	225/2	249/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	444								
42	40	113	125	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	445								
42	40	111	123	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	446							57	
43	41	114	126	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	447								
43	41	229/2	253/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	448							59	
43	41	115	127	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	449							59	
43	41	233/2	257/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	450								
43	41	114	126	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	451								
43	41	231/2	255/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	452								
43	41	116	128	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	453								
43	41	114	126	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	454								
43	41	231/2	255/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	455								
43	41	116	128	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	456								
43	41	114	126	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	457							57	
44	42	117	129	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	458								
44	42	235/2	259/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	459							60	
44	42	118	130	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	460							60	
44	42	239/2	263/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	461								
44	42	117	129	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	462								
44	42	237/2	261/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	463								
44	42	119	131	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	464								
44	42	117	129	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	465								
44	42	237/2	261/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	466								
44	42	119	131	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	467								
44	42	117	129	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	468							57	
45	43	120	132	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	469								
45	43	120	132	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	470		articStaccatoBelow						
45	43	241/2	265/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	471		articStaccatoBelow						
45	43	121	133	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	472							61	
45	43	245/2	269/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	473								
45	43	120	132	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	474								
45	43	243/2	267/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	475								
45	43	122	134	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	476								
45	43	120	132	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	477							62	
45	43	122	134	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	478								
46	44	247/2	271/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	479		articStaccatoAbove						
46	44	124	136	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	480							63	
46	44	251/2	275/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	481								
46	44	123	135	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	482								
46	44	249/2	273/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	483								
46	44	125	137	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	484								
46	44	123	135	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	485							64	
46	44	125	137	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	486								
47	45	253/2	277/2	0.0		1/8	1/8	StaffText	3/4	2	1	0							<i>cresc.</i>					
47	45	253/2	277/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	487		articStaccatoAbove						
47	45	127	139	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	488								
47	45	257/2	281/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	489								
47	45	126	138	0.0		0	0	StaffText	3/4	3	1	0							<i>cresc.</i>					
47	45	126	138	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	490								
47	45	255/2	279/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	491								
47	45	128	140	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	492								
