mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0		0	3/8	Tempo	2/4	1	1	0									𝅘𝅥=55	55.0	𝅘𝅥	55.0	1.0				
1	0	0	0	0.0		0	3/8	StaffText	2/4	1	1	0								<b>Andante cantabile</b>									
1	0	0	0	0.0		0	3/8	Dynamic	2/4	1	1	0						p											
1	0	0	0	0.5		0	3/8	Chord	2/4	1	1	1/8		1/8	1	0													
2	1	1/2	1/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	1													
2	1	3/2	3/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	2			articStaccatoAbove							0			
2	1	2	2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	3			articStaccatoAbove										
2	1	1/2	1/2	0.0		0	0	Dynamic	2/4	2	1	0						p											
2	1	1/2	1/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	4													
2	1	3/2	3/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	5			articStaccatoBelow							1			
2	1	2	2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	6			articStaccatoBelow										
2	1	1/2	1/2	0.0		0	0	Dynamic	2/4	3	1	0						p											
2	1	1/2	1/2	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	7										2			
2	1	1/2	1/2	0.0		0	0	Dynamic	2/4	4	1	0						p											
2	1	1/2	1/2	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	8													
3	2	5/2	5/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	9			articStaccatoAbove							3			
3	2	3	3	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	10			articStaccatoAbove										
3	2	7/2	7/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	11													
3	2	5/2	5/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	12			articStaccatoBelow							4			
3	2	3	3	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	13			articStaccatoBelow										
3	2	7/2	7/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	14													
3	2	5/2	5/2	1.5		0	0	Chord	2/4	3	1	3/8		1/4	3/2	15										2			
3	2	4	4	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	16										2			
3	2	17/4	17/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	17													
3	2	5/2	5/2	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	18													
4	3	9/2	9/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	19													
4	3	5	5	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	20			articStaccatoBelow							5			
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	21			articStaccatoBelow							5			
4	3	6	6	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	22			articStaccatoBelow										
4	3	9/2	9/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	23													
4	3	5	5	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	24			articStaccatoBelow							6			
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	25			articStaccatoBelow							6			
4	3	6	6	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	26			articStaccatoBelow										
4	3	9/2	9/2	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	27										7			
4	3	19/4	19/4	0.25		1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	28													
4	3	5	5	1.5		1/8	1/8	Chord	2/4	3	1	3/8		1/4	3/2	29										8			
4	3	9/2	9/2	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	30													
5	4	13/2	13/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	31			articStaccatoAbove							9			
5	4	7	7	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	32			articStaccatoAbove										
5	4	15/2	15/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	33													
5	4	13/2	13/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	34			articStaccatoBelow							10			
5	4	7	7	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	35			articStaccatoBelow										
5	4	15/2	15/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	36													
5	4	13/2	13/2	1.5		0	0	Chord	2/4	3	1	3/8		1/4	3/2	37										8			
5	4	8	8	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	38										8			
5	4	33/4	33/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	39													
5	4	13/2	13/2	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	40													
6	5	17/2	17/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	41													
6	5	19/2	19/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	42			articStaccatoAbove							11			
6	5	10	10	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	43			articStaccatoAbove										
6	5	17/2	17/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	44													
6	5	19/2	19/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	45			articStaccatoBelow							12			
6	5	10	10	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	46			articStaccatoBelow										
6	5	17/2	17/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	47										13			
6	5	9	9	1.5		1/8	1/8	Chord	2/4	3	1	3/8		1/4	3/2	48													
6	5	17/2	17/2	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	49													
7	6	21/2	21/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	50			articStaccatoAbove							14			
7	6	11	11	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	51			articStaccatoAbove										
7	6	23/2	23/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	52										15			
7	6	21/2	21/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	53			articStaccatoBelow							16			
7	6	11	11	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	54			articStaccatoBelow										
7	6	23/2	23/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	55										17			
7	6	21/2	21/2	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	56										18			
7	6	23/2	23/2	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	57										19			
7	6	47/4	47/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	58										19			
7	6	12	12	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	59										19			
7	6	49/4	49/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	60													
7	6	21/2	21/2	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	61													
8	7	25/2	25/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	62										15			
8	7	13	13	0.375		1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	63										15			
8	7	107/8	107/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	64													
