mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	35							
3	3	10	10	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	36							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	37							
3	3	8	8	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	38							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	39							
3	3	10	10	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	40							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	41							
3	3	8	8	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	42							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	43							
3	3	10	10	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	44							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	45							
4	4	12	12	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	46				1			
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	47							
4	4	13	13	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	48		articStaccatoAbove					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	49		articStaccatoAbove					
4	4	14	14	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	50				2			
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	51							
4	4	15	15	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	52		articStaccatoAbove					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	53		articStaccatoAbove					
4	4	12	12	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	54							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	55							
4	4	14	14	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	56							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	57							
4	4	12	12	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	58							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	59							
4	4	14	14	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	60							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	61							
4	4	12	12	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	62							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	63							
4	4	14	14	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	64							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	65							
5	5	16	16	2.0	0	0	Chord	2/2	1	1	1/2			1/2	1	66							
5	5	18	18	1.5	1/2	1/2	Chord	2/2	1	1	3/8			1/4	3/2	67							
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	68		articStaccatoAbove					
5	5	16	16	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	69							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	70							
5	5	18	18	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	71							
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	72							
5	5	16	16	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	73							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	74							
5	5	18	18	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	75							
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	76							
5	5	16	16	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	77							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	78							
5	5	18	18	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	79							
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	80							
6	6	20	20	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	81		articStaccatoAbove					
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	82		articStaccatoAbove					
6	6	22	22	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	83		articStaccatoAbove					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	84		articStaccatoAbove					
6	6	20	20	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	85							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	86							
6	6	22	22	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	87							
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	88							
6	6	20	20	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	89							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	90							
6	6	22	22	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	91							
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	92							
6	6	20	20	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	93							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	94							
6	6	22	22	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	95							
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	96							
7	7	24	24	0.0	0	0	Chord	2/2	1	1	0	appoggiatura		1/8	1	97							
7	7	24	24	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	98				3			
7	7	25	25	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	99				3			
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	100							
7	7	26	26	2.0	1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	101							
7	7	24	24	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	102							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	103							
7	7	26	26	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	104							
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	105							
7	7	24	24	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	106							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	107							
7	7	26	26	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	108							
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	109							
7	7	24	24	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	110							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	111							
7	7	26	26	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	112							
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	113							
8	8	28	28	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	114							
8	8	29	29	0.0	1/4	1/4	StaffText	2/2	1	1	0								<i>cresc.</i>				
8	8	29	29	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	115				4			
8	8	59/2	59/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	116				4			
8	8	30	30	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	117				4			
8	8	31	31	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	118				4			
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	119							
8	8	28	28	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	120							
8	8	59/2	59/2	0.0	3/8	3/8	StaffText	2/2	2	1	0								<i>cresc.</i>				
8	8	59/2	59/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	121							
8	8	30	30	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	122							
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	123							
8	8	28	28	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	124							
8	8	59/2	59/2	0.0	3/8	3/8	StaffText	2/2	3	1	0								<i>cresc.</i>				
8	8	59/2	59/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	125							
8	8	30	30	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	126							
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	127							
8	8	28	28	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	128							
8	8	59/2	59/2	0.0	3/8	3/8	StaffText	2/2	4	1	0								<i>cresc.</i>				
8	8	59/2	59/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	129							
8	8	30	30	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	130							
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	131							
9	9	32	32	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	132							
9	9	33	33	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	133				5			
9	9	67/2	67/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	134				5			
9	9	34	34	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	135							
9	9	35	35	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	136				6			
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	137				6			
9	9	32	32	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	138							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	139							
9	9	34	34	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	140							
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	141							
9	9	32	32	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	142							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	143							
9	9	34	34	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	144							
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	145							
9	9	32	32	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	146							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	147							
9	9	34	34	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	148							
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	149							
10	10	36	36	0.0	0	0	Dynamic	2/2	1	1	0						fp						
10	10	36	36	3.0	0	0	Chord	2/2	1	1	3/4			1/2	3/2	150							
10	10	39	39	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	151				7			
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	152				7			
10	10	36	36	0.0	0	0	Dynamic	2/2	2	1	0						fp						
10	10	36	36	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	153							
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	154							
10	10	38	38	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	155							
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	156							
10	10	36	36	0.0	0	0	Dynamic	2/2	3	1	0						fp						
10	10	36	36	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	157							
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	158							
10	10	38	38	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	159							
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	160							
10	10	36	36	0.0	0	0	Dynamic	2/2	4	1	0						fp						
10	10	36	36	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	161							
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	162							
10	10	38	38	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	163							
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	164							
11	11	40	40	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	165		articStaccatoAbove					
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	166		articStaccatoAbove					
11	11	42	42	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	167		articStaccatoAbove					
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	168		articStaccatoAbove					
11	11	40	40	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	169							
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	170							
11	11	42	42	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	171							
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	172							
11	11	40	40	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	173							
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	174							
11	11	42	42	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	175							
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	176							
11	11	40	40	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	177							
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	178							
11	11	42	42	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	179							
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	180							
12	12	44	44	3.0	0	0	Chord	2/2	1	1	3/4			1/2	3/2	181							
12	12	47	47	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	182				8			
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	183				8			
12	12	44	44	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	184							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	185							
12	12	46	46	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	186							
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	187							
12	12	44	44	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	188							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	189							
12	12	46	46	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	190							
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	191							
12	12	44	44	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	192							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	193							
12	12	46	46	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	194							
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	195							
13	13	48	48	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	196				8			
13	13	97/2	97/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	197							
13	13	49	49	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	198		articStaccatoAbove					
13	13	99/2	99/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	199		articStaccatoAbove					
13	13	50	50	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	200				9			
13	13	101/2	101/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	201							
13	13	51	51	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	202		articStaccatoAbove					
13	13	103/2	103/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	203		articStaccatoAbove					
13	13	48	48	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	204							
13	13	99/2	99/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	205							
13	13	50	50	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	206							
13	13	103/2	103/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	207							
13	13	48	48	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	208							
13	13	99/2	99/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	209							
13	13	50	50	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	210							
13	13	103/2	103/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	211							
13	13	48	48	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	212							
13	13	99/2	99/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	213							
13	13	50	50	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	214							
13	13	103/2	103/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	215							
14	14	52	52	2.0	0	0	Chord	2/2	1	1	1/2			1/2	1	216							
14	14	54	54	1.5	1/2	1/2	Chord	2/2	1	1	3/8			1/4	3/2	217							
14	14	111/2	111/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	218		articStaccatoAbove					
14	14	52	52	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	219							
14	14	107/2	107/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	220							
14	14	54	54	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	221							
14	14	111/2	111/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	222							
14	14	52	52	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	223							
14	14	107/2	107/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	224							
14	14	54	54	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	225							
14	14	111/2	111/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	226							
14	14	52	52	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	227							
14	14	107/2	107/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	228							
14	14	54	54	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	229							
14	14	111/2	111/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	230							
15	15	56	56	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	231		articStaccatoAbove					
15	15	115/2	115/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	232		articStaccatoAbove					
15	15	58	58	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	233		articStaccatoAbove					
15	15	119/2	119/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	234		articStaccatoAbove					
15	15	56	56	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	235							
15	15	115/2	115/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	236							
15	15	58	58	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	237							
15	15	119/2	119/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	238							
15	15	56	56	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	239							
15	15	115/2	115/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	240							
15	15	58	58	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	241							
15	15	119/2	119/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	242							
15	15	56	56	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	243							
15	15	115/2	115/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	244							
15	15	58	58	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	245							
15	15	119/2	119/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	246							
16	16	60	60	0.0	0	0	Chord	2/2	1	1	0	appoggiatura		1/8	1	247							
16	16	60	60	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	248				10			
16	16	61	61	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	249				10			
16	16	123/2	123/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	250							
16	16	62	62	2.0	1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	251							
16	16	60	60	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	252							
16	16	123/2	123/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	253							
16	16	62	62	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	254							
16	16	127/2	127/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	255							
16	16	60	60	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	256							
16	16	123/2	123/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	257							
16	16	62	62	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	258							
16	16	127/2	127/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	259							
16	16	60	60	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	260							
16	16	123/2	123/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8			1/8	1	261							
16	16	62	62	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	262							
16	16	127/2	127/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8			1/8	1	263							
17	17	64	64	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	264							
17	17	65	65	0.0	1/4	1/4	StaffText	2/2	1	1	0								<i>cresc.</i>				
17	17	65	65	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	265				11			
17	17	131/2	131/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	266				11			
17	17	66	66	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	267				11			
17	17	67	67	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	268				11			
17	17	135/2	135/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	269							
17	17	64	64	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	270							
17	17	131/2	131/2	0.0	3/8	3/8	StaffText	2/2	2	1	0								<i>cresc.</i>				
17	17	131/2	131/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	271							
17	17	66	66	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	272							
17	17	135/2	135/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	273							
17	17	64	64	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	274							
