mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=50	50.0	𝅘𝅥	50.0	1.0				
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							<b>Andante con moto</b>									
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							<b>Andante con moto</b>									
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p											
1	1	0	0	0.0	0	0	Spanner	2/4	1	1	0														0		
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	0									0	0		
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	1	1	0													0			
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	1	1	0													0		0	
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1									0		0	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	2											0	
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					p											
1	1	0	0	0.0	0	0	Spanner	2/4	2	1	0														1		
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	3									1	1		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4									1	1		
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	2	1	0													1			
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	2	1	0													1		1	
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	5									1		1	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	6											1	
1	1	0	0	0.0	0	0	Dynamic	2/4	3	1	0					p											
1	1	0	0	0.0	0	0	Spanner	2/4	3	1	0														2		
1	1	0	0	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	7										2		
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	3	1	0																
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	3	1	0															2	
1	1	1	1	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	8		articStaccatoBelow							2		2	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	9		articStaccatoBelow									2	
1	1	0	0	0.0	0	0	Dynamic	2/4	4	1	0					p											
1	1	0	0	0.0	0	0	Spanner	2/4	4	1	0														3		
1	1	0	0	1.0	0	0	Chord	2/4	4	1	1/4		1/4	1	10									3	3		
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	4	1	0													3			
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	4	1	0													3		3	
1	1	1	1	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	11									3		3	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	12											3	
2	2	2	2	0.0	0	0	Spanner	2/4	1	1	0																
2	2	2	2	0.0	0	0	Spanner	2/4	1	1	0														4		
2	2	2	2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	13									4	4		
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	1	1	0													4			
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	1	1	0													4		4	
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	14									4		4	
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	15											4	
2	2	2	2	0.0	0	0	Spanner	2/4	2	1	0																
2	2	2	2	0.0	0	0	Spanner	2/4	2	1	0														5		
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	16									5	5		
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	17									5	5		
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	2	1	0													5			
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	2	1	0													5		5	
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	18									5		5	
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	19											5	
2	2	2	2	0.0	0	0	Spanner	2/4	3	1	0																
2	2	2	2	0.0	0	0	Spanner	2/4	3	1	0														6		
2	2	2	2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	20										6		
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	3	1	0																
2	2	3	3	0.0	1/4	1/4	Spanner	2/4	3	1	0															6	
