mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0		0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=125	125.0	𝅘𝅥	125.0	1.0	
1	0	0	0	0.0		0	1/2	StaffText	3/4	1	1	0							<b>Menuetto</b>						
1	0	0	0	0.0		0	1/2	Dynamic	3/4	1	1	0					p								
1	0	0	0	1.0		0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articStaccatoAbove							
2	1	1	1	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	1									
2	1	2	2	0.0		1/4	1/4	Dynamic	3/4	2	1	0					p								
2	1	2	2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	2									0
2	1	3	3	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	3									
3	2	4	4	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	4									
3	2	5	5	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	5									1
3	2	6	6	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	6									
4	3	7	7	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	7									2
4	3	15/2	15/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	8									
4	3	8	8	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	9									3
4	3	17/2	17/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	10									
4	3	9	9	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	11									4
4	3	19/2	19/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	12									
4	3	8	8	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	13									5
4	3	9	9	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	14									
5	4	10	10	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	15									6
5	4	11	11	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	16									
5	4	12	12	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	17		articStaccatoAbove							
5	4	10	10	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	18									
6	5	13	13	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	19									
6	5	14	14	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	20									7
6	5	15	15	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	21									
7	6	16	16	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	22									
7	6	18	18	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	23									
7	6	17	17	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	24									8
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	25									
