mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur
1	0	0	0	0.0		0	3/8	StaffText	3/4	1	1	0						<b>Allegro</b>	
1	0	0	0	0.0		0	3/8	Dynamic	3/4	1	1	0				p			
1	0	0	0	1.0		0	3/8	Chord	3/4	1	1	1/4	1/4	1	0				
1	0	1	1	0.0		1/4	5/8	Dynamic	3/4	1	1	0				sf			
1	0	1	1	0.5		1/4	5/8	Chord	3/4	1	1	1/8	1/8	1	1				
1	0	0	0	0.0		0	3/8	Dynamic	3/4	2	1	0				p			
1	0	0	0	1.0		0	3/8	Chord	3/4	2	1	1/4	1/4	1	2				
1	0	1	1	0.0		1/4	5/8	Dynamic	3/4	2	1	0				sf			
1	0	1	1	0.5		1/4	5/8	Chord	3/4	2	1	1/8	1/8	1	3				
1	0	0	0	0.0		0	3/8	Dynamic	3/4	3	1	0				p			
1	0	0	0	0.5		0	3/8	Chord	3/4	3	1	1/8	1/8	1	4		articStaccatoAbove		
1	0	1/2	1/2	0.5		1/8	1/2	Chord	3/4	3	1	1/8	1/8	1	5		articStaccatoAbove		
1	0	1	1	0.5		1/4	5/8	Chord	3/4	3	1	1/8	1/8	1	6		articStaccatoAbove		
1	0	0	0	0.0		0	3/8	Dynamic	3/4	4	1	0				p			
1	0	0	0	0.5		0	3/8	Chord	3/4	4	1	1/8	1/8	1	7		articStaccatoAbove		
1	0	1/2	1/2	0.5		1/8	1/2	Chord	3/4	4	1	1/8	1/8	1	8		articStaccatoAbove		
1	0	1	1	0.5		1/4	5/8	Chord	3/4	4	1	1/8	1/8	1	9		articStaccatoAbove		
2	1	3/2	3/2	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	10				
2	1	2	2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	11		articStaccatoAbove		
2	1	5/2	5/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	12		articStaccatoAbove		
2	1	3	3	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	13		articStaccatoAbove		
