mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
1	0	0	0	0.0	0	0	Tempo	4/4	1	1	0							No3.Allegromoderato	120.0	1.0		
1	0	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	0		articStaccatoBelow						
1	0	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1		articStaccatoAbove						
1	0	1	1	0.0	1/4	1/4	Dynamic	4/4	2	1	0				f							
1	0	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	2		articStaccatoBelow						
1	0	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	3		articStaccatoBelow						
1	0	1	1	0.0	1/4	1/4	Dynamic	4/4	3	1	0				f							
1	0	1	1	0.0	1/4	1/4	Dynamic	4/4	3	1	0				f							
1	0	1	1	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	4		articStaccatoAbove						
1	0	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	5		articStaccatoAbove						
1	0	1	1	0.0	1/4	1/4	Dynamic	4/4	4	1	0				f							
1	0	1	1	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	6		articStaccatoAbove						
1	0	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	7		articStaccatoAbove						
2	1	9/2	9/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	8							0	
2	1	19/4	19/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	9								
2	1	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	10		articStaccatoBelow						
2	1	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	11		articStaccatoBelow						
2	1	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	12								
2	1	4	4	0.0	0	0	Dynamic	4/4	2	1	0				p							
2	1	13/2	13/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	13							1	
2	1	27/4	27/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	14								
2	1	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	15		articStaccatoBelow						
2	1	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	16		articStaccatoBelow						
2	1	4	4	0.0	0	0	Dynamic	4/4	3	1	0				p							
3	2	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	17								
3	2	17/2	17/2	0.0	1/8	1/8	Dynamic	4/4	3	1	0				p							
3	2	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	18		articStaccatoBelow						
3	2	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	19		articStaccatoBelow						
3	2	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	20		articStaccatoBelow						
3	2	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	21		articStaccatoBelow						
3	2	21/2	21/2	0.0	5/8	5/8	Dynamic	4/4	4	1	0				p							
3	2	21/2	21/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	22		articStaccatoAbove						
3	2	11	11	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	23		articStaccatoAbove						
3	2	23/2	23/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	24		articStaccatoAbove						
4	3	13	13	0.0	1/4	1/4	Dynamic	4/4	1	1	0				f							
4	3	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	25		articStaccatoBelow						
4	3	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26		articStaccatoAbove						
4	3	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	27		articStaccatoBelow						
4	3	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	28		articStaccatoBelow						
4	3	29/2	29/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	29							2	
4	3	59/4	59/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	30								
4	3	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	31		articStaccatoBelow						
4	3	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	32		articStaccatoBelow						
4	3	13	13	0.0	1/4	1/4	Dynamic	4/4	3	1	0				f							
4	3	13	13	0.0	1/4	1/4	Dynamic	4/4	3	1	0				f							
4	3	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	33		articStaccatoAbove						
4	3	14	14	0.0	1/2	1/2	Dynamic	4/4	3	1	0				p							
4	3	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	34		articStaccatoBelow						
4	3	12	12	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	35		articStaccatoAbove						
4	3	13	13	0.0	1/4	1/4	Dynamic	4/4	4	1	0				f							
4	3	13	13	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	36		articStaccatoAbove						
4	3	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	37		articStaccatoBelow						
5	4	33/2	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	38							3	
5	4	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	39								
5	4	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	40		articStaccatoAbove						
5	4	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	41		articStaccatoAbove						
5	4	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	42								
5	4	16	16	0.0	0	0	Dynamic	4/4	2	1	0				p							
5	4	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	43								
5	4	37/2	37/2	0.0	5/8	5/8	Dynamic	4/4	2	1	0				p							
5	4	37/2	37/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	44							4	
5	4	75/4	75/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	45								
5	4	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	46		articStaccatoBelow						
5	4	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	47		articStaccatoBelow						
6	5	45/2	45/2	0.0	5/8	5/8	Tempo	4/4	1	1	0							Adagio	40.0	1.0		
6	5	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	48								
6	5	22	22	0.0	1/2	1/2	Dynamic	4/4	3	1	0				p							
6	5	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	49		articStaccatoBelow						
6	5	45/2	45/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	50							5	
6	5	91/4	91/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	51								
6	5	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	52		articStaccatoBelow						
6	5	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	53		articStaccatoBelow						
6	5	41/2	41/2	0.0	1/8	1/8	Dynamic	4/4	4	1	0				p							
6	5	41/2	41/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16	1/16	1	54							6	
6	5	83/4	83/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	55								
6	5	21	21	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	56		articStaccatoAbove						
6	5	43/2	43/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	57		articStaccatoAbove						
6	5	22	22	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	58								
7	6	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	59							7	
7	6	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	60							7	
7	6	27	27	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	61							7	
7	6	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	62								
7	6	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	63							8	
7	6	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	64							8	
7	6	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	65								
7	6	24	24	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	66							9	
7	6	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	67								
7	6	25	25	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	68							10	
7	6	26	26	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	69							10	
7	6	27	27	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	70								
8	7	28	28	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	71							11	
8	7	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	72								
