mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0							𝅘𝅥=25	25.0	𝅘𝅥	25.0	1.0			
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0						<b>Adagio ma non troppo</b>								
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0				p										
1	1	0	0	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	0									0		
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1											
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	2		articStaccatoAbove									
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	3		articStaccatoAbove									
1	1	1	1	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	4									1		
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	5											
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	6		articStaccatoAbove									
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	7		articStaccatoAbove									
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	8											
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	9											
1	1	0	0	0.0	0	0	Dynamic	2/4	3	1	0				p										
1	1	0	0	0.0	0	0	Dynamic	2/4	3	1	0				p										
1	1	0	0	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	10											
1	1	1	1	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	11											
1	1	0	0	0.0	0	0	Dynamic	2/4	4	1	0				p										
1	1	0	0	0.5	0	0	Chord	2/4	4	1	1/8	1/8	1	12											
1	1	1	1	0.5	1/4	1/4	Chord	2/4	4	1	1/8	1/8	1	13											
2	2	2	2	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	14									2		
2	2	9/4	9/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	15											
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	16									3		
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	17											
2	2	3	3	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	18									4		
2	2	13/4	13/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	19											
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	20									5		
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	21											
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	22											
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	23											
2	2	2	2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	24											
2	2	3	3	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	25											
2	2	2	2	0.5	0	0	Chord	2/4	4	1	1/8	1/8	1	26											
2	2	3	3	0.5	1/4	1/4	Chord	2/4	4	1	1/8	1/8	1	27											
3	3	4	4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	28									6		
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	29											
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	30		articStaccatoAbove									
3	3	19/4	19/4	0.0625	3/16	3/16	Chord	2/4	1	1	1/64	1/64	1	31									7		
3	3	77/16	77/16	0.0625	13/64	13/64	Chord	2/4	1	1	1/64	1/64	1	32									7		
3	3	39/8	39/8	0.0625	7/32	7/32	Chord	2/4	1	1	1/64	1/64	1	33									7		
3	3	79/16	79/16	0.0625	15/64	15/64	Chord	2/4	1	1	1/64	1/64	1	34											
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	35									8		
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	36											
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	37		articStaccatoAbove									
3	3	23/4	23/4	0.0625	7/16	7/16	Chord	2/4	1	1	1/64	1/64	1	38									9		
3	3	93/16	93/16	0.0625	29/64	29/64	Chord	2/4	1	1	1/64	1/64	1	39									9		
3	3	47/8	47/8	0.0625	15/32	15/32	Chord	2/4	1	1	1/64	1/64	1	40									9		
3	3	95/16	95/16	0.0625	31/64	31/64	Chord	2/4	1	1	1/64	1/64	1	41											
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	42											
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	43											
3	3	4	4	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	44											
3	3	5	5	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	45											
3	3	4	4	0.5	0	0	Chord	2/4	4	1	1/8	1/8	1	46											
3	3	5	5	0.5	1/4	1/4	Chord	2/4	4	1	1/8	1/8	1	47											
4	4	6	6	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	48		articStaccatoAbove									
4	4	25/4	25/4	0.0625	1/16	1/16	Chord	2/4	1	1	1/64	1/64	1	49									10		
4	4	101/16	101/16	0.0625	5/64	5/64	Chord	2/4	1	1	1/64	1/64	1	50									10		
4	4	51/8	51/8	0.0625	3/32	3/32	Chord	2/4	1	1	1/64	1/64	1	51									10		
4	4	103/16	103/16	0.0625	7/64	7/64	Chord	2/4	1	1	1/64	1/64	1	52											
