mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0								Larghettoespressivo	40.0	1.0			
1	0	0	0	0.0	0	3/8	Spanner	2/4	1	1	0													0
1	0	0	0	0.375	0	3/8	Chord	2/4	1	1	3/32		1/16	3/2	0							0		0
1	0	3/8	3/8	0.125	3/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1							0		0
1	0	0	0	0.0	0	3/8	Spanner	2/4	2	1	0													1
1	0	0	0	0.5	0	3/8	Chord	2/4	2	1	1/8		1/8	1	2							1		1
1	0	0	0	0.0	0	3/8	Spanner	2/4	3	1	0													2
1	0	0	0	0.5	0	3/8	Chord	2/4	3	1	1/8		1/8	1	3							2		2
1	0	0	0	0.0	0	3/8	Spanner	2/4	4	1	0													3
1	0	0	0	0.5	0	3/8	Chord	2/4	4	1	1/8		1/8	1	4							3		3
2	1	1/2	1/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	5							0		0
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	1	1	0													
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	1	1	0												0	
2	1	1	1	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	6								0	
2	1	3/2	3/2	0.0	1/4	1/4	Spanner	2/4	1	1	0													
2	1	2	2	0.0	3/8	3/8	Spanner	2/4	1	1	0													4
2	1	2	2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	7							4		4
2	1	19/8	19/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	8							4		4
2	1	1/2	1/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	9							1		1
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	2	1	0													
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	2	1	0												1	
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	10								1	
2	1	3/2	3/2	0.0	1/4	1/4	Spanner	2/4	2	1	0													
2	1	2	2	0.0	3/8	3/8	Spanner	2/4	2	1	0													5
2	1	2	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	11							5		5
2	1	1/2	1/2	0.375	0	0	Chord	2/4	3	1	3/32		1/16	3/2	12							2		2
2	1	7/8	7/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32		1/32	1	13							2		2
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	3	1	0													
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	3	1	0												2	
2	1	1	1	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	14								2	
2	1	3/2	3/2	0.0	1/4	1/4	Spanner	2/4	3	1	0													
2	1	2	2	0.0	3/8	3/8	Spanner	2/4	3	1	0													6
2	1	2	2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	15							6		6
2	1	1/2	1/2	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	16							3		3
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	4	1	0													
2	1	1	1	0.0	1/8	1/8	Spanner	2/4	4	1	0												3	
2	1	1	1	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	17								3	
2	1	3/2	3/2	0.0	1/4	1/4	Spanner	2/4	4	1	0													
2	1	2	2	0.0	3/8	3/8	Spanner	2/4	4	1	0													7
2	1	2	2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	18							7		7
3	2	5/2	5/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	19							4		4
3	2	3	3	0.0	1/8	1/8	Spanner	2/4	1	1	0													
3	2	3	3	0.0	1/8	1/8	Spanner	2/4	1	1	0												4	
3	2	3	3	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	20								4	
3	2	7/2	7/2	0.0	1/4	1/4	Spanner	2/4	1	1	0													
3	2	4	4	0.0	3/8	3/8	StaffText	2/4	1	1	0							<i>cresc.</i>						
3	2	4	4	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	21							8		
3	2	35/8	35/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	22									
3	2	5/2	5/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	23							5		5
3	2	3	3	0.0	1/8	1/8	Spanner	2/4	2	1	0													
3	2	3	3	0.0	1/8	1/8	Spanner	2/4	2	1	0												5	
3	2	3	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	24								5	
3	2	7/2	7/2	0.0	1/4	1/4	Spanner	2/4	2	1	0													
3	2	4	4	0.0	3/8	3/8	StaffText	2/4	2	1	0							<i>cresc.</i>						
3	2	4	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	25							9		
3	2	5/2	5/2	0.375	0	0	Chord	2/4	3	1	3/32		1/16	3/2	26							6		6
3	2	23/8	23/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32		1/32	1	27							6		6
3	2	3	3	0.0	1/8	1/8	Spanner	2/4	3	1	0													
3	2	3	3	0.0	1/8	1/8	Spanner	2/4	3	1	0												6	
3	2	3	3	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	28								6	
3	2	7/2	7/2	0.0	1/4	1/4	Spanner	2/4	3	1	0													
3	2	4	4	0.0	3/8	3/8	StaffText	2/4	3	1	0							<i>cresc.</i>						
3	2	4	4	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	29									
3	2	5/2	5/2	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	30							7		7
3	2	3	3	0.0	1/8	1/8	Spanner	2/4	4	1	0													
3	2	3	3	0.0	1/8	1/8	Spanner	2/4	4	1	0												7	
3	2	3	3	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	31								7	
3	2	7/2	7/2	0.0	1/4	1/4	Spanner	2/4	4	1	0													
3	2	4	4	0.0	3/8	3/8	StaffText	2/4	4	1	0							<i>cresc.</i>						
3	2	4	4	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	32									
4	3	9/2	9/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	33							10		
4	3	19/4	19/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	34							10		
4	3	5	5	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	35									
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	36									
4	3	6	6	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	37							11		
4	3	49/8	49/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	38							11		
4	3	25/4	25/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	39							11		
4	3	51/8	51/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	40									
4	3	9/2	9/2	0.375	0	0	Chord	2/4	2	1	3/32		1/16	3/2	41							9		
4	3	39/8	39/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	42							9		
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	43									
4	3	11/2	11/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	44							12		
4	3	23/4	23/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	45							12		
4	3	6	6	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	46							12		
4	3	25/4	25/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	47									
4	3	9/2	9/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	48							13		
4	3	5	5	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	49									
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	50							14		
4	3	6	6	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	51									
4	3	9/2	9/2	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	52							15		
4	3	5	5	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	53							15		
4	3	11/2	11/2	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	54									
5	4	13/2	13/2	0.0	0	0	StaffText	2/4	1	1	0							<i>dim.</i>						
5	4	13/2	13/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	55									
5	4	7	7	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	56							16		
5	4	57/8	57/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	57							16		
5	4	29/4	29/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	58							16		
5	4	59/8	59/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	59									
5	4	15/2	15/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	60							17		
5	4	31/4	31/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	61									
5	4	13/2	13/2	0.0	0	0	StaffText	2/4	2	1	0							<i>dim.</i>						
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	62									
5	4	7	7	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	63							18		
5	4	57/8	57/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	64							18		
5	4	29/4	29/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	65							18		
5	4	59/8	59/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	66									
5	4	15/2	15/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	67							19		
5	4	31/4	31/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	68									
5	4	13/2	13/2	0.0	0	0	StaffText	2/4	3	1	0							<i>dim.</i>						
5	4	13/2	13/2	0.75	0	0	Chord	2/4	3	1	3/16		1/8	3/2	69									
5	4	29/4	29/4	0.125	3/16	3/16	Chord	2/4	3	1	1/32		1/32	1	70							20		
5	4	59/8	59/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32		1/32	1	71									
5	4	15/2	15/2	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	72							21		
5	4	31/4	31/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	73									
5	4	8	8	0.125	3/8	3/8	Chord	2/4	3	1	1/32		1/32	1	74							22		
5	4	65/8	65/8	0.125	13/32	13/32	Chord	2/4	3	1	1/32		1/32	1	75							22		
5	4	33/4	33/4	0.125	7/16	7/16	Chord	2/4	3	1	1/32		1/32	1	76							22		
5	4	67/8	67/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32		1/32	1	77									
5	4	13/2	13/2	0.0	0	0	StaffText	2/4	4	1	0							<i>dim.</i>						
5	4	13/2	13/2	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	78									
5	4	7	7	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	79									
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	80									
5	4	8	8	0.125	3/8	3/8	Chord	2/4	4	1	1/32		1/32	1	81							23		
5	4	65/8	65/8	0.125	13/32	13/32	Chord	2/4	4	1	1/32		1/32	1	82							23		
5	4	33/4	33/4	0.125	7/16	7/16	Chord	2/4	4	1	1/32		1/32	1	83							23		
5	4	67/8	67/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32		1/32	1	84									
