mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	1.0			
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							LA MALINCONIA								
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							pp 								
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							Adagio								
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					pp										
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	0											
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1		articStaccatoAbove							0		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	2		articStaccatoAbove									
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	3											
1	1	1	1	0.0	1/4	1/4	StaffText	2/4	2	1	0							sempre								
1	1	1	1	0.0	1/4	1/4	StaffText	2/4	2	1	0							sempre								
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	4		articStaccatoBelow							1		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	5		articStaccatoBelow									
1	1	0	0	0.0	0	0	Dynamic	2/4	3	1	0					pp										
1	1	0	0	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	6											
1	1	1	1	0.0	1/4	1/4	StaffText	2/4	3	1	0							sempre								
1	1	1	1	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	7		articStaccatoBelow							2		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	8		articStaccatoBelow									
2	2	2	2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	9											
