mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	0	StaffText	2/2	1	1	0							"<font size=""9.6""/><b>No 7.  Allegro</b>"			
1	0	0	0	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	0		articStaccatoBelow				
1	0	0	0	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	1		articStaccatoBelow				
1	0	1	1	0.0	1/4	1/4	Dynamic	2/2	2	1	0					ff					
1	0	0	0	0.0	0	0	Dynamic	2/2	3	1	0					ff					
1	0	0	0	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	2		articStaccatoBelow				
1	0	0	0	0.0	0	0	Dynamic	2/2	4	1	0					ff					
1	0	0	0	0.0	0	0	Dynamic	2/2	4	1	0					ff					
1	0	0	0	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	3		articStaccatoBelow				
2	1	5	5	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	4				0		
2	1	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	5				0		
2	1	6	6	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	6		articStaccatoBelow				
2	1	7	7	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	7				1		
2	1	15/2	15/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	8				1		
2	1	5	5	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	9				2		
2	1	11/2	11/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	10				2		
2	1	6	6	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	11		articStaccatoBelow				
2	1	7	7	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	12				3		
2	1	15/2	15/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	13				3		
2	1	5	5	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	14				4		
2	1	11/2	11/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	15				4		
2	1	6	6	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	16		articStaccatoBelow				
2	1	7	7	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	17				5		
2	1	15/2	15/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	18				5		
2	1	5	5	0.5	1/4	1/4	Chord	2/2	4	1	1/8		1/8	1	19				6		
2	1	11/2	11/2	0.5	3/8	3/8	Chord	2/2	4	1	1/8		1/8	1	20				6		
2	1	6	6	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	21		articStaccatoBelow				
2	1	7	7	0.5	3/4	3/4	Chord	2/2	4	1	1/8		1/8	1	22				7		
2	1	15/2	15/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	23				7		
3	2	8	8	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	24						
3	2	8	8	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	25						
3	2	8	8	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	26						
3	2	8	8	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	27						
4	3	13	13	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	28				8		
4	3	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	29				8		
4	3	14	14	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	30		articStaccatoBelow				
4	3	15	15	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	31				9		
4	3	31/2	31/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	32				9		
4	3	13	13	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	33				10		
4	3	27/2	27/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	34				10		
4	3	14	14	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	35		articStaccatoBelow				
4	3	15	15	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	36				11		
4	3	31/2	31/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	37				11		
4	3	13	13	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	38				12		
4	3	27/2	27/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	39				12		
4	3	14	14	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	40		articStaccatoBelow				
4	3	15	15	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	41				13		
4	3	31/2	31/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	42				13		
