mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	0	Tempo	2/4	1	1	0										Adagiomoltoemesto	60.0	1.0			
1	0	1	1	0.0	1/4	1/4	Dynamic	2/4	2	1	0						p									
1	0	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	0										
1	0	2	2	0.0	1/2	1/2	StaffText	2/4	3	1	0								<i>sotto voce.</i>							
2	1	2	2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	1								0		
2	1	5/2	5/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	2								0		
2	1	23/8	23/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	3								0		
2	1	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	4								0		
2	1	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	5										
2	1	2	2	0.0	0	0	Dynamic	2/4	2	1	0						p									
2	1	2	2	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	6										
2	1	4	4	0.0	1/2	1/2	StaffText	2/4	2	1	0								<i>sotto voce.</i>							
2	1	2	2	0.0	0	0	Dynamic	2/4	3	1	0						p									
2	1	2	2	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	7								1		
2	1	3	3	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	8								1		
2	1	3	3	0.0	1/4	1/4	StaffText	2/4	4	1	0								<i>sotto voce.</i>							
2	1	3	3	0.0	1/4	1/4	Dynamic	2/4	4	1	0						p									
2	1	3	3	1.0	1/4	1/4	Chord	2/4	4	1	1/4			1/4	1	9										
2	1	4	4	0.0	1/2	1/2	StaffText	2/4	4	1	0								<i>sotto voce.</i>							
3	2	4	4	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	10								2		
3	2	9/2	9/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	11								2		
3	2	39/8	39/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	12								2		
3	2	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	13								2		
3	2	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	14										
3	2	4	4	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	15										
3	2	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	16										
3	2	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	17										
3	2	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	18										
3	2	4	4	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	19								1		
3	2	9/2	9/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	20								1		
3	2	5	5	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	21								1		
3	2	11/2	11/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	22										
3	2	4	4	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	23										
3	2	9/2	9/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	24										
3	2	5	5	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	25										
3	2	11/2	11/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	26										
4	3	6	6	0.875	0	0	Chord	2/4	1	1	7/32			1/8	7/4	27								3		
4	3	55/8	55/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	28								3		
4	3	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	29								3		
4	3	15/2	15/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	30								3		
4	3	31/4	31/4	0.0	7/16	7/16	Chord	2/4	1	1	0	grace16after		1/16	1	31										
4	3	31/4	31/4	0.0	7/16	7/16	Chord	2/4	1	1	0	grace16after		1/16	1	32										
4	3	31/4	31/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	33		ornamentTrill								
4	3	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	34								4		
4	3	7	7	0.75	1/4	1/4	Chord	2/4	2	1	3/16			1/8	3/2	35								4		
4	3	31/4	31/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	36										
4	3	6	6	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	37								5		
4	3	13/2	13/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	38								5		
4	3	7	7	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	39								5		
4	3	15/2	15/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	40										
4	3	31/4	31/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	41										
4	3	6	6	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	42								6		
4	3	13/2	13/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	43								6		
4	3	7	7	0.75	1/4	1/4	Chord	2/4	4	1	3/16			1/8	3/2	44								6		
4	3	31/4	31/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	45										
5	4	8	8	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	46								7		
5	4	33/4	33/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	47										
5	4	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	48		articStaccatoAbove						8		
5	4	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	49		articStaccatoAbove								
5	4	9	9	0.0	1/4	1/4	StaffText	2/4	1	1	0								<i>cresc.</i>							
5	4	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	50								9		
5	4	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	51										
5	4	8	8	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	52								10		
5	4	33/4	33/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	53										
5	4	17/2	17/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	54		articStaccatoBelow						11		
