mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0		0	0	StaffText	3/4	1	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/>pizz."								
1	1	0	0	0.0		0	0	StaffText	3/4	1	1	0							"<font size=""10.9754""/><font face=""Times New Roman""/><b>Scherzando vivace</b>"								
1	1	0	0	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	0											
1	1	1	1	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1											
1	1	2	2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2											
1	1	0	0	0.0		0	0	StaffText	3/4	2	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/>pizz."								
1	1	0	0	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	3											
1	1	1	1	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	4											
1	1	2	2	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	5											
1	1	0	0	0.0		0	0	StaffText	3/4	3	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/>pizz."								
1	1	0	0	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	6											
1	1	1	1	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	7											
1	1	2	2	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	8											
1	1	0	0	0.0		0	0	StaffText	3/4	4	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/>pizz."								
1	1	0	0	0.5		0	0	Chord	3/4	4	1	1/8		1/8	1	9											
1	1	1	1	0.5		1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	10											
1	1	2	2	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	11											
2	2	3	3	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	12											
2	2	3	3	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	13											
2	2	3	3	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	14											
2	2	3	3	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	15											
2	2	4	4	0.0		1/4	1/4	StaffText	3/4	4	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/>arco"								
2	2	19/4	19/4	0.0		7/16	7/16	Dynamic	3/4	4	1	0					pp										
2	2	19/4	19/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16		1/16	1	16		articStaccatoBelow									
2	2	5	5	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	17		articStaccatoBelow									
2	2	23/4	23/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16		1/16	1	18		articStaccatoBelow									
3	3	6	6	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	19											
3	3	31/4	31/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16		1/16	1	20		articStaccatoAbove									
3	3	8	8	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	21		articStaccatoAbove									
3	3	35/4	35/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16		1/16	1	22		articStaccatoAbove									
4	4	9	9	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	23											
4	4	43/4	43/4	0.25		7/16	7/16	Chord	3/4	4	1	1/16		1/16	1	24		articStaccatoAbove									
4	4	11	11	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	25		articStaccatoAbove									
4	4	47/4	47/4	0.25		11/16	11/16	Chord	3/4	4	1	1/16		1/16	1	26		articStaccatoAbove									
5	5	12	12	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	27									0		
5	5	14	14	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	28		ornamentTrill									
6	6	67/4	67/4	0.0		7/16	7/16	Dynamic	3/4	3	1	0					pp										
6	6	67/4	67/4	0.0		7/16	7/16	StaffText	3/4	3	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/>arco"								
6	6	67/4	67/4	0.25		7/16	7/16	Chord	3/4	3	1	1/16		1/16	1	29		articStaccatoAbove									
6	6	17	17	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	30		articStaccatoAbove									
6	6	71/4	71/4	0.25		11/16	11/16	Chord	3/4	3	1	1/16		1/16	1	31		articStaccatoAbove									
6	6	15	15	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	32									1		
6	6	16	16	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	33									1		
6	6	17	17	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	34		ornamentTrill									
7	7	18	18	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	35											
7	7	79/4	79/4	0.25		7/16	7/16	Chord	3/4	3	1	1/16		1/16	1	36		articStaccatoAbove									
7	7	20	20	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	37											
7	7	83/4	83/4	0.25		11/16	11/16	Chord	3/4	3	1	1/16		1/16	1	38		articStaccatoAbove									
7	7	18	18	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	39									2		
7	7	20	20	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	40		ornamentTrill									
8	8	21	21	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	41											
8	8	91/4	91/4	0.25		7/16	7/16	Chord	3/4	3	1	1/16		1/16	1	42		articStaccatoAbove									
8	8	23	23	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	43											
8	8	95/4	95/4	0.25		11/16	11/16	Chord	3/4	3	1	1/16		1/16	1	44		articStaccatoAbove									
8	8	21	21	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	45									3		
8	8	23	23	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	46		ornamentTrill									
9	9	24	24	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	47									4		
9	9	26	26	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	48		ornamentTrill									
9	9	24	24	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	49									5		
9	9	26	26	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	50											
10	10	27	27	0.0		0	0	StaffText	3/4	2	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/>arco"								
10	10	27	27	0.0		0	0	Dynamic	3/4	2	1	0					pp										
10	10	27	27	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	51									6		
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52		ornamentTrill									
10	10	27	27	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	53											
10	10	27	27	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	54											
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	55											
11	11	30	30	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	56									7		
11	11	32	32	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	57		ornamentTrill									
11	11	30	30	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	58									8		
11	11	32	32	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	59		ornamentTrill									
12	12	33	33	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	60									9		
12	12	35	35	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	61		ornamentTrill									
12	12	33	33	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	62											
12	12	33	33	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	63											
13	13	36	36	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	64											
13	13	36	36	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	65									10		
13	13	38	38	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	66		ornamentTrill									
13	13	36	36	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	67									11		
13	13	38	38	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	68		ornamentTrill									
14	14	39	39	0.0		0	0	StaffText	3/4	1	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/>arco"								
14	14	39	39	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	69									12		
14	14	41	41	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	70		ornamentTrill									
14	14	39	39	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	71									13		
14	14	41	41	0.0		1/2	1/2	Chord	3/4	2	1	0	grace32after	1/32	1	72											
14	14	41	41	0.0		1/2	1/2	Chord	3/4	2	1	0	grace32after	1/32	1	73											
14	14	41	41	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74		ornamentTrill									
14	14	39	39	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	75											
14	14	39	39	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	76											
15	15	42	42	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	77											
15	15	42	42	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	78									14		
15	15	44	44	0.0		1/2	1/2	Chord	3/4	2	1	0	grace32after	1/32	1	79											
15	15	44	44	0.0		1/2	1/2	Chord	3/4	2	1	0	grace32after	1/32	1	80											
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81		ornamentTrill									
15	15	42	42	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	82									15		
15	15	44	44	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	83		ornamentTrill									
15	15	42	42	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	84									16		
15	15	44	44	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	85		ornamentTrill									
16	16	45	45	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	86											
16	16	46	46	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	87											
16	16	47	47	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	88		ornamentTrill									
16	16	45	45	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	89									17		
16	16	46	46	0.0		1/4	1/4	StaffText	3/4	2	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/><i>cresc.</i>"								
16	16	46	46	0.75		1/4	1/4	Chord	3/4	2	1	3/16		1/8	3/2	90											
16	16	187/4	187/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	91		articStaccatoBelow									
16	16	47	47	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	92		articStaccatoBelow									
16	16	191/4	191/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	93		articStaccatoBelow									
16	16	45	45	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	94											
16	16	46	46	0.0		1/4	1/4	StaffText	3/4	3	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/><i>cresc.</i>"								
16	16	46	46	1.5		1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	95											
16	16	95/2	95/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	96											
16	16	45	45	0.5		0	0	Chord	3/4	4	1	1/8		1/8	1	97											
16	16	183/4	183/4	0.0		3/16	3/16	StaffText	3/4	4	1	0							"<font size=""10.0608""/><font face=""Times New Roman""/><i>cresc.</i>"								
16	16	183/4	183/4	0.25		3/16	3/16	Chord	3/4	4	1	1/16		1/16	1	98											
16	16	46	46	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	99											
16	16	47	47	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	100											
17	17	48	48	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	101											
17	17	48	48	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	102											
