mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0		0	0	StaffText	6/8	1	1	0							<b>Allegro</b>			
1	1	0	0	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	0						
1	1	3/2	3/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					sfp					
1	1	3/2	3/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	1						
1	1	3/2	3/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	2						
1	1	3/2	3/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	3						
1	1	3/2	3/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	4		articStaccatoAbove				
1	1	2	2	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	5		articStaccatoAbove				
1	1	5/2	5/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	6		articStaccatoAbove				
1	1	0	0	0.0		0	0	Dynamic	6/8	2	1	0					f					
1	1	3/2	3/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					sf					
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	7						
1	1	3/2	3/2	0.0		3/8	3/8	Dynamic	6/8	3	1	0					sf					
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	8						
1	1	0	0	0.0		0	0	Dynamic	6/8	4	1	0					f					
1	1	0	0	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	9		articStaccatoBelow				
1	1	1/2	1/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	10		articStaccatoBelow				
1	1	1	1	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	11		articStaccatoBelow				
1	1	3/2	3/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					sf					
1	1	3/2	3/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	12						
2	2	9/2	9/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					sfp					
2	2	9/2	9/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	13						
2	2	9/2	9/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	14						
2	2	9/2	9/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	15						
2	2	9/2	9/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	16		articStaccatoAbove				
2	2	5	5	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	17		articStaccatoAbove				
2	2	11/2	11/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	18		articStaccatoAbove				
2	2	9/2	9/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					sf					
2	2	9/2	9/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	19						
2	2	9/2	9/2	0.0		3/8	3/8	Dynamic	6/8	3	1	0					sf					
2	2	9/2	9/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	20						
2	2	3	3	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	21		articStaccatoBelow				
2	2	7/2	7/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	22		articStaccatoBelow				
2	2	4	4	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	23		articStaccatoBelow				
2	2	9/2	9/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					sf					
2	2	9/2	9/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	24						
3	3	15/2	15/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					sfp					
3	3	15/2	15/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	25						
3	3	15/2	15/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	26						
3	3	15/2	15/2	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	27						
3	3	15/2	15/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	28		articStaccatoAbove				
3	3	8	8	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	29		articStaccatoAbove				
3	3	17/2	17/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	30		articStaccatoAbove				
3	3	15/2	15/2	0.0		3/8	3/8	Dynamic	6/8	2	1	0					sf					
3	3	15/2	15/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	31						
3	3	15/2	15/2	0.0		3/8	3/8	Dynamic	6/8	3	1	0					sf					
3	3	15/2	15/2	1.0		3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	32						
3	3	6	6	0.5		0	0	Chord	6/8	4	1	1/8		1/8	1	33		articStaccatoBelow				
3	3	13/2	13/2	0.5		1/8	1/8	Chord	6/8	4	1	1/8		1/8	1	34		articStaccatoBelow				
3	3	7	7	0.5		1/4	1/4	Chord	6/8	4	1	1/8		1/8	1	35		articStaccatoBelow				
3	3	15/2	15/2	0.0		3/8	3/8	Dynamic	6/8	4	1	0					sf					
3	3	15/2	15/2	1.0		3/8	3/8	Chord	6/8	4	1	1/4		1/4	1	36						
4	4	9	9	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	37		articStaccatoAbove				
4	4	19/2	19/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	38		articStaccatoAbove				
4	4	10	10	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	39		articStaccatoAbove				
4	4	21/2	21/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	40		articStaccatoAbove				
4	4	11	11	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	41		articStaccatoAbove				
4	4	23/2	23/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	42		articStaccatoAbove				
5	5	12	12	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	43				0		
5	5	27/2	27/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	44						
5	5	29/2	29/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	45						
5	5	12	12	0.0		0	0	Dynamic	6/8	2	1	0					p					
