mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0			
1	1	0	0	0.0	0	0	StaffText	3/8	1	1	0							"<font size=""10.0453""/><font face=""Times New Roman""/><b>Adagio ma non troppo</b>"								
1	1	1/2	1/2	0.0	1/8	1/8	StaffText	3/8	2	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>mezza voce</i>"								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	0		articStaccatoBelow							0		
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	1		articStaccatoBelow									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	2		articStaccatoBelow							1		
1	1	1	1	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	3		articStaccatoBelow									
1	1	1/2	1/2	0.0	1/8	1/8	StaffText	3/8	4	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>mezza voce</i>"								
1	1	1/2	1/2	0.0	1/8	1/8	StaffText	3/8	4	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>mezza voce</i>"								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	4		articStaccatoBelow							2		
1	1	1	1	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	5		articStaccatoBelow									
2	2	3/2	3/2	0.0	0	0	StaffText	3/8	1	1	0							"<font size=""9.2082""/><font face=""Times New Roman""/><i>cantabile</i>"								
2	2	3/2	3/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	6									3		
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	7									3		
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	8											
2	2	3/2	3/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	9									4		
2	2	2	2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	10											
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	11											
2	2	3/2	3/2	0.75	0	0	Chord	3/8	3	1	3/16		1/8	3/2	12									5		
2	2	9/4	9/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	13									5		
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	14									5		
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	15											
2	2	3/2	3/2	1.5	0	0	Chord	3/8	4	1	3/8		1/4	3/2	16											
3	3	3	3	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	17									6		
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	18									6		
3	3	4	4	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	19									6		
3	3	3	3	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	20									7		
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	21									7		
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	22											
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	23									8		
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	24									8		
3	3	4	4	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	25											
3	3	3	3	1.5	0	0	Chord	3/8	4	1	3/8		1/4	3/2	26											
4	4	9/2	9/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	27									6		
4	4	5	5	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	28									6		
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	29											
4	4	9/2	9/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	30									9		
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	31									9		
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	32									9		
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	33											
4	4	9/2	9/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	34									10		
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	35									10		
4	4	5	5	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	36									10		
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	37											
4	4	9/2	9/2	0.25	0	0	Chord	3/8	4	1	1/16		1/16	1	38									11		
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	4	1	1/16		1/16	1	39									11		
4	4	5	5	0.5	1/8	1/8	Chord	3/8	4	1	1/8		1/8	1	40									11		
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	41											
5	5	6	6	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	42											
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	43									12		
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	44											
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	45											
5	5	6	6	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	46									13		
5	5	13/2	13/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	47											
5	5	6	6	0.5	0	0	Chord	3/8	4	1	1/8		1/8	1	48											
5	5	7	7	0.5	1/4	1/4	Chord	3/8	4	1	1/8		1/8	1	49											
6	6	15/2	15/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	50									12		
6	6	8	8	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	51									12		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	52									12		
