mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	1	4	4	2.0		1	1	Chord	3/2	1	1	1/2			1/2	1	0						
1	1	0	0	0.0		0	0	StaffText	3/2	3	1	0								"<font size=""12""/><b><i>p</i></b>"			
1	1	0	0	1.5		0	0	Chord	3/2	3	1	3/8			1/4	3/2	1						
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/2	3	1	1/8			1/8	1	2						
1	1	2	2	0.0		1/2	1/2	Spanner	3/2	3	1	0										0	
1	1	2	2	2.0		1/2	1/2	Chord	3/2	3	1	1/2			1/2	1	3					0	
1	1	4	4	0.0		1	1	Spanner	3/2	3	1	0											
1	1	0	0	0.0		0	0	StaffText	3/2	4	1	0								"<font size=""12""/><b><i>p</i></b>"			
1	1	0	0	1.5		0	0	Chord	3/2	4	1	3/8			1/4	3/2	4						
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/2	4	1	1/8			1/8	1	5						
1	1	2	2	0.0		1/2	1/2	Spanner	3/2	4	1	0										1	
1	1	2	2	2.0		1/2	1/2	Chord	3/2	4	1	1/2			1/2	1	6					1	
1	1	4	4	0.0		1	1	Spanner	3/2	4	1	0											
2	2	6	6	0.0		0	0	StaffText	3/2	1	1	0								"<font size=""12""/><b><i>p</i></b>"			
2	2	6	6	0.5		0	0	Chord	3/2	1	1	1/8			1/8	1	7				0		
2	2	13/2	13/2	0.5		1/8	1/8	Chord	3/2	1	1	1/8			1/8	1	8				0		
2	2	7	7	0.5		1/4	1/4	Chord	3/2	1	1	1/8			1/8	1	9				0		
2	2	15/2	15/2	0.5		3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	10				0		
2	2	8	8	0.5		1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	11				0		
2	2	17/2	17/2	0.5		5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	12				0		
2	2	9	9	0.5		3/4	3/4	Chord	3/2	1	1	1/8			1/8	1	13				0		
2	2	19/2	19/2	0.5		7/8	7/8	Chord	3/2	1	1	1/8			1/8	1	14				0		
