mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Trill:trill
1	1	0	0	0.0	0	0	StaffText	3/8	1	1	0							<b>Andante scherzoso quasi Allegretto</b>		
1	1	0	0	0.0	0	0	Dynamic	3/8	2	1	0					pp				
1	1	0	0	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	0		articStaccatoBelow			
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	1		articStaccatoBelow			
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	2		articStaccatoBelow			
2	2	3/2	3/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	3		articStaccatoAbove			
2	2	2	2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	4		articStaccatoAbove			
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	5		articStaccatoAbove			
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	6		articStaccatoAbove			
3	3	3	3	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	7		articStaccatoBelow			
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	8		articStaccatoBelow			
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	9		articStaccatoBelow			
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	10		articStaccatoBelow			
3	3	4	4	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	11		articStaccatoBelow			
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	12		articStaccatoBelow			
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	13		articStaccatoBelow			
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	14		articStaccatoBelow			
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	15		articStaccatoBelow			
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	16		articStaccatoBelow			
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	17		articStaccatoBelow			
5	5	7	7	0.0	1/4	1/4	Dynamic	3/8	2	1	0					sf				
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	18					
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	19					
6	6	8	8	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	20		articStaccatoBelow			
6	6	17/2	17/2	0.0	1/4	1/4	Dynamic	3/8	2	1	0					sf				
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	21					
6	6	15/2	15/2	0.0	0	0	Dynamic	3/8	3	1	0					pp				
6	6	15/2	15/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	22		articStaccatoAbove			
6	6	8	8	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	23		articStaccatoAbove			
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	24		articStaccatoAbove			
7	7	9	9	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	25					
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	26		articStaccatoBelow			
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	27		articStaccatoBelow			
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	28		articStaccatoBelow			
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	29		articStaccatoBelow			
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	30		articStaccatoBelow			
7	7	9	9	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	31		articStaccatoAbove			
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	32		articStaccatoAbove			
7	7	10	10	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	33		articStaccatoAbove			
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	34		articStaccatoAbove			
8	8	21/2	21/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	35		articStaccatoAbove			
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	36		articStaccatoAbove			
8	8	11	11	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	37		articStaccatoAbove			
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	38		articStaccatoAbove			
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	39		articStaccatoAbove			
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	40		articStaccatoAbove			
8	8	21/2	21/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	41		articStaccatoBelow			
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	42		articStaccatoBelow			
8	8	11	11	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	43		articStaccatoBelow			
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	44		articStaccatoBelow			
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	45		articStaccatoBelow			
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	46		articStaccatoBelow			
9	9	12	12	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	47		articStaccatoAbove			
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	48		articStaccatoAbove			
