mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	3/8	Tempo	6/8	1	1	0							No2.Allegromoltovivace	132.0	1.0			
1	0	0	0	1.5	0	3/8	Chord	6/8	1	1	3/8	1/4	3/2	0							0		
1	0	0	0	0.0	0	3/8	Dynamic	6/8	2	1	0				pp								
1	0	0	0	1.5	0	3/8	Chord	6/8	2	1	3/8	1/4	3/2	1							1		
1	0	0	0	0.0	0	3/8	Dynamic	6/8	3	1	0				pp								
1	0	0	0	1.5	0	3/8	Chord	6/8	3	1	3/8	1/4	3/2	2							2		
1	0	0	0	0.0	0	3/8	Dynamic	6/8	4	1	0				pp								
1	0	0	0	0.0	0	3/8	Dynamic	6/8	4	1	0				pp								
1	0	0	0	1.5	0	3/8	Chord	6/8	4	1	3/8	1/4	3/2	3							3		
2	0	3/2	3/2	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	4							4		
2	0	3	3	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	5							5		
2	0	4	4	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	6									
2	0	3/2	3/2	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	7									
2	0	3	3	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	8							6		
2	0	3/2	3/2	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	9							2		
2	0	3	3	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	10							2		
2	0	3/2	3/2	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	11									
2	0	3	3	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	12							7		
3	1	9/2	9/2	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	13							8		
3	1	11/2	11/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	14							8		
3	1	6	6	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	15							8		
3	1	7	7	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	16							8		
3	1	9/2	9/2	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	17									
3	1	6	6	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	18							9		
3	1	9/2	9/2	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	19									
3	1	6	6	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	20							10		
3	1	9/2	9/2	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	21									
3	1	6	6	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	22							11		
4	2	15/2	15/2	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	23							8		
4	2	17/2	17/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	24							8		
4	2	9	9	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	25							8		
4	2	19/2	19/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	26							8		
4	2	10	10	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	27									
4	2	15/2	15/2	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	28									
4	2	9	9	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	29							12		
4	2	15/2	15/2	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	30									
4	2	9	9	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	31							13		
4	2	15/2	15/2	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	32									
4	2	9	9	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	33							14		
5	3	21/2	21/2	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	34							15		
5	3	23/2	23/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	35							15		
5	3	12	12	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	36							15		
