mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0							Allegroassai	120.0	1.0			
1	1	0	0	0.0	0	0	StaffText	3/8	1	1	0						"<font size=""10.7""/><b>Alla danza tedesca</b>"						
1	1	0	0	0.0	0	0	Spanner	3/8	1	1	0												0
1	1	0	0	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	0							0		0
1	1	1/2	1/2	0.0	1/8	1/8	Spanner	3/8	1	1	0										0	0	0
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	1							0	0	0
1	1	1	1	0.0	1/4	1/4	Spanner	3/8	1	1	0											0	
1	1	1	1	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	2								0	
1	1	0	0	0.0	0	0	Dynamic	3/8	2	1	0				p								
1	1	0	0	0.0	0	0	Spanner	3/8	2	1	0												1
1	1	0	0	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	3							1		1
1	1	1/2	1/2	0.0	1/8	1/8	Spanner	3/8	2	1	0										1	1	1
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	4							1	1	1
1	1	1	1	0.0	1/4	1/4	Spanner	3/8	2	1	0											1	
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	5								1	
1	1	0	0	0.0	0	0	Dynamic	3/8	3	1	0				p								
1	1	0	0	0.0	0	0	Dynamic	3/8	3	1	0				p								
1	1	0	0	0.0	0	0	Spanner	3/8	3	1	0												2
1	1	0	0	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	6							2		2
1	1	1/2	1/2	0.0	1/8	1/8	Spanner	3/8	3	1	0										2	2	2
