mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0		0	0	Tempo	2/2	1	1	0								𝅘𝅥=190	190.0	𝅘𝅥	190.0	1.0			
1	1	0	0	0.0		0	0	StaffText	2/2	1	1	0							Allegro con brio								
1	1	0	0	0.0		0	0	Dynamic	2/2	1	1	0					fp										
1	1	0	0	3.0		0	0	Chord	2/2	1	1	3/4		1/2	3/2	0											
1	1	3	3	0.0		3/4	3/4	Chord	2/2	1	1	0	grace16	1/16	1	1											
1	1	3	3	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	2									0		
1	1	7/2	7/2	0.25		7/8	7/8	Chord	2/2	1	1	1/16		1/16	1	3									0		
1	1	15/4	15/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	4											
1	1	0	0	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	5		articStaccatoBelow									
1	1	1/2	1/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	6		articStaccatoBelow									
1	1	1	1	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	7		articStaccatoBelow									
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	8		articStaccatoBelow									
1	1	2	2	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	9		articStaccatoBelow									
1	1	5/2	5/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	10		articStaccatoBelow									
1	1	3	3	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	11		articStaccatoBelow									
1	1	7/2	7/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	12		articStaccatoBelow									
1	1	0	0	0.0		0	0	Dynamic	2/2	3	1	0					fp										
1	1	0	0	0.0		0	0	Dynamic	2/2	3	1	0					fp										
1	1	0	0	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	13		articStaccatoBelow									
1	1	1	1	1.0		1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	14		articStaccatoBelow									
1	1	2	2	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	15		articStaccatoBelow									
1	1	3	3	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	16		articStaccatoBelow									
1	1	0	0	0.0		0	0	Dynamic	2/2	4	1	0					fp										
1	1	0	0	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	17											
2	2	4	4	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	18		articStaccatoBelow									
2	2	5	5	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	19		articStaccatoAbove									
2	2	6	6	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	20		articStaccatoBelow									
2	2	7	7	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	21		articStaccatoAbove									
2	2	4	4	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	22											
2	2	9/2	9/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	23											
2	2	5	5	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	24											
2	2	11/2	11/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	25											
2	2	6	6	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	26											
2	2	13/2	13/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	27											
2	2	7	7	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	28											
2	2	15/2	15/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	29											
2	2	4	4	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	30											
2	2	5	5	1.0		1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	31											
2	2	6	6	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	32											
2	2	7	7	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	33											
3	3	8	8	0.0		0	0	Dynamic	2/2	1	1	0					fp										
3	3	8	8	3.0		0	0	Chord	2/2	1	1	3/4		1/2	3/2	34											
3	3	11	11	0.0		3/4	3/4	Chord	2/2	1	1	0	grace16	1/16	1	35											
3	3	11	11	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	36									1		
3	3	23/2	23/2	0.25		7/8	7/8	Chord	2/2	1	1	1/16		1/16	1	37									1		
3	3	47/4	47/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	38											
3	3	8	8	0.0		0	0	Dynamic	2/2	2	1	0					fp										
3	3	8	8	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	39											
3	3	17/2	17/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	40											
3	3	9	9	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	41											
3	3	19/2	19/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	42											
3	3	10	10	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	43											
3	3	21/2	21/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	44											
3	3	11	11	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	45											
3	3	23/2	23/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	46											
3	3	8	8	0.0		0	0	Dynamic	2/2	3	1	0					fp										
3	3	8	8	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	47											
3	3	9	9	1.0		1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	48											
3	3	10	10	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	49											
3	3	11	11	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	50											
4	4	12	12	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	51		articStaccatoAbove									
4	4	13	13	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	52		articStaccatoAbove									
4	4	14	14	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	53		articStaccatoAbove									
4	4	15	15	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	54		articStaccatoAbove									
4	4	12	12	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	55											
4	4	25/2	25/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	56											
4	4	13	13	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	57											
4	4	27/2	27/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	58											
4	4	14	14	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	59											
4	4	29/2	29/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	60											
4	4	15	15	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	61											
4	4	31/2	31/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	62											
4	4	12	12	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	63											
4	4	13	13	1.0		1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	64											
4	4	14	14	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	65											
4	4	15	15	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	66											
5	5	16	16	3.0		0	0	Chord	2/2	1	1	3/4		1/2	3/2	67											
5	5	16	16	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	68											
5	5	33/2	33/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	69											
5	5	17	17	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	70											
