mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							<b>Molto Adagio. Si tratta questo pezzo con molto di sentimento</b>				
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0					p						
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0				0			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1				0			
1	1	2	2	0.0	1/2	1/2	Dynamic	4/4	2	1	0					p						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	2				1			
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	3				0			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	4							
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	5				1			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	6							
2	2	4	4	0.0	0	0	Dynamic	4/4	3	1	0					p						
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	7				2			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	8							
2	2	6	6	0.0	1/2	1/2	Dynamic	4/4	4	1	0					p						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	9				3			
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	10				4			
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	11				4			
3	3	11	11	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	12				4			
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	13							
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	14				5			
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	15				5			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	16							
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	17				6			
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	18				6			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	19							
3	3	8	8	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	20				3			
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	21				3			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	22				3			
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	23				7			
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	24							
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	25				8			
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	26							
