mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Allegrettomanontroppo.	60.0	1.0				
1	1	0	0	0.0	0	0	StaffText	2/4	4	1	0							<i>mezza voce</i>							
1	1	0	0	0.75	0	0	Chord	2/4	4	1	3/16		1/8	3/2	0										
1	1	1	1	0.75	1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	1										
2	2	2	2	0.75	0	0	Chord	2/4	4	1	3/16		1/8	3/2	2										
2	2	3	3	0.75	1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	3										
3	3	4	4	0.75	0	0	Chord	2/4	4	1	3/16		1/8	3/2	4										
3	3	5	5	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	5		articStaccatoBelow								
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	6		articStaccatoBelow								
4	4	6	6	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	7										
5	5	8	8	0.0	0	0	StaffText	2/4	1	1	0							<i>mezza voce</i>							
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	8							0			
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	9										
5	5	8	8	0.0	0	0	Dynamic	2/4	2	1	0					p									
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	10							1			
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	11							1			
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	12							1			
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	13							1			
5	5	8	8	0.0	0	0	Dynamic	2/4	3	1	0					p									
5	5	8	8	0.0	0	0	Dynamic	2/4	3	1	0					p									
5	5	9	9	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	14							2			
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	15							2			
5	5	8	8	0.0	0	0	Dynamic	2/4	4	1	0					p									
5	5	9	9	1.0	1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	16										
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	17										
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	18		articStaccatoBelow					3			
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	19		articStaccatoBelow								
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	20							1			
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	21							1			
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	22							1			
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	23										
6	6	10	10	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	24							2			
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	25							2			
6	6	11	11	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	26							2			
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	27										
6	6	10	10	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	28										
7	7	12	12	0.0	0	0	Spanner	2/4	1	1	0												0		
7	7	12	12	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	29							4	0		
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	30							4	0		
7	7	12	12	0.0	0	0	Spanner	2/4	2	1	0												1		
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	31							5	1		
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	32							5	1		
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	33							5	1		
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	34							5	1		
7	7	12	12	0.0	0	0	Spanner	2/4	3	1	0												2		
7	7	12	12	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	35							6	2		
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	36							6	2		
7	7	13	13	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	37							6	2		
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	38							6	2		
7	7	12	12	0.0	0	0	Spanner	2/4	4	1	0												3		
7	7	12	12	2.0	0	0	Chord	2/4	4	1	1/2		1/2	1	39								3		
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	40							4	0		
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	1	1	0											4			
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	1	1	0											4		0	
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	41							4		0	
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	42									0	
