mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p				
1	1	0	0	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	0					
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p				
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1					
1	1	0	0	0.0	0	0	Dynamic	3/4	3	1	0					p				
1	1	0	0	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	2					
1	1	0	0	0.0	0	0	Dynamic	3/4	4	1	0					p				
1	1	0	0	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	3		articStaccatoBelow			
1	1	1	1	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	4		articStaccatoBelow			
1	1	2	2	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	5		articStaccatoBelow			
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	6					
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	7		articStaccatoBelow			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	8		articStaccatoBelow			
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	9					
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	10		articStaccatoBelow			
2	2	3	3	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	11					
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	12		articStaccatoAbove			
2	2	3	3	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	13					0
2	2	5	5	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	14					0
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	15					
3	3	6	6	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	16					
3	3	6	6	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	17					
3	3	6	6	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	18					
3	3	6	6	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	19		articStaccatoBelow			
3	3	7	7	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	20		articStaccatoBelow			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	21		articStaccatoBelow			
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	22					
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	23		articStaccatoBelow			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	24		articStaccatoBelow			
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	25					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	26		articStaccatoBelow			
4	4	9	9	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	27					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	28		articStaccatoAbove			
4	4	9	9	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	29					1
4	4	11	11	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	30					1
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	31					
5	5	12	12	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	32					2
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	33					2
5	5	12	12	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	34					3
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	35					3
5	5	12	12	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	36					4
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	37					4
5	5	12	12	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	38					5
5	5	13	13	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	39					5
5	5	14	14	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	40					5
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	41					
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	42					
6	6	15	15	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	43					
6	6	15	15	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	44					
7	7	18	18	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	45					
7	7	18	18	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	46					
7	7	18	18	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	47		ornamentTrill			
7	7	18	18	0.0	0	0	Chord	3/4	2	1	0	grace16after	1/16	1	48					
7	7	18	18	0.0	0	0	Chord	3/4	2	1	0	grace16after	1/16	1	49					
7	7	18	18	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	50		ornamentTrill			
7	7	18	18	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	51					6
7	7	18	18	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	52					7
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	53					
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	54					
8	8	21	21	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	55		articStaccatoAbove			
8	8	21	21	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	56		articStaccatoAbove			
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					f				
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	57					
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	58					
9	9	24	24	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	59		ornamentTrill			
9	9	24	24	0.0	0	0	Chord	3/4	2	1	0	grace16after	1/16	1	60					
