mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible
1	0	0	0	0.0	0	0	Tempo	2/2	1	1	0								Allegromolto.	120.0	1.0
1	0	0	0	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	0						
1	0	2	2	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	1						
1	0	5/2	5/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	2						
1	0	3	3	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	3						
1	0	7/2	7/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	4						
1	0	0	0	0.0	0	0	Dynamic	2/2	4	1	0					p					
2	1	4	4	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	5						
2	1	9/2	9/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	6						
2	1	5	5	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	7						
2	1	13/2	13/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	8						
2	1	7	7	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	9						
2	1	15/2	15/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	10						
3	2	8	8	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	11						
3	2	17/2	17/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	12						
3	2	9	9	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	13						
3	2	21/2	21/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	14						
3	2	11	11	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	15						
3	2	23/2	23/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	16						
4	3	12	12	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	17						
4	3	25/2	25/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	18						
4	3	13	13	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	19						
4	3	27/2	27/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	20						
4	3	14	14	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	21						
4	3	29/2	29/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	22						
4	3	15	15	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	23						
4	3	31/2	31/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	24						
5	4	16	16	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	25						
5	4	33/2	33/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	26						
5	4	17	17	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	27						
5	4	35/2	35/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	28						
5	4	18	18	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	29						
5	4	37/2	37/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	30						
5	4	19	19	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	31						
5	4	39/2	39/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	32						
6	5	20	20	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	33						
6	5	41/2	41/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	34						
6	5	21	21	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	35						
6	5	43/2	43/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	36						
6	5	22	22	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	37						
6	5	45/2	45/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	38						
6	5	23	23	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	39						
6	5	47/2	47/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	40						
7	6	24	24	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	41						
7	6	49/2	49/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	42						
7	6	25	25	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	43						
7	6	51/2	51/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	44						
7	6	26	26	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	45						
7	6	53/2	53/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	46						
7	6	27	27	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	47						
7	6	55/2	55/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	48						
8	7	28	28	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	49						
8	7	57/2	57/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	50						
8	7	29	29	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	51						
8	7	59/2	59/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	52						
8	7	30	30	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	53						
8	7	61/2	61/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	54						
8	7	31	31	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	55						
8	7	63/2	63/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	56						
9	8	32	32	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	57						
9	8	65/2	65/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	58						
9	8	33	33	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	59						
9	8	67/2	67/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	60						
9	8	34	34	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	61						
9	8	69/2	69/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	62						
9	8	35	35	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	63						
9	8	71/2	71/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	64						
10	9	36	36	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	65						
10	9	73/2	73/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	66						
10	9	37	37	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	67						
10	9	75/2	75/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	68						
10	9	38	38	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	69						
10	9	77/2	77/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	70						
10	9	39	39	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	71						
10	9	79/2	79/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	72						
11	10	40	40	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	73						
11	10	42	42	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	74						
11	10	85/2	85/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	75						
11	10	43	43	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	76						
11	10	87/2	87/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	77						
11	10	40	40	0.0	0	0	Dynamic	2/2	3	1	0					p					
11	10	40	40	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	78						
11	10	81/2	81/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	79						
11	10	41	41	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	80						
11	10	83/2	83/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	81						
11	10	42	42	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	82						
11	10	85/2	85/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	83						
11	10	43	43	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	84						
11	10	87/2	87/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	85						
12	11	44	44	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	86						
12	11	89/2	89/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	87						
12	11	45	45	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	88						
12	11	93/2	93/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	89						
12	11	47	47	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	90						
12	11	95/2	95/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	91						
12	11	44	44	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	92						
12	11	89/2	89/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	93						
12	11	45	45	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	94						
12	11	91/2	91/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	95						
12	11	46	46	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	96						
12	11	93/2	93/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	97						
12	11	47	47	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	98						
12	11	95/2	95/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	99						
13	12	48	48	0.0	0	0	StaffText	2/2	2	1	0							<i>crescendo poco a poco</i>			
13	12	48	48	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	100						
13	12	97/2	97/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	101						
13	12	49	49	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	102						
13	12	101/2	101/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	103						
13	12	51	51	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	104						
13	12	103/2	103/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	105						
13	12	48	48	0.0	0	0	StaffText	2/2	3	1	0							<i>crescendo poco a poco</i>			
13	12	48	48	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	106						
13	12	97/2	97/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	107						
13	12	49	49	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	108						
13	12	99/2	99/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	109						
13	12	50	50	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	110						
13	12	101/2	101/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	111						
13	12	51	51	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	112						
13	12	103/2	103/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	113						
14	13	52	52	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	114						
14	13	105/2	105/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	115						
14	13	53	53	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	116						
14	13	107/2	107/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	117						
14	13	54	54	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	118						
14	13	109/2	109/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	119						
14	13	55	55	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	120						
14	13	111/2	111/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	121						
14	13	52	52	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	122						
14	13	105/2	105/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	123						
14	13	53	53	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	124						
14	13	107/2	107/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	125						
14	13	54	54	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	126						
14	13	109/2	109/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	127						
14	13	55	55	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	128						
14	13	111/2	111/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	129						
15	14	56	56	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	130						
15	14	113/2	113/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	131						
15	14	57	57	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	132						
15	14	115/2	115/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	133						
15	14	58	58	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	134						
15	14	117/2	117/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	135						
15	14	59	59	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	136						
15	14	119/2	119/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	137						
15	14	56	56	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	138		articStaccatoBelow				
15	14	57	57	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	139		articStaccatoAbove				
15	14	58	58	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	140		articStaccatoBelow				
15	14	59	59	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	141		articStaccatoBelow				
16	15	60	60	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	142						
16	15	121/2	121/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	143						
16	15	61	61	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	144						
16	15	123/2	123/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	145						
16	15	62	62	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	146						
16	15	125/2	125/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	147						
16	15	63	63	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	148						
16	15	127/2	127/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	149						
16	15	60	60	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	150		articStaccatoBelow				
16	15	61	61	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	151		articStaccatoBelow				
16	15	62	62	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	152		articStaccatoAbove				
16	15	63	63	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	153		articStaccatoAbove				
17	16	64	64	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	154						
17	16	129/2	129/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	155						
17	16	65	65	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	156						
17	16	131/2	131/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	157						
17	16	66	66	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	158						
17	16	133/2	133/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	159						
17	16	67	67	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	160						
17	16	135/2	135/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	161						
17	16	64	64	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	162		articStaccatoBelow				
17	16	65	65	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	163		articStaccatoAbove				
17	16	66	66	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	164		articStaccatoBelow				
17	16	67	67	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	165		articStaccatoBelow				
18	17	68	68	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	166						
18	17	137/2	137/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	167						
18	17	69	69	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	168						
18	17	139/2	139/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	169						
18	17	70	70	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	170						
18	17	141/2	141/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	171						
18	17	71	71	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	172						
18	17	143/2	143/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	173						
18	17	68	68	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	174		articStaccatoBelow				
18	17	69	69	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	175		articStaccatoBelow				
18	17	70	70	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	176		articStaccatoBelow				
18	17	71	71	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	177		articStaccatoBelow				
19	18	72	72	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	178						
19	18	145/2	145/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	179						
19	18	73	73	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	180						
19	18	147/2	147/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	181						
19	18	74	74	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	182						
19	18	149/2	149/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	183						
