mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0						Lentoassai,cantanteetranquillo	75.0	1.0			
1	1	3/2	3/2	0.0	3/8	3/8	StaffText	6/8	2	1	0					<b><i>p</i></b>						
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	0								
1	1	0	0	0.0	0	0	StaffText	6/8	3	1	0					<b><i>p</i></b>						
1	1	0	0	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	1								
2	2	3	3	0.0	0	0	StaffText	6/8	1	1	0					<b><i>p</i></b>						
2	2	3	3	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	2								
2	2	9/2	9/2	0.0	3/8	3/8	StaffText	6/8	1	1	0					"<font size=""8.5""/><i>cresc.</i>"						
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	3								
2	2	3	3	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	4								
2	2	9/2	9/2	0.0	3/8	3/8	StaffText	6/8	2	1	0					"<font size=""8.5""/><i>cresc.</i>"						
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	5								
2	2	3	3	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	6								
2	2	9/2	9/2	0.0	3/8	3/8	StaffText	6/8	3	1	0					"<font size=""8.5""/><i>cresc.</i>"						
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	7								
2	2	9/2	9/2	0.0	3/8	3/8	StaffText	6/8	4	1	0					<b><i>p</i></b>						
2	2	9/2	9/2	0.0	3/8	3/8	StaffText	6/8	4	1	0					"<font size=""8.5""/><i>cresc.</i>"						
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	8								
3	3	6	6	0.0	0	0	StaffText	6/8	1	1	0					"<font size=""8.5""/><i>sotto voce</i>"						
3	3	6	6	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	9						0		
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	10						0		
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	11						0		
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	12						0		
3	3	8	8	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	13						0		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	14								
3	3	6	6	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	15								
3	3	6	6	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	16						1		
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	17						1		
3	3	6	6	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	18						2		
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	19								
3	3	6	6	3.0	0	0	Chord	6/8	4	2	3/4	1/2	3/2	20								
4	4	9	9	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	21						3		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	22						3		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	23								
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	24								
4	4	9	9	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	25								
4	4	9	9	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	26						1		
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	27								
4	4	9	9	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	28						4		
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	29								
4	4	9	9	3.0	0	0	Chord	6/8	4	2	3/4	1/2	3/2	30								
5	5	12	12	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	31						5		
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	32						5		
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	33						5		
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	34						5		
5	5	14	14	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	35						5		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	36								
5	5	12	12	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	37								
5	5	12	12	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	38						6		
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	39								
5	5	12	12	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	40						7		
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	41								
5	5	12	12	3.0	0	0	Chord	6/8	4	2	3/4	1/2	3/2	42								
6	6	15	15	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	43						8		
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	44						8		
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	45								
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	46						9		
6	6	17	17	1.0	1/2	1/2	Chord	6/8	1	1	1/4	1/4	1	47								
6	6	15	15	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	48								
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	49						10		
6	6	17	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	50						10		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	51								
6	6	15	15	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	52						11		
6	6	16	16	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	53						11		
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	54						11		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	55								
6	6	15	15	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	56								
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	4	1	1/4	1/4	1	57						12		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	4	1	1/8	1/8	1	58								
7	7	18	18	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	59								
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	60								
7	7	39/2	39/2	0.0	3/8	3/8	StaffText	6/8	1	1	0					<b><i>p</i></b>						
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	61								
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	62								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	63								
7	7	18	18	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	64								
7	7	39/2	39/2	0.0	3/8	3/8	StaffText	6/8	2	1	0					<b><i>p</i></b>						
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	65								
7	7	18	18	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	66								
7	7	19	19	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	67								
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	68								
7	7	18	18	1.5	0	0	Chord	6/8	4	1	3/8	1/4	3/2	69								
7	7	39/2	39/2	0.0	3/8	3/8	StaffText	6/8	4	1	0					<b><i>p</i></b>						
7	7	39/2	39/2	0.0	3/8	3/8	StaffText	6/8	4	1	0					<b><i>p</i></b>						
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	4	1	3/8	1/4	3/2	70								
8	8	21	21	0.0	0	0	Spanner	6/8	1	1	0										0	
8	8	21	21	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	71							0	
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	72							0	
8	8	45/2	45/2	0.0	3/8	3/8	StaffText	6/8	1	1	0					<b><i>p</i></b>						
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	73						13		
8	8	23	23	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	74						13		
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	75								
8	8	21	21	0.0	0	0	Spanner	6/8	2	1	0										1	
8	8	21	21	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	76						14	1	
8	8	45/2	45/2	0.0	3/8	3/8	StaffText	6/8	2	1	0					<b><i>p</i></b>						
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	77								
8	8	21	21	0.0	0	0	Spanner	6/8	3	1	0										2	
8	8	21	21	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	78						15	2	
8	8	22	22	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	79						15	2	
8	8	45/2	45/2	0.0	3/8	3/8	StaffText	6/8	3	1	0					<b><i>p</i></b>						
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	3	1	0											
